,E,J,JJ,L,LL,O,S,Z,a,aa,b,bb,bv,d,dZ,dd,ddZ,ddz,dz,e,ee,f,ff,g,i,ii,j,k,kk,l,ll,m,mm,n,nn,o,oo,p,pp,r,rr,s,ss,t,tS,ts,tt,ttS,tts,tz,u,uu,v,vv,w,z,ŋ,ɡ,ɡ:,EE
E,0.0,0.0002627890679747723,0.0002627890679747723,0.0,0.000700770847932726,0.0,0.0014891380518570428,0.0,0.010248773651016117,0.0,0.003065872459705676,0.045462508759635596,0.0,0.028819201121233356,0.004379817799579537,0.001401541695865452,0.006044148563419761,0.0027154870357393134,0.0,0.0029782761037140857,0.0,0.004204625087596356,0.0006131744919411353,0.0,0.021723896285914507,0.0,0.001751927119831815,0.01629292221443588,0.005430974071478627,0.03363700070077085,0.09206377014716188,0.022687456201822005,0.0014891380518570428,0.3078135949544499,0.012088297126839523,0.01524176594253679,0.0,0.006044148563419761,0.0009635599159074983,0.15548353188507358,0.00814646110721794,0.03862999299229152,0.021373510861948143,0.03906797477224947,0.001751927119831815,0.0002627890679747723,0.03460056061667834,0.000350385423966363,0.004029432375613175,0.0,0.0007883672039243168,0.0,0.010073580939032937,8.759635599159075e-05,0.009723195515066573,0.006044148563419761,0.008234057463209531,0.009548002803083391,0.0019271198318149966,
J,0.0,0.0,0.0,0.0,0.0,0.0030075187969924814,0.011528822055137845,0.0,0.0020050125313283208,0.0,0.0,0.0,0.0,0.0,0.4005012531328321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5824561403508772,0.0,0.0,0.0,0.0,0.0,0.0005012531328320802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JJ,0.020633750921149593,0.0,0.0,0.0,0.0,0.054532056005895356,0.0,0.0,0.5158437730287398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0007369196757553427,0.0,0.0,0.0,0.1296978629329403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17907148120854827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009579955784819455,0.0,0.0,0.0,0.0029476787030213707,0.0,0.0,0.0,0.0,
L,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.7833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LL,0.03235843186060983,0.0,0.0,0.0,0.0,0.024891101431238332,0.0,0.0,0.4567517112632234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15868077162414437,0.0,0.0,0.0,0.0,0.17112632233976355,0.0006222775357809583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14996888612321096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031113876789047915,0.0,0.0,0.0,0.002489110143123833,0.0,0.0,0.0,0.0,
O,0.0003050640634533252,0.002745576571079927,0.002287980475899939,0.0,0.01921903599755949,0.0,0.003050640634533252,0.0,0.001525320317266626,0.0,0.010982306284319707,0.003813300793166565,0.0,0.027150701647345944,0.03599755948749237,0.0004575960951799878,0.005186089078706529,0.0001525320317266626,0.0,0.001525320317266626,0.0,0.015405735204392923,0.005186089078706529,0.0,0.006558877364246492,0.0,0.008846857840146431,0.02348993288590604,0.02471018913971934,0.14246491763270286,0.01464307504575961,0.04087858450274558,0.000762660158633313,0.09075655887736425,0.007016473459426479,0.0004575960951799878,0.0,0.03050640634533252,0.008541793776693106,0.18959731543624161,0.004881025015253203,0.04758999389871873,0.021964612568639415,0.050335570469798654,0.006406345332519829,0.0001525320317266626,0.061165344722391705,0.00762660158633313,0.012050030506406345,0.0,0.0,0.0,0.02882855399633923,0.0019829164124466137,0.0,0.01235509456985967,0.003813300793166565,0.016625991458206223,0.0,
S,0.09387078961899503,0.0,0.0,0.0,0.0,0.029265599116510214,0.0,0.0,0.19160684704583103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32302595251242405,0.0,0.0,0.0,0.0,0.25565985643291,0.005521811154058531,0.0,0.0,0.0,0.0005521811154058532,0.0,0.0,0.0,0.0005521811154058532,0.0,0.05024848150193263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04969630038652678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
a,0.000945380633877715,0.006582212663373591,0.00427784736829666,0.0,0.0059440807355061335,0.0002245279005459573,0.004549644300536504,0.0,0.0,0.0,0.017536810758431613,0.005495024934414218,0.0,0.017962232043676585,0.005636832029495876,0.002694334806551488,0.007657583134409491,0.0015480607879747583,3.5451773770414315e-05,0.001429888208740044,0.0,0.005873177187965304,0.009217461180307722,0.0,0.008520242962822907,0.0,0.004738720427312047,0.010635532131124293,0.017903145754059227,0.07440145588617617,0.011994516792323509,0.0529176809813051,0.008248446030583063,0.15057550046087306,0.013696201933303396,0.001051735955188958,0.0,0.013696201933303396,0.012254496466639881,0.15471154073408805,0.007787572971567677,0.022830942308146817,0.02400085084257049,0.15885939826522655,0.008425704899435135,7.090354754082863e-05,0.0223818865070549,0.010068303750797664,0.025714353241473847,7.090354754082863e-05,0.00031906596393372884,0.0,0.04222306256056345,0.0054832076764907475,0.01084824277374678,0.007468507007633948,0.008366618609817777,0.01002103471910378,0.002103471910377916,
aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
