BEGIN,surprisal,type_of_words,word
91287.0,0.0,function,Il
101430.0,10.642986297607422,content,re
112455.0,24.546314239501957,content,parrucchiere
224910.0,22.18133544921875,function,C'
229761.0,2.018632173538208,content,era
238140.0,2.9787752628326416,function,una
248283.0,4.4430036544799805,content,volta
280917.0,2.33232045173645,function,un
285327.0,8.8548583984375,content,regno
303408.0,2.803454875946045,function,di
310905.0,20.12740707397461,content,foreste
372204.0,9.37725067138672,content,alberi
395136.0,11.622955322265623,content,belli
422919.0,6.880324840545654,function,che
428652.0,3.274381160736084,function,si
440118.0,8.771110534667969,content,stendevano
470547.0,9.50335693359375,function,dappertutto
529641.0,15.933622360229492,content,colorando
560511.0,3.223503828048706,function,la
566244.0,2.447679042816162,content,terra
584325.0,5.451414585113525,function,di
590265.0,9.599695205688477,content,verde
635922.0,21.3964958190918,content,profumando
665910.0,3.244238376617432,function,il
674730.0,4.670594215393066,content,cielo
702072.0,3.899557590484619,function,con
708687.0,2.9768006801605225,function,le
718609.0,3.446285963058472,content,foglie
733824.0,25.87457656860352,content,spettinate
845397.0,5.830993175506592,function,In
852894.0,5.53995418548584,content,mezzo
,2.0946409702301025,function,a
872739.0,4.973072528839111,function,quel
883323.0,3.9477226734161377,content,regno
900522.0,15.34180736541748,content,forestale
950796.0,4.075850009918213,function,c'
956088.0,0.4174340665340423,content,era
966672.0,1.5816614627838137,function,un
970200.0,8.526100158691406,content,castello
1020033.0,4.8890252113342285,function,e
1024443.0,5.468222618103027,function,nel
1033704.0,1.524259328842163,content,castello
1059282.0,5.750931262969971,content,vivevano
1085301.0,3.1294620037078857,function,i
1089711.0,12.794042587280272,content,Re
1125873.0,2.7521355152130127,function,che
1129842.0,14.706168174743652,content,sedevano
1157184.0,7.570842742919922,function,su
1168209.0,2.193811655044556,function,un
1171296.0,4.306059837341309,content,trono
1188054.0,2.920440196990967,function,di
1193787.0,3.361204147338867,content,pietra
1228626.0,15.367989540100098,content,messo
1251117.0,6.103338241577148,function,sulla
1263906.0,6.792072772979736,content,torre
1281987.0,9.997241973876951,function,più
1289043.0,5.212802410125732,content,alta
1340640.0,3.1507444381713867,function,e
1346814.0,7.012630939483643,function,da
1352106.0,24.227161407470703,function,lassù
1395324.0,13.713757514953612,content,stavano
1416051.0,4.916883945465088,function,a
1421343.0,4.209712028503418,content,guardare
1444716.0,5.978287696838379,function,gli
1451331.0,4.091639518737793,content,alberi
1494990.0,2.422952890396118,function,e
