BEGIN,semantic_dissimilarity,type_of_words,word
90405.0,0.5,function,I
97461.0,0.7042176723480225,content,pirati
118629.0,0.4897975325584411,content,smemorati
227556.0,0.4645285308361053,function,C'
232848.0,0.4326586127281189,content,era
247401.0,0.3192932605743408,function,una
255339.0,0.4037310481071472,content,nave
267687.0,0.3811132311820984,function,di
274302.0,0.3452853560447693,content,pirati
312228.0,0.3460085391998291,function,che
317520.0,0.4023545384407043,function,si
326781.0,0.3916590213775635,content,chiamava
345303.0,0.4464194476604461,content,Tonno
363825.0,0.4283467531204223,content,Feroce
411453.0,0.344951331615448,function,e
415863.0,0.3689773678779602,content,navigava
437472.0,0.4273704290390014,function,i
441882.0,0.465516448020935,content,mari
469224.0,0.4038854241371155,content,facendo
491274.0,0.4117982089519501,content,abbordaggi
570614.0,0.4246965646743774,content,spara
586530.0,0.4458853006362915,function,qua
598847.0,0.4273841679096222,content,assalta
620046.0,0.410211980342865,function,di
628425.0,0.3713756501674652,function,là
647388.0,0.3318938016891479,content,ruba
,0.3726221323013305,function,a
665469.0,0.3606961071491241,function,me
679140.0,0.324701189994812,content,rapina
,0.363975465297699,function,a
706041.0,0.4094436168670654,function,te
734706.0,0.4109910726547241,function,i
738234.0,0.4501850605010986,content,pirati
754992.0,0.4598275423049927,function,di
760284.0,0.5001465082168579,function,quella
772632.0,0.4378806352615356,content,nave
804825.0,0.4086561799049377,function,agli
813645.0,0.4699099063873291,content,ordini
831726.0,0.3342769145965576,function,di
834813.0,0.5017356872558594,content,capitan
868329.0,0.4400256276130676,content,Gigi
884646.0,0.4636179506778717,content,Trinciasquali
948150.0,0.3985355496406555,function,avevano
970641.0,0.4431895613670349,content,accumulato
1012536.0,0.3612271547317505,function,un
1021797.0,0.4357684254646301,content,gran
1035027.0,0.408303439617157,content,tesoro
1056195.0,0.3639805912971496,function,di
1062810.0,0.4585059583187103,content,dobloni
1103823.0,0.3756660223007202,content,zecchini
1152774.0,0.3133832812309265,content,fiorini
1191582.0,0.3436405658721924,content,talleri
1223775.0,0.3473256528377533,content,corone
1263465.0,0.337501585483551,function,e
1268757.0,0.4094926118850708,content,altre
1287279.0,0.3910006582736969,content,preziosissime
1332261.0,0.358353704214096,content,monete
1401864.0,0.5572657585144043,function,Quando
1413405.0,0.5246275663375854,function,ne
1420461.0,0.5152330994606018,content,ebbero
1433691.0,0.4713335037231445,function,tante
1470735.0,0.4474982023239136,function,che
1475145.0,0.3766404390335083,function,la
1482201.0,0.4164842963218689,content,nave
1502760.0,0.414298415184021,function,quasi
1521891.0,0.3479797840118408,content,affondava
1575252.0,0.3494138717651367,function,il
1581867.0,0.4449041485786438,content,capitano
1605240.0,0.415344625711441,content,disse
1642284.0,0.4955219328403473,content,Ciurma
1662129.0,0.4082548916339874,content,ascoltate
1723428.0,0.3888767957687378,function,Noi
1732689.0,0.3504400253295898,function,dobbiamo
1748565.0,0.3391555547714233,content,mettere
1763559.0,0.4139365553855896,function,al
1767528.0,0.4612654447555542,content,riparo
1786491.0,0.319938063621521,function,il
1791342.0,0.3545256853103637,function,nostro
1807659.0,0.3427090942859649,content,tesoro
1861461.0,0.3625869750976562,content,troviamo
1881844.0,0.3889878690242767,function,un'
1894536.0,0.3688313961029053,content,isola
1922319.0,0.2818511724472046,function,e
1923642.0,0.3412691652774811,content,sotterriamolo
1958040.0,0.3433947563171386,function,per
1968183.0,0.3857984840869903,content,bene
2029923.0,0.4849884212017059,content,Bella
2043153.0,0.427921324968338,content,idea
2060352.0,0.4298952221870422,content,capitano
2107539.0,0.5040991306304932,content,gridarono
2130912.0,0.3667807579040527,function,i
2135322.0,0.4128941893577575,content,pirati
2196621.0,0.363732099533081,function,e
2200149.0,0.479493498802185,content,trovata
2223081.0,0.3633073568344116,function,in
2230578.0,0.5019980072975159,content,mezzo
2244249.0,0.43925541639328,function,al
2251305.0,0.41130131483078,content,mare
2268063.0,0.3740337193012237,function,un'
2274678.0,0.3789762258529663,content,isola
2292759.0,0.387195885181427,function,di
2297610.0,0.4141057729721069,content,terra
2311281.0,0.3680689930915832,content,molle
2349207.0,0.407052993774414,function,vi
2356704.0,0.3511335551738739,content,seppellirono
2386692.0,0.2868366241455078,function,il
2392425.0,0.3513468503952026,content,tesoro
2485917.0,0.4093961119651794,function,Poi
2495178.0,0.3658753633499145,content,tornarono
2518110.0,0.3148706555366516,function,in
2526048.0,0.4083412289619446,content,giro
2543247.0,0.4062705636024475,function,per
2550744.0,0.3911950588226318,content,onde
2568825.0,0.3220256567001343,function,e
2570148.0,0.3745768070220947,content,orizzonti
2617335.0,0.358207106590271,function,a
2619981.0,0.3561893105506897,content,sparare
2647323.0,0.3505489826202392,function,e
2653497.0,0.4034157395362854,content,abbordare
2699361.0,0.373593270778656,content,assalire
2738610.0,0.2867375016212463,function,e
2741256.0,0.3546645641326904,content,rapinare
2815785.0,0.4587957262992859,function,Ma
2819754.0,0.3969900608062744,function,le
2825046.0,0.4658882021903991,content,cose
2836512.0,0.4570221602916717,content,cominciarono
2863413.0,0.4438346624374389,function,ad
2869587.0,0.4767936468124389,content,andar
2884140.0,0.3742440640926361,function,male
2924712.0,0.3661363124847412,function,perché
2935296.0,0.2965206503868103,function,le
2940147.0,0.3829776048660278,content,navi
2949849.0,0.3342108130455017,function,si
2956905.0,0.3746692538261413,function,erano
2968371.0,0.3627558946609497,content,fatte
2982703.0,0.3460159301757812,content,veloci
3019527.0,0.3530027270317077,function,mentre
3032316.0,0.3332895040512085,function,la
3036726.0,0.4509091973304748,content,vecchia
3052161.0,0.5194219350814819,content,Tonno
3067596.0,0.4540837705135345,content,Feroce
3088323.0,0.2789369821548462,function,era
3097509.0,0.2749707698822021,function,una
3105081.0,0.300006628036499,content,nave
3116988.0,0.3393311202526092,content,antica
3175200.0,0.3201730847358703,function,quelle
3187107.0,0.3293241858482361,content,scappavano
3236794.0,0.3313595056533813,function,e
3242478.0,0.3190464377403259,function,i
3246637.0,0.3397561311721802,content,pirati
3263400.0,0.3818371891975403,content,cominciavano
3294133.0,0.4061536192893982,function,a
3296475.0,0.3754989504814148,content,sentire
3318966.0,0.351798951625824,content,mal
3328227.0,0.4036898612976074,function,di
3336606.0,0.3739514946937561,content,schiena
3353364.0,0.2968604564666748,function,e
3359097.0,0.420780599117279,content,reumatismi
3427011.0,0.3653563857078552,function,Insomma
3461850.0,0.2775622606277466,function,la
3468906.0,0.4218019545078277,content,pirateria
3490515.0,0.332787811756134,function,non
3495807.0,0.3947357535362243,content,rendeva
3519621.0,0.4783901572227478,function,come
3531528.0,0.5595623254776001,function,una
3539466.0,0.4128470718860626,content,volta
3602529.0,0.4376567602157593,function,Dopo
3613995.0,0.4432036280632019,function,tre
3621051.0,0.383445143699646,content,anni
3636927.0,0.3814190626144409,function,di
3641778.0,0.3857175707817077,content,affari
3657654.0,0.4132156074047088,content,magri
3681027.0,0.3434939980506897,function,e
3682350.0,0.3695333898067474,content,stenti
3719394.0,0.4009708762168884,content,disse
3746295.0,0.4457948207855224,content,Gigi
3760848.0,0.4877773523330688,content,Trinciasquali
3843315.0,0.5262332558631897,content,Bella
3859191.0,0.462845504283905,content,ciurma
3891384.0,0.5114469528198242,content,sapete
3912111.0,0.4504140615463257,function,cosa
3924018.0,0.4146199822425842,content,faremo
3970323.0,0.4054767191410064,content,Torneremo
3994137.0,0.3962214589118957,function,sull'
4004280.0,0.4209014773368835,content,isola
4022361.0,0.4269859194755554,function,dove
4031181.0,0.3728576898574829,function,abbiamo
4047498.0,0.4465514421463012,content,sepolto
4068666.0,0.3329849243164062,function,il
4075281.0,0.3437883853912353,content,tesoro
4123791.0,0.3053745627403259,function,lo
4131288.0,0.3686487376689911,content,tireremo
4155984.0,0.3103618621826172,function,fuori
4187736.0,0.2591642737388611,function,lo
4193910.0,0.3119398057460785,content,divideremo
4220811.0,0.4408071041107178,function,fra
4227867.0,0.3750189840793609,function,noi
4267557.0,0.2781934142112732,function,e
4275495.0,0.3192713260650635,content,vivremo
4297545.0,0.4508488774299621,function,da
4301514.0,0.480548620223999,content,gran
4314303.0,0.4401699304580688,content,signori
4350024.0,0.3225515484809875,function,nei
4362372.0,0.4126973748207092,content,porti
4383981.0,0.3659752607345581,function,di
4389273.0,0.392562985420227,function,tutto
4405149.0,0.365628182888031,function,il
4410441.0,0.3947181105613708,content,mondo
4476150.0,0.5133612155914307,content,Giusto
4497759.0,0.4994553029537201,content,Trinciasquali
4551120.0,0.485241025686264,content,gridarono
4572288.0,0.3448311686515808,function,i
4576698.0,0.3886202275753021,content,pirati
4635351.0,0.3628720045089721,function,e
4641525.0,0.3788824677467346,function,la
4646376.0,0.4232048988342285,content,nave
4658724.0,0.4288996756076813,content,voltò
4677687.0,0.3844713568687439,function,la
4686066.0,0.431336909532547,content,prua
4716495.0,0.3684174418449402,function,verso
4735458.0,0.3783787488937378,function,l'
4738545.0,0.4368903636932373,content,isola
4757067.0,0.440322995185852,function,del
4765005.0,0.4090598821640014,content,tesoro
4843944.0,0.4278372526168823,function,Ma
4851441.0,0.4301713407039642,function,dov'
4859379.0,0.4046355485916137,function,era
4869522.0,0.296338826417923,function,l'
4871727.0,0.3300434350967407,content,isola
4884957.0,0.3400853276252746,function,del
4892895.0,0.3753977715969085,content,tesoro
4952871.0,0.3549703359603882,function,Il
4958163.0,0.381471037864685,content,guaio
4970070.0,0.3805397748947143,content,è
4975362.0,0.3175411224365234,function,che
4978890.0,0.3943213820457458,function,nessuno
5007555.0,0.354478657245636,function,lo
5011524.0,0.3652806580066681,content,ricordava
5039748.0,0.3508500754833221,function,bene
5082966.0,0.321064829826355,function,perché
5093792.0,0.3041431903839111,function,il
5103252.0,0.3377829790115356,content,mare
5117805.0,0.2747101187705993,function,è
5123097.0,0.3491879105567932,content,pieno
5137650.0,0.3219556808471679,function,di
5146911.0,0.3795802593231201,content,isole
5172048.0,0.320067822933197,function,e
5176837.0,0.3879102766513824,content,isolotti
5245695.0,0.3275453448295593,function,I
5252751.0,0.4242587089538574,content,pirati
5269985.0,0.4556607604026794,function,della
5277447.0,0.53841233253479,content,Tonno
5290677.0,0.4784524142742157,content,Feroce
5323311.0,0.4526397585868835,function,ad
5328162.0,0.4054037928581238,function,ogni
5337864.0,0.3152360916137695,content,isola
5354622.0,0.393789142370224,content,gridavano
5394312.0,0.4244276285171509,function,È
5397399.0,0.4279115796089172,function,quella
5446350.0,0.3969066143035888,content,Sbarcavano
5491332.0,0.3325341045856476,content,scavavano
5539401.0,0.3816901445388794,function,ma
5545575.0,0.4114637970924377,function,niente
5561892.0,0.3833739757537842,content,tesoro
5630247.0,0.3777040243148803,function,E
5631570.0,0.3594011962413788,content,scava
5647446.0,0.3544410467147827,function,su
5657589.0,0.4579823017120361,function,un'
5662440.0,0.3720787763595581,content,isola
5676993.0,0.2825511395931244,content,scava
5691105.0,0.3484986424446106,function,su
5699925.0,0.362496018409729,function,due
5731236.0,0.3189362287521362,content,avevano
5754168.0,0.3689384460449219,function,i
5759019.0,0.4093159139156341,content,calli
5777100.0,0.4308695197105407,function,alle
5784156.0,0.3365721106529236,content,mani
5820759.0,0.3346244692802429,function,erano
5831784.0,0.394038051366806,content,magri
5861331.0,0.3099977374076843,function,e
5866182.0,0.3389798700809479,content,affamati
5938065.0,0.4592369794845581,function,Un
5946003.0,0.3899862766265869,content,giorno
5961879.0,0.4075814485549927,function,ecco
5975109.0,0.3895922303199768,function,un'
5982165.0,0.4247444868087768,content,isola
5998041.0,0.424914538860321,content,verde
6013476.0,0.3335400819778442,function,in
6020973.0,0.4804636836051941,content,mezzo
6033762.0,0.3355116248130798,function,al
6041259.0,0.3266069591045379,content,mare
6095502.0,0.46152064204216,function,È
6100353.0,0.3937032222747803,function,quella
6136956.0,0.4183847308158874,function,forse
6178410.0,0.4502090811729431,content,dissero
6197373.0,0.3310006856918335,function,i
6201783.0,0.3805184960365295,content,pirati
6237945.0,0.4181157350540161,function,ma
6244560.0,0.3965132236480713,function,senza
6258672.0,0.4739632606506347,function,troppa
6273666.0,0.3486026525497436,content,fiducia
6334965.0,0.4027792513370514,content,Sbarcarono
6378624.0,0.2851321101188659,function,e
6383475.0,0.3373476266860962,content,cominciarono
6412713.0,0.3739610910415649,function,a
6416550.0,0.3822449743747711,content,scavare
6476526.0,0.2752087116241455,function,e
6478290.0,0.2923166155815124,function,non
6487992.0,0.3562885522842407,content,trovarono
6509160.0,0.3267824053764343,function,il
6514893.0,0.4108878970146179,content,tesoro
6532974.0,0.472307801246643,function,nemmeno
6553260.0,0.3729107677936554,function,lì
6608826.0,0.3757817149162292,function,però
6619410.0,0.2968094944953918,content,trovarono
6646311.0,0.3316519856452942,function,dei
6655131.0,0.47076615691185,content,tuberi
6673653.0,0.3689639866352081,content,grossi
6709374.0,0.3516457676887512,function,dalla
6721281.0,0.4000141620635986,content,pelle
6735834.0,0.3654458522796631,content,bruna
6787872.0,0.3012307286262512,function,Erano
6799779.0,0.379873514175415,function,così
6816096.0,0.4491119384765625,content,belli
6831531.0,0.7358608245849609,function,e
6832854.0,0.3009394407272339,content,strani
6880041.0,0.3794568181037903,function,che
6885804.0,0.3026832938194275,function,li
6893712.0,0.3553506135940552,content,fecero
6911352.0,0.3490750193595886,content,cuocere
6951042.0,0.3162699341773987,function,e
6952365.0,0.2906370759010315,function,li
6957657.0,0.3481275737285614,content,assaggiarono
7025571.0,0.2734436988830566,function,e
7030863.0,0.2485362291336059,function,li
7038360.0,0.3347285687923431,content,trovarono
7064379.0,0.327081561088562,function,così
7087311.0,0.2806239724159241,content,buoni
7119658.0,0.3032766580581665,function,che
7125678.0,0.2458348274230957,function,li
7132734.0,0.283413827419281,content,cucinarono
7165809.0,0.3522930741310119,function,in
7170660.0,0.3574479818344116,function,molti
7189182.0,0.3604369759559631,content,modi
7240779.0,0.3305767774581909,content,fritti
7282674.0,0.2882125377655029,content,cotti
7322805.0,0.2967784106731415,content,arrostiti
7372197.0,0.3913716673851013,content,col
7381458.0,0.3209142386913299,content,prezzemolo
7429086.0,0.3002883195877075,function,a
7434819.0,0.2747071087360382,content,pezzetti
7479360.0,0.2715182304382324,function,a
7482888.0,0.2815106809139251,content,bastoncini
7538895.0,0.3440162241458893,content,schiacciati
7613424.0,0.4948553442955017,function,E
7616070.0,0.4683830738067627,function,così
7633710.0,0.4148553609848022,function,i
7635915.0,0.4548501968383789,content,pirati
7653555.0,0.4445374310016632,content,dimenticarono
7694127.0,0.3682993054389953,function,il
7697655.0,0.4046609401702881,content,tesoro
7747047.0,0.327061116695404,function,e
7752780.0,0.3494494557380676,content,decisero
7783209.0,0.3195544481277466,function,di
7787178.0,0.3517082333564758,content,restare
7805700.0,0.3991287350654602,function,su
7813197.0,0.3899752199649811,function,quell'
7822899.0,0.4132924079895019,content,isola
7852005.0,0.4325585961341858,function,a
7856415.0,0.4317898154258728,content,coltivare
7882434.0,0.3818990290164947,content,patate
7936236.0,0.2810642123222351,function,il
7941969.0,0.3839076161384582,content,capitano
7963137.0,0.336180180311203,content,cambiò
7977249.0,0.3838401138782501,content,nome
