BEGIN,entropy,type_of_words,word
89082.0,10.201748847961426,function,L'
96138.0,5.0143723487854,content,ombrellino
127449.0,5.501502990722656,content,asciutto
249165.0,3.785062313079834,function,C'
254016.0,1.702765941619873,content,era
264159.0,5.414585590362549,function,una
271656.0,7.394293308258057,content,volta
309582.0,7.840834617614746,function,in
315756.0,6.400397300720215,function,un
322371.0,7.616646289825439,content,paese
340452.0,7.630876064300537,function,molto
355064.0,3.3606910705566406,content,asciutto
399546.0,4.480457782745361,function,un
407043.0,4.871142864227295,content,ombrellino
434706.0,6.1100850105285645,content,azzurro
519498.0,7.2336106300354,function,Come
530964.0,7.425199508666992,function,era
536697.0,8.043595314025879,content,finito
557424.0,5.249078750610352,function,in
564480.0,5.575463771820068,function,quel
571977.0,7.366096496582031,content,paese
589617.0,2.440436840057373,content,asciutto
658413.0,5.851931571960449,function,Chissà
724563.0,7.176414489746094,function,forse
740439.0,6.319948673248291,function,uno
748818.0,5.932957649230957,content,scherzo
796446.0,6.270164012908936,function,uno
807030.0,4.328944206237793,content,sbaglio
874062.0,7.763160705566406,function,ma
879795.0,3.663950920104981,function,l'
881559.0,1.0544217824935913,content,ombrellino
904932.0,6.438201904296875,function,era
915516.0,5.7317399978637695,function,là
954765.0,7.535388469696045,function,e
960057.0,5.60478401184082,content,restava
986076.0,6.527161598205566,function,sempre
1006803.0,4.754232406616211,content,chiuso
1056195.0,7.781198978424072,function,perché
1069654.0,6.776564121246338,function,in
1074276.0,3.849373817443848,function,quel
1084860.0,2.1027393341064453,content,paese
1103823.0,6.163753032684326,function,non
1108674.0,2.494744062423706,content,pioveva
1134252.0,4.975099086761475,function,quasi
1154097.0,2.946428775787353,function,mai
1191582.0,6.052877426147461,function,e
1192905.0,6.61061429977417,function,se
1204371.0,4.40066385269165,content,pioveva
1252881.0,3.73426365852356,content,pioveva
1272726.0,5.891088485717773,function,così
1294335.0,5.469612121582031,function,poco
1327559.0,3.40407133102417,function,che
1331379.0,6.44909143447876,function,la
1340199.0,6.657914638519287,content,gente
1355193.0,6.768857479095459,function,si
1362690.0,8.0142822265625,content,prendeva
1385181.0,7.191277503967285,function,la
1390914.0,7.415690898895264,content,pioggia
1407672.0,5.020707130432129,function,in
1416271.0,6.579499244689941,content,faccia
1445580.0,3.439225196838379,content,contenta
1479114.0,3.613274097442627,function,della
1487934.0,6.770966053009033,content,poca
1502046.0,4.687280178070068,content,frescura
1561140.0,6.032227516174316,function,e
1567755.0,7.780779361724853,function,di
1573488.0,8.46019458770752,content,aprire
1591128.0,2.5719637870788574,function,l'
1593333.0,0.9219150543212892,content,ombrello
1633023.0,5.882466793060303,function,nemmeno
1655073.0,6.441207408905029,function,le
1660806.0,6.711516380310059,content,veniva
1675800.0,3.752863883972168,function,l'
1677564.0,4.888453006744385,content,idea
1755621.0,7.255012512207031,function,Un
1764882.0,7.6499409675598145,content,giorno
1779435.0,3.2877986431121826,function,l'
1782081.0,0.7384040951728821,content,ombrellino
1826181.0,7.280296802520752,function,era
1835001.0,6.182412147521973,function,lì
1864989.0,5.221599578857422,content,chiuso
1898064.0,5.074376583099365,content,accaldato
1931580.0,4.971834182739258,function,e
1935549.0,6.141788959503174,content,triste
1984500.0,6.595242977142334,function,quando
1997730.0,6.806814193725586,function,gli
2005227.0,7.175926208496094,function,si
2010519.0,5.779311180114746,content,posò
2027718.0,5.978930473327637,function,vicino
2055942.0,4.821881771087647,function,un
2063439.0,6.853209018707275,content,piccione
2084607.0,5.47541618347168,content,viaggiatore
2156490.0,7.66391134262085,function,Che
2166633.0,6.206482887268066,content,fai
2179422.0,4.860090255737305,content,ombrellino
2241162.0,4.28128719329834,function,Sono
2255715.0,5.963564395904541,content,triste
2304225.0,6.101972579956055,function,Perché
2318778.0,6.202663421630859,function,sei
2331567.0,4.496579170227051,content,triste
2392425.0,5.393154144287109,function,Perché
2405214.0,4.206464767456055,function,non
2409183.0,6.03090763092041,function,mi
2416239.0,6.774623394012451,content,piace
2434320.0,5.297056198120117,content,stare
2451519.0,4.014573574066162,function,qui
2485035.0,6.989602088928223,function,troppo
2500470.0,5.102189064025879,content,sole
2559564.0,6.776330947875977,function,e
2565738.0,3.8451857566833496,function,l'
2567943.0,0.4924916326999664,content,ombrellino
2588670.0,5.351167678833008,content,spiegò
2611161.0,5.950080871582031,function,al
2616894.0,3.056344509124756,content,piccione
2638062.0,1.7819457054138184,content,viaggiatore
2670696.0,4.522388458251953,function,tutti
2685690.0,4.618391990661621,function,i
2689218.0,5.779568672180176,function,suoi
2701125.0,5.416895866394043,content,guai
2759337.0,7.218620777130127,function,Se
2767716.0,6.675172328948975,function,sei
2777859.0,3.7411859035491934,content,infelice
2821077.0,7.267511367797852,function,perché
2834307.0,6.0471673011779785,function,non
2845773.0,5.636310577392578,content,voli
2860925.0,5.744578361511231,function,via
2895165.0,7.35426139831543,content,disse
2912364.0,6.320068836212158,function,il
2918097.0,0.8795550465583801,content,piccione
2986893.0,3.955711126327514,function,Ma
2993508.0,7.002906799316406,function,come
3028788.0,4.042529582977295,function,Io
3034031.0,6.175758361816406,function,non
3042459.0,5.584840774536133,content,so
3055689.0,4.306005477905273,content,volare
3119634.0,4.483844757080078,function,Forse
3138156.0,6.321202754974365,function,non
3146976.0,3.978070020675659,content,sai
3190635.0,7.079163074493408,function,ma
3200778.0,5.705056190490723,content,puoi
3258549.0,5.685610771179199,function,Non
3268251.0,5.728832244873047,content,capisco
3338370.0,4.510946273803711,content,Ascolta
3360420.0,3.6479263305664062,content,ombrellino
3409812.0,5.325812816619873,content,disse
3429216.0,5.297252655029297,function,il
