BEGIN,Zipf_freq,word
112896.0,1.792983221,befane
232848.0,2.747225731,befana
273420.0,3.016998033,volava
299880.0,4.765822219,cavallo
336042.0,3.930495574,scopa
391167.0,4.048858495,vola
418509.0,4.048858495,vola
466137.0,5.876302159,certo
482895.0,5.322012335,punto
505827.0,3.892491215,vide
535815.0,2.232315915,vecchina
597996.0,4.309848983,uguale
666351.0,4.765822219,cavallo
704277.0,3.930495574,scopa
792477.0,6.430432922,sei
839223.0,4.030401277,chiese
862155.0,2.747225731,befana
929187.0,3.603383777,rispose
988722.0,2.747225731,befana
1083537.0,2.747225731,befana
1149246.0,4.869305017,disse
1173060.0,2.747225731,befana
1247589.0,5.347199726,vedi
1266552.0,6.720262455,ho
1277136.0,3.930495574,scopa
1322118.0,4.637615696,naso
1337994.0,5.028890248,lungo
1449567.0,6.720262455,ho
1477350.0,4.869305017,disse
1555848.0,5.347199726,vedi
1576134.0,4.772076122,volo
1617147.0,4.772076122,volo
1681533.0,4.869305017,disse
1703583.0,4.814327598,seconda
1782081.0,5.347199726,vedi
1799280.0,6.720262455,ho
1812069.0,5.218048496,sacco
1829268.0,4.865876178,pieno
1849113.0,3.689922594,doni
1935549.0,6.720262455,ho
2000376.0,2.747225731,befana
2025072.0,4.018938294,confusa
2096514.0,5.13754741,sicura
2159136.0,2.747225731,befana
2238075.0,4.840112001,sembrava
2270268.0,5.645585191,fosse
2346561.0,5.476165392,erano
2365965.0,1.792983221,befane
2394189.0,5.533168209,mondo
2469600.0,4.901801848,saputo
2619981.0,5.783216598,stata
2655261.0,4.118293593,confusione
2695392.0,3.689922594,doni
2724498.0,5.274801932,bambini
2789766.0,5.58994762,senti
2833866.0,4.869305017,disse
2899134.0,5.388300287,facciamo
2925594.0,4.46841784,gara
2980719.0,4.540977324,vince
3021291.0,2.747225731,befana
3088764.0,5.071308031,andrà
3119193.0,5.30993154,terra
3153591.0,6.231286207,fare
3169026.0,2.232315915,vecchina
3228120.0,5.577662908,accordo
3271338.0,3.603383777,rispose
3331755.0,4.46841784,gara
3341898.0,5.388300287,facciamo
3415545.0,4.772076122,volo
3460968.0,4.705470983,luna
3493602.0,4.657642602,ritorno
3550050.0,4.917324392,pronta
3606498.0,5.679544443,vai
3671325.0,1.889893234,vecchine
3690288.0,2.653321228,partirono
3733947.0,3.459267144,attaccate
3791277.0,2.839283241,scope
3843756.0,4.325419086,bianchi
3865365.0,4.980151287,capelli
3897117.0,2.88111931,agitati
3936807.0,4.536100847,vento
3994578.0,4.048858495,vola
4020156.0,4.048858495,vola
4073076.0,1.889893234,velocissime
4158630.0,3.426451677,arrivarono
4219047.0,4.705470983,luna
4266234.0,2.168646835,girarono
4339440.0,3.412337468,cominciarono
4380012.0,5.348123033,tornare
4469094.0,1.93128592,vicinissime
4574052.0,4.335186004,punta
4595661.0,4.637615696,naso
4624326.0,4.335186004,punta
4648581.0,4.637615696,naso
4686066.0,4.335186004,punta
4707234.0,3.460436174,manico
4751334.0,4.335186004,punta
4772061.0,3.460436174,manico
4856733.0,5.876302159,certo
4873050.0,5.322012335,punto
4922001.0,2.747225731,befana
4962573.0,4.70897631,guardando
4991238.0,3.543105748,rivale
5025195.0,3.892491215,vide
5053860.0,6.632253028,cosa
5071059.0,4.629939958,strana
5159700.0,4.980151287,capelli
5181309.0,5.632280537,aveva
5205564.0,2.954351224,bulloni
5273478.0,2.787520326,giunture
5327280.0,2.588863239,cerniere
5356386.0,4.024707605,metallo
5432238.0,3.420092933,capì
5509413.0,2.747225731,befana
5573799.0,4.226152786,robot
5609520.0,3.673796814,inventata
5674347.0,2.232315915,malandrino
5718447.0,4.563282813,scopo
5790330.0,2.979798346,dannoso
5856480.0,2.894214608,gridò
5882940.0,3.587122577,traguardo
5952618.0,4.335186004,punta
5989221.0,4.365273828,montagna
6020973.0,1.588863239,rossastra
6084036.0,5.347199726,vedi
6113142.0,2.622286994,puntò
6150627.0,4.094013217,monte
6192522.0,3.117779939,calamita
6269697.0,3.468532444,magnetico
6318648.0,5.16145606,mezzo
6355692.0,3.665867565,chilometro
6418314.0,1.367014489,rallentò
6451830.0,5.649409994,altra
6472998.0,2.747225731,befana
6519744.0,2.469676831,strillava
6536061.0,4.965586153,arrivo
6570459.0,4.965586153,arrivo
6671448.0,3.97589694,arrivò
6825357.0,4.499487644,pensava
6858432.0,4.094013217,monte
6900327.0,3.117779939,calamita
6918849.0,3.168646835,tirò
6978825.0,4.657864956,tale
7025571.0,4.500872614,velocità
7069671.0,3.592323771,cadde
7141554.0,1.588863239,sparpagliò
7186536.0,4.784486182,pezzi
7243425.0,4.024707605,metallo
7276941.0,3.175450543,rimasero
7308693.0,2.722402147,appiccicati
7430409.0,2.747225731,befana
7459956.0,4.713758544,carne
7504056.0,4.423665293,ossa
7537572.0,3.802115291,tornò
7556976.0,4.45996894,volare
7605486.0,5.533168209,mondo
7649145.0,5.218048496,sacco
,3.689922594,doni
