BEGIN,Zipf_freq,type_of_words,word
89082.0,6.624997683,function,le
99225.0,5.996192947,,due
112896.0,1.792983221,content,befane
224028.0,7.055331658,function,la
232848.0,2.747225731,content,befana
273420.0,3.016998033,content,volava
,7.004335738,function,a
299880.0,4.765822219,content,cavallo
325458.0,6.267030034,function,della
336042.0,3.930495574,content,scopa
391167.0,4.048858495,content,vola
411453.0,2.741151583,function,e
418509.0,4.048858495,content,vola
452025.0,7.004335738,function,a
459081.0,7.065833912,function,un
466137.0,5.876302159,content,certo
482895.0,5.322012335,content,punto
505827.0,3.892491215,content,vide
519057.0,6.801817508,function,una
535815.0,2.232315915,content,vecchina
575064.0,5.884320377,function,proprio
597996.0,4.309848983,content,uguale
619605.0,7.004335738,function,a
623574.0,6.235566848,function,lei
660177.0,7.004335738,function,a
666351.0,4.765822219,content,cavallo
694134.0,7.232814475,function,di
697662.0,6.801817508,function,una
704277.0,3.930495574,content,scopa
789390.0,6.108444494,function,chi
792477.0,6.430432922,content,sei
839223.0,4.030401277,content,chiese
856422.0,7.055331658,function,la
862155.0,2.747225731,content,befana
910224.0,2.741151583,function,e
915957.0,5.939281839,function,quella
929187.0,3.603383777,content,rispose
967995.0,6.768130002,function,sono
982989.0,7.055331658,function,la
988722.0,2.747225731,content,befana
1046934.0,5.518598828,function,eh
1055313.0,6.605764599,function,no
1080009.0,7.055331658,function,la
1083537.0,2.747225731,content,befana
1099413.0,6.768130002,function,sono
1109115.0,6.536707533,function,io
1149246.0,4.869305017,content,disse
1167768.0,7.055331658,function,la
1173060.0,2.747225731,content,befana
1240533.0,7.259198169,function,non
1247589.0,5.347199726,content,vedi
1263024.0,7.250456545,function,che
1266552.0,6.720262455,content,ho
1270080.0,7.055331658,function,la
1277136.0,3.930495574,content,scopa
1313739.0,7.039560886,function,il
1322118.0,4.637615696,content,naso
1337994.0,5.028890248,content,lungo
1359162.0,3.765533171,function,eccetera
1411200.0,6.115086172,function,anche
1425753.0,6.536707533,function,io
1438542.0,5.67812526,function,ce
1444275.0,5.74096192,function,li
1449567.0,6.720262455,content,ho
1477350.0,4.869305017,content,disse
1496754.0,6.640107629,function,l
1498518.0,5.649409994,function,altra
1549233.0,7.259198169,function,non
1555848.0,5.347199726,content,vedi
1569078.0,7.250456545,function,che
1576134.0,4.772076122,content,volo
1617147.0,4.772076122,content,volo
1632582.0,6.115086172,function,anche
1639638.0,6.536707533,function,io
1681533.0,4.869305017,content,disse
1698732.0,7.055331658,function,la
1703583.0,4.814327598,content,seconda
1773702.0,7.259198169,function,non
1782081.0,5.347199726,content,vedi
1796193.0,7.250456545,function,che
1799280.0,6.720262455,content,ho
1802367.0,7.039560886,function,il
1812069.0,5.218048496,content,sacco
1829268.0,4.865876178,content,pieno
1842498.0,7.232814475,function,di
1849113.0,3.689922594,content,doni
1897182.0,6.115086172,function,anche
1906884.0,6.536707533,function,io
1922319.0,5.67812526,function,ce
1929816.0,5.74096192,function,li
1935549.0,6.720262455,content,ho
1992879.0,7.055331658,function,la
2000376.0,2.747225731,content,befana
2017575.0,6.283626334,function,era
2025072.0,4.018938294,content,confusa
2077110.0,5.965637226,function,perché
2089017.0,6.283626334,function,era
2096514.0,5.13754741,content,sicura
2119887.0,7.232814475,function,di
2125179.0,6.225206681,function,essere
2142378.0,6.235566848,function,lei
2153844.0,7.055331658,function,la
2159136.0,2.747225731,content,befana
2178981.0,6.662005813,function,ma
2204118.0,6.115086172,function,anche
2222640.0,6.640107629,function,l
2224404.0,5.649409994,function,altra
2238075.0,4.840112001,content,sembrava
2257920.0,7.250456545,function,che
2262771.0,6.655915487,function,lo
2270268.0,5.645585191,content,fosse
2326275.0,5.904682499,function,forse
2343915.0,6.166704172,function,c
2346561.0,5.476165392,content,erano
2358027.0,5.996192947,,due
2365965.0,1.792983221,content,befane
2384046.0,6.069364593,function,nel
2394189.0,5.533168209,content,mondo
2414034.0,2.741151583,function,e
2425941.0,6.235566848,function,lei
2437407.0,7.259198169,function,non
2443581.0,6.655915487,function,lo
2448432.0,5.632280537,function,aveva
2462544.0,6.144963021,function,mai
2469600.0,4.901801848,content,saputo
2527371.0,6.662005813,function,ma
2532663.0,6.583110863,function,se
2544129.0,6.283626334,function,era
2549862.0,6.287788074,function,così
2588670.0,7.259198169,function,non
2595726.0,6.517126939,function,ci
2600136.0,5.666783201,function,sarebbe
2619981.0,5.783216598,content,stata
2637621.0,4.246301561,function,troppa
2655261.0,4.118293593,content,confusione
2686131.0,6.912435835,function,per
2690982.0,6.584780852,function,i
2695392.0,3.689922594,content,doni
2707299.0,5.578019274,function,ai
2724498.0,5.274801932,content,bambini
2789766.0,5.58994762,content,senti
2833866.0,4.869305017,content,disse
2850624.0,6.072527547,function,allora
2899134.0,5.388300287,content,facciamo
2915451.0,6.801817508,function,una
2925594.0,4.46841784,content,gara
2970576.0,6.108444494,function,chi
2980719.0,4.540977324,content,vince
3002328.0,5.778314248,function,sarà
3015117.0,7.055331658,function,la
3021291.0,2.747225731,content,befana
3043341.0,6.640107629,function,l
3069360.0,5.649409994,function,altra
3088764.0,5.071308031,content,andrà
3104199.0,5.666529051,function,sulla
3119193.0,5.30993154,content,terra
3130218.0,7.004335738,function,a
3153591.0,6.231286207,content,fare
3163293.0,7.055331658,function,la
3169026.0,2.232315915,content,vecchina
3225033.0,5.87641417,function,d
3228120.0,5.577662908,content,accordo
3271338.0,3.603383777,content,rispose
3288096.0,5.939281839,function,quella
3320289.0,7.250456545,function,che
3331755.0,4.46841784,content,gara
3341898.0,5.388300287,content,facciamo
3402756.0,7.065833912,function,un
3415545.0,4.772076122,content,volo
3431421.0,6.577812618,function,da
3437595.0,6.432892842,function,qui
3449943.0,6.135386161,function,alla
3460968.0,4.705470983,content,luna
3477726.0,2.741151583,function,e
3493602.0,4.657642602,content,ritorno
3550050.0,4.917324392,content,pronta
3606498.0,5.679544443,content,vai
3658536.0,6.624997683,function,le
3665592.0,5.996192947,,due
3671325.0,1.889893234,content,vecchine
3690288.0,2.653321228,content,partirono
3733947.0,3.459267144,content,attaccate
3771432.0,5.647107003,function,alle
3779370.0,5.914407635,function,loro
3791277.0,2.839283241,content,scope
3830526.0,6.620271703,function,con
3838905.0,6.584780852,function,i
3843756.0,4.325419086,content,bianchi
3865365.0,4.980151287,content,capelli
3897117.0,2.88111931,content,agitati
3924459.0,5.733978809,function,dal
3936807.0,4.536100847,content,vento
3994578.0,4.048858495,content,vola
4013982.0,2.741151583,function,e
4020156.0,4.048858495,content,vola
4039560.0,5.476165392,function,erano
4073076.0,1.889893234,content,velocissime
4158630.0,3.426451677,content,arrivarono
4185972.0,5.500638545,function,insieme
4210227.0,6.135386161,function,alla
4219047.0,4.705470983,content,luna
4256973.0,6.624997683,function,le
4266234.0,2.168646835,content,girarono
4285197.0,4.370618613,function,attorno
4339440.0,3.412337468,content,cominciarono
4376043.0,7.004335738,function,a
