BEGIN,entropy,word
97020,12.273460388183594,guerra
128331,8.072930335998535,campane
219618,1.5958997011184692,era
238140,8.076728820800781,volta
264159,7.647562026977539,guerra
306495,2.389578342437744,grande
326340,7.906208992004394,terribile
356328,4.414073944091797,guerra
404838,8.037544250488281,faceva
422478,8.086703300476074,morire
453789,6.99786376953125,soldati
489510,3.605789661407471,parte
587853,4.372946739196777,stavamo
612990,1.2936069965362549,qua
660177,5.901012897491455,nemici
678699,6.935707092285156,stavano
702072,2.0722053050994877,là
742644,4.179393768310547,sparavamo
765659,7.030264377593994,addosso
788067,5.835364818572998,giorno
804825,2.383681535720825,notte
867447,5.357884407043457,guerra
891702,5.409337043762207,tanto
909342,5.7419047355651855,lunga
949914,4.340812683105469,certo
964026,1.1324677467346191,punto
982989,7.2712907791137695,venne
996933,8.131668090820312,mancare
1028412,6.928188323974609,bronzo
1053549,5.659481048583984,cannoni
1088829,5.124306678771973,non
1094562,7.013829231262207,avevamo
1115730,6.946103572845459,più
1125432,7.078888416290283,ferro
1152333,5.327471733093262,baionette
1183644,4.096157073974609,eccetera
1281546,7.434462547302246,comandante
1334907,6.928578853607178,Stragenerale
1367982,6.69927453994751,Bombone
1392237,5.064482688903809,Sparone
1419579,4.899144172668457,Pestafracassone
1485729,7.457247734069824,ordinò
1512189,5.813121795654297,tirar
1526742,2.3131768703460693,giù
1555848,6.427900314331055,campane
1593333,4.142609119415283,campanili
1656396,5.849015712738037,fonderle
1690979,5.218949794769287,insieme
1733791,4.230966567993164,fabbricare
1763559,7.227974891662598,grossissimo
1795311,6.444077491760254,cannone
1847349,7.094666481018066,solo
1890126,8.160874366760254,grosso
1904679,4.05146074295044,abbastanza
1939518,7.291255474090576,vincere
1979208,4.474291801452637,guerra
2018898,6.510611534118652,sol
2029041,4.866967678070068,colpo
2114595,7.5855607986450195,sollevare
2148111,4.586934566497803,cannone
2192652,5.060978412628174,vollero
2241162,6.0452375411987305,gru
2286144,5.235490322113037,trasportarlo
2326716,7.185118675231934,fronte
2363319,3.789126873016357,vollero
2425059,3.867649555206299,treni
2488563,1.254712462425232,Stragenerale
2526048,5.636002540588379,fregava
2545893,7.843511581420898,mani
2567943,5.5124053955078125,contentezza
2608515,4.953227996826172,diceva
2673783,6.95404577255249,cannone
2694510,5.557459831237793,sparerà
2734641,6.80950403213501,nemici
2752281,4.473334312438965,scapperanno
2786679,6.518354892730713,fin
2808288,5.652817726135254,luna
2866941,7.226718902587891,Ecco
2880171,8.004446029663086,gran
2892519,6.369741916656494,momento
2947203,7.296981334686279,cannonissimo
2995272,7.41783857345581,puntato
3025701,5.501815319061279,nemici
3117429,5.121787071228027,riempiti
3146976,7.48213005065918,orecchie
3166380,6.311295986175537,ovatta
3220623,3.421505928039551,frastuono
3272220,4.434562683105469,romperci
3300885,3.070047616958618,timpani
3343221,7.1281843185424805,tromba
3364830,6.435301303863525,Eustachio
3474198,0.9340107440948486,Stragenerale
3507273,2.687638998031616,Bombone
3529764,3.763145685195923,Sparone
3555342,0.6000275015830994,Pestafracassone
3601206,5.428276538848877,ordinò
3638691,7.630249977111816,Fuoco
3699108,4.787245750427246,artigliere
3725568,7.351028919219971,premette
3750705,7.37045955657959,pulsante
3810681,7.0281829833984375,improvviso
3853458,7.4464521408081055,capo
3900645,6.22765588760376,fronte
3936366,4.626991271972656,udì
3952683,8.070466995239258,gigantesco
3982671,6.229907989501953,scampanio
4032945,6.548482418060303,Din
4054554,8.259361267089844,Don
4075281,4.928546905517578,Dan
4127319,5.491412162780762,levammo
4144518,7.596550464630127,ovatta
4171419,7.8503265380859375,orecchie
4192587,5.660764217376709,sentir
4211991,6.092757225036621,meglio
4258296,5.071418762207031,Din
4279464,4.515884399414063,Don
4318272,7.710893154144287,tuonava
4343409,5.316380023956299,cannonissimo
4434255,6.099298477172852,echi
4466889,5.2373552322387695,ripetevano
4503933,8.036300659179688,monti
4536567,6.257298946380615,valli
4565232,3.8233489990234375,Din
4608009,3.02034592628479,Dan
4664016,5.996827602386475,Fuoco
4701501,5.287456512451172,gridò
4720905,0.8602805137634277,Stragenerale
4765887,8.817309379577637,seconda
4784409,3.760954856872559,volta
4817925,4.4669389724731445,Fuoco
4839975,7.340448379516602,perbacco
4901274,5.547698020935059,artigliere
4926411,3.955876350402832,premette
4944033,4.592227935791016,nuovamente
4975362,6.727829456329346,pulsante
5033133,9.059808731079102,nuovo
5055183,5.613029956817627,festoso
5081202,7.708645820617676,concerto
5112072,9.49462890625,campane
5157936,8.778339385986328,diffuse
5186601,4.746755599975586,trincea
5216148,4.302396774291992,trincea
5279652,5.834082126617432,Pareva
5299497,4.683550834655762,suonassero
5330808,7.76316499710083,insieme
5369616,2.313976287841797,campane
5429592,5.998987197875977,patria
5493978,0.2424732446670532,Stragenerale
5535432,5.401714324951172,strappava
5557041,7.835602760314941,capelli
5590998,8.144003868103027,rabbia
5628924,7.2772393226623535,continuò
5651415,4.61854887008667,strapparseli
5691105,6.394076347351074,fin
5713596,8.075225830078125,rimase
5746230,6.127684116363525,solo
5808852,7.293547630310059,Poi
5850747,7.62363338470459,fu
5861772,8.953839302062988,momento
5887791,7.5119853019714355,silenzio
5956587,4.403082847595215,ecco
5986134,5.417962074279785,altra
6000687,2.2947232723236084,parte
6027588,7.067380905151367,fronte
6082272,7.734618186950684,segnale
6129900,6.998263835906982,rispose
6172236,8.528449058532715,allegro
6201342,4.497484683990479,assordante
6255144,5.784454345703125,Din
6298362,2.608020782470703,Dan
6379065,9.34503173828125,sapere
6421401,7.83640718460083,anche
6437718,7.5678791999816895,comandante
6480495,6.618478775024414,nemici
6521949,7.569943904876709,Mortesciallo
6563844,7.455435276031494,Von
6579279,4.715023994445801,Bombonen
6614559,5.059753894805908,Sparonen
6651603,4.099008083343506,Pestafrakasson
6741690,8.435220718383789,avuto
6758766,6.014254093170166,idea
6789195,4.621502876281738,fabbricare
6818301,5.342255115509033,cannonissimo
6871221,3.5059640407562256,campane
6916644,5.84532356262207,paese
6973092,3.573994398117065,Din
7036917,3.084017753601074,tuonava
7054134,6.441790580749512,adesso
7096572,6.504879951477051,cannone
7147728,4.499142646789551,Don
7186095,4.589143753051758,rispondeva
7240779,5.101487159729004,nemici
7315308,5.850152492523193,soldati
7353675,8.708711624145508,eserciti
7399980,5.080127716064453,balzavano
7441434,4.241028308868408,trincee
7504056,5.44125509262085,correvano
7528456,6.864980697631836,incontro
7572852,5.320248126983643,ballavano
7601076,6.501602649688721,gridavano
7657965,6.48324728012085,campane
7698537,5.659995079040527,campane
7766010,6.21315860748291,festa
7801731,1.452784538269043,scoppiata
7834365,3.7362022399902335,pace
7893900,1.3020018339157104,Stragenerale
7929180,2.6382391452789307,Mortesciallo
7961814,4.640403270721436,salirono
8010765,6.98121452331543,automobili
8053101,4.513259410858154,corsero
8082207,6.149327754974365,lontano
8137332,4.697873115539551,consumarono
8198190,4.963639259338379,benzina
8263017,7.713194847106934,suono
8289918,0.7620529532432556,campane
8329608,5.370728969573975,inseguiva
8365452,7.066579341888428,ancora
