BEGIN,entropy,type_of_words,word
89523,0.5,function,La
97020,12.273460388183594,content,guerra
117747,7.147853374481201,function,delle
128331,8.072930335998535,content,campane
213885,2.653458595275879,function,C'
219618,1.5958997011184692,content,era
228191,5.918224334716797,function,una
238140,8.076728820800781,content,volta
256512,5.439259052276611,function,una
264159,7.647562026977539,content,guerra
295470,6.634452819824219,function,una
306495,2.389578342437744,content,grande
324576,4.433534622192383,function,e
326340,7.906208992004394,content,terribile
356328,4.414073944091797,content,guerra
394254,6.257394790649414,function,che
404838,8.037544250488281,content,faceva
422478,8.086703300476074,content,morire
438354,6.776800155639648,function,molti
453789,6.99786376953125,content,soldati
475839,4.806957244873047,function,da
481876,8.15769100189209,function,una
489510,3.605789661407471,content,parte
515088,2.5934717655181885,function,e
516852,3.1168651580810547,function,dall'
528318,1.894913911819458,function,altra
581440,7.090239524841309,function,Noi
587853,4.372946739196777,content,stavamo
607698,7.729194641113281,function,di
612990,1.2936069965362549,content,qua
636804,5.543651103973389,function,e
641655,3.1460671424865723,function,i
643419,5.124894142150879,function,nostri
660177,5.901012897491455,content,nemici
678699,6.935707092285156,content,stavano
696316,7.859962940216064,function,di
702072,2.0722053050994877,content,là
731178,7.46775484085083,function,e
737793,7.6298828125,function,ci
742644,4.179393768310547,content,sparavamo
765659,7.030264377593994,content,addosso
788067,5.835364818572998,content,giorno
800569,1.7407962083816528,function,e
804825,2.383681535720825,content,notte
857745,7.365837097167969,function,ma
861714,6.775138854980469,function,la
867447,5.357884407043457,content,guerra
882970,6.281047344207764,function,era
891702,5.409337043762207,content,tanto
909342,5.7419047355651855,content,lunga
938007,3.6012492179870605,function,che
943740,6.54813814163208,function,a
946827,7.407442569732666,function,un
949914,4.340812683105469,content,certo
964026,1.1324677467346191,content,punto
977697,6.8459577560424805,function,ci
982989,7.2712907791137695,content,venne
994014,6.991639614105225,function,a
996933,8.131668090820312,content,mancare
1018710,5.513389587402344,function,il
1028412,6.928188323974609,content,bronzo
1043847,4.419289588928223,function,per
1047816,8.355422973632812,function,i
1053549,5.659481048583984,content,cannoni
1088829,5.124306678771973,content,non
1094562,7.013829231262207,content,avevamo
1115730,6.946103572845459,content,più
1125432,7.078888416290283,content,ferro
1140867,4.709096908569336,function,per
1146600,7.04279899597168,function,le
1152333,5.327471733093262,content,baionette
1183644,4.096157073974609,content,eccetera
1259496,7.184244155883789,function,Il
1264788,8.466130256652832,function,nostro
1281546,7.434462547302246,content,comandante
1326969,8.685149192810059,function,lo
1334907,6.928578853607178,content,Stragenerale
1367982,6.69927453994751,content,Bombone
1392237,5.064482688903809,content,Sparone
1419579,4.899144172668457,content,Pestafracassone
1485729,7.457247734069824,content,ordinò
1505133,4.884972095489502,function,di
1512189,5.813121795654297,content,tirar
1526742,2.3131768703460693,content,giù
1534239,5.583751201629639,function,tutte
1549674,0.9117066860198976,function,le
1555848,6.427900314331055,content,campane
1584072,5.0470123291015625,function,dai
1593333,4.142609119415283,content,campanili
1642284,4.954203605651856,function,e
1648458,8.328911781311035,function,di
1656396,5.849015712738037,content,fonderle
1676682,5.328121662139893,function,tutte
1690979,5.218949794769287,content,insieme
1724751,4.26181173324585,function,per
1733791,4.230966567993164,content,fabbricare
1760472,6.128655433654785,function,un
1763559,7.227974891662598,content,grossissimo
1795311,6.444077491760254,content,cannone
1834560,7.787742137908935,function,uno
1847349,7.094666481018066,content,solo
1883511,7.837407112121582,function,ma
1890126,8.160874366760254,content,grosso
1904679,4.05146074295044,content,abbastanza
1933785,5.234928131103516,function,da
1939518,7.291255474090576,content,vincere
1958481,5.5376505851745605,function,tutta
1973475,1.6704297065734863,function,la
1979208,4.474291801452637,content,guerra
1999494,3.254112482070923,function,con
2015087,6.483711242675781,function,un
2018898,6.510611534118652,content,sol
2029041,4.866967678070068,content,colpo
2109303,7.218320369720459,function,A
2114595,7.5855607986450195,content,sollevare
2137527,5.168176651000977,function,quel
2148111,4.586934566497803,content,cannone
2186919,6.0705766677856445,function,ci
2192652,5.060978412628174,content,vollero
2212938,7.723223686218262,function,centomila
2241162,6.0452375411987305,content,gru
2279529,7.31138277053833,function,per
2286144,5.235490322113037,content,trasportarlo
2319219,6.821342945098877,function,al
2326716,7.185118675231934,content,fronte
2355822,6.477027893066406,function,ci
2363319,3.789126873016357,content,vollero
2384046,4.522171974182129,function,novantasette
2425059,3.867649555206299,content,treni
2482389,7.23723030090332,function,Lo
2488563,1.254712462425232,content,Stragenerale
2518551,6.804732799530029,function,si
2526048,5.636002540588379,content,fregava
2541042,6.450474262237549,function,le
2545893,7.843511581420898,content,mani
2557359,5.618302822113037,function,per
2563092,9.095307350158691,function,la
2567943,5.5124053955078125,content,contentezza
2605869,4.603236198425293,function,e
2608515,4.953227996826172,content,diceva
2650555,9.10861873626709,function,Quando
2660553,7.952809333801269,function,il
2664963,6.666234493255615,function,mio
2673783,6.95404577255249,content,cannone
2694510,5.557459831237793,content,sparerà
2732436,6.1394524574279785,function,i
2734641,6.80950403213501,content,nemici
2752281,4.473334312438965,content,scapperanno
2786679,6.518354892730713,content,fin
2794617,5.172921180725098,function,sulla
2808288,5.652817726135254,content,luna
2866941,7.226718902587891,content,Ecco
2876643,5.052475929260254,function,il
2880171,8.004446029663086,content,gran
2892519,6.369741916656494,content,momento
2940588,7.725800037384033,function,Il
2947203,7.296981334686279,content,cannonissimo
2985570,9.058773040771484,function,era
2995272,7.41783857345581,content,puntato
3015558,6.100614547729492,function,sui
3025701,5.501815319061279,content,nemici
3090087,7.544843673706055,function,Noi
3099348,8.702674865722656,function,ci
3102876,8.679719924926758,function,eravamo
3117429,5.121787071228027,content,riempiti
3144330,3.460454225540161,function,le
3146976,7.48213005065918,content,orecchie
3162852,4.528426647186279,function,di
3166380,6.311295986175537,content,ovatta
3202542,6.856216430664063,function,perché
3215308,7.470333576202393,function,il
3220623,3.421505928039551,content,frastuono
3256344,7.760461807250977,function,poteva
3272220,4.434562683105469,content,romperci
3296034,5.878412246704102,function,i
3300885,3.070047616958618,content,timpani
3332637,4.674344539642334,function,e
3337047,8.827348709106445,function,la
3343221,7.1281843185424805,content,tromba
3360420,6.099732875823975,function,di
3364830,6.435301303863525,content,Eustachio
3465378,7.522397994995117,function,Lo
3474198,0.9340107440948486,content,Stragenerale
3507273,2.687638998031616,content,Bombone
3529764,3.763145685195923,content,Sparone
3555342,0.6000275015830994,content,Pestafracassone
3601206,5.428276538848877,content,ordinò
3638691,7.630249977111816,content,Fuoco
3692052,7.01981782913208,function,Un
3699108,4.787245750427246,content,artigliere
3725568,7.351028919219971,content,premette
3745395,5.392799377441406,function,un
3750705,7.37045955657959,content,pulsante
3800538,7.037607669830322,function,E
3807153,4.963770389556885,function,d'
3810681,7.0281829833984375,content,improvviso
3841992,8.178084373474121,function,da
3847725,6.940487861633301,function,un
3853458,7.4464521408081055,content,capo
3864924,4.393496990203857,function,all'
3873744,1.997190237045288,function,altro
3888738,5.7835307121276855,function,del
3900645,6.22765588760376,content,fronte
3927105,7.864805698394775,function,si
3936366,4.626991271972656,content,udì
3945627,7.777230739593506,function,un
3952683,8.070466995239258,content,gigantesco
3982671,6.229907989501953,content,scampanio
4032945,6.548482418060303,content,Din
4054554,8.259361267089844,content,Don
4075281,4.928546905517578,content,Dan
4111443,7.161786079406738,function,Noi
4120263,9.053587913513184,function,ci
4127319,5.491412162780762,content,levammo
4142754,3.539264917373657,function,l'
4144518,7.596550464630127,content,ovatta
4159953,6.976873397827148,function,dalle
4171419,7.8503265380859375,content,orecchie
4186854,5.3324151039123535,function,per
4192587,5.660764217376709,content,sentir
4211991,6.092757225036621,content,meglio
4258296,5.071418762207031,content,Din
4279464,4.515884399414063,content,Don
4297545,3.6141066551208496,function,Dan
4318272,7.710893154144287,content,tuonava
4336353,7.050108432769775,function,il
4343409,5.316380023956299,content,cannonissimo
4398093,7.259123802185059,function,E
4403826,4.814757823944092,function,centomila
4434255,6.099298477172852,content,echi
4466889,5.2373552322387695,content,ripetevano
4495113,5.678466320037842,function,per
4503933,8.036300659179688,content,monti
4525101,6.064045429229736,function,e
4529511,7.788451194763184,function,per
4536567,6.257298946380615,content,valli
4565232,3.8233489990234375,content,Din
4587723,3.3398778438568115,function,Don
4608009,3.02034592628479,content,Dan
4664016,5.996827602386475,content,Fuoco
4701501,5.287456512451172,content,gridò
4716054,6.701861381530762,function,lo
