BEGIN,semantic_dissimilarity,word
102753,0.6727859377861023,viola
133182,0.5248609185218811,polo
149058,0.3987143933773041,Nord
258426,0.4006945788860321,mattina
308259,0.3871312737464905,Polo
320607,0.3133256733417511,Nord
358533,0.4155977368354797,orso
371322,0.3889020681381225,bianco
392710,0.4716124832630157,fiutò
418950,0.4239994287490845,aria
439677,0.3793284893035888,odore
452466,0.3769362568855285,insolito
511560,0.3618620634078979,fece
523467,0.3833314776420593,notare
548604,0.5000759363174438,Orsa
563598,0.5052649974822998,Maggiore
624456,0.4121142625808716,minore
661059,0.4602018296718597,figlia
735588,0.3877591490745544,arrivata
764253,0.427613765001297,spedizione
871416,0.3806278705596924,invece
889938,0.5037102699279785,orsacchiotti
948150,0.3900987505912781,trovare
971964,0.3950487077236175,viola
1069866,0.3527413010597229,piccola
1090593,0.4200076162815094,violetta
1112643,0.4481596052646637,mammola
1156743,0.3990096151828766,tremava
1184526,0.4085262417793274,freddo
1234800,0.3874334692955017,continuava
1263465,0.4228388965129852,coraggiosamente
1309329,0.3851676881313324,profumare
1339317,0.3683200478553772,aria
1440747,0.3620666861534118,dovere
1541295,0.537115216255188,Prima
1562904,0.4984474182128906,sera
1604799,0.4850783348083496,sparse
1652868,0.5230321884155273,Polo
1669626,0.3997703492641449,notizia
1736217,0.4665675163269043,piccolo
1761795,0.4279662370681762,strano
1808982,0.4022421240806579,profumato
1855728,0.4553053975105285,colore
1881747,0.3894905149936676,violetto
1938636,0.3705571889877319,apparso
1972152,0.408302903175354,deserto
2004345,0.3637989461421966,ghiaccio
2057265,0.3911358714103699,reggeva
2089017,0.4221702218055725,sola
2106657,0.4605401456356048,zampa
2142378,0.2809544801712036,non
2158695,0.3500684201717376,muoveva
2258361,0.4472391605377197,vedere
2277765,0.5126845240592957,viola
2335095,0.4455994069576263,foche
2365965,0.4325191676616668,trichechi
2421090,0.422750174999237,vennero
2453283,0.4756087362766266,Siberia
2484130,0.3091647922992706,renne
2530899,0.3914947509765625,America
2560005,0.3438668549060821,buoi
2571912,0.3826400637626648,muschiati
2639826,0.4722280502319336,più
2653497,0.4171270728111267,lontano
2676429,0.3965858817100525,ancora
2708181,0.3501262366771698,volpi
2731554,0.3075318932533264,bianche
2783592,0.3239819407463074,lupi
2817990,0.3644161820411682,gazze
2838276,0.369764506816864,marine
2916774,0.4270582199096679,ammiravano
2948085,0.4471376538276672,fiore
2956905,0.3899976909160614,sconosciuto
3031875,0.4445912837982178,stelo
3051279,0.3992897272109985,tremante
3143007,0.3315186500549316,aspiravano
3196368,0.3518798649311065,profumo
3277512,0.3574090898036957,restava
3297798,0.3611897826194763,sempre
3319848,0.4485740065574646,abbastanza
3385557,0.3539005219936371,arrivavano
3412912,0.434269905090332,ultimi
3438036,0.3401504755020141,annusare
3496248,0.319941908121109,restava
3519180,0.3124751448631286,sempre
