BEGIN,surprisal,type_of_words,word
89082.0,2.4987967014312744,function,L'
92169.0,21.64995765686035,content,Apollonia
123921.0,8.410419464111328,function,della
134505.0,25.701904296875,content,marmellata
209475.0,5.894895076751709,function,A
224910.0,12.867918968200684,content,Sant'
239022.0,6.910490989685059,content,Antonio
275184.0,7.474115371704102,function,sul
287973.0,6.797952175140381,content,Lago
297234.0,1.3164002895355225,content,Maggiore
334278.0,14.061180114746094,content,viveva
354564.0,3.0013890266418457,function,una
365148.0,19.185609817504883,content,donnina
390726.0,10.966833114624023,content,tanto
408366.0,9.376858711242676,content,brava
421596.0,8.104921340942383,function,a
437472.0,5.592484951019287,content,fare
452025.0,3.442665100097656,function,la
457317.0,13.39183235168457,content,marmellata
491715.0,10.991887092590332,content,così
523026.0,8.341299057006836,content,brava
547281.0,1.5610538721084597,function,che
572418.0,6.222358226776123,function,i
577710.0,1.4914617538452148,function,suoi
588294.0,11.260621070861816,content,servigi
628425.0,5.685383319854736,function,erano
647829.0,13.298884391784668,content,richiesti
676053.0,4.682602405548096,function,in
680022.0,25.22616958618164,content,Valcuvia
710892.0,3.857414960861206,function,in
732501.0,45.02441787719727,content,Valtravaglia
768663.0,2.481003761291504,function,in
786744.0,2.3358359336853027,content,Val
793359.0,25.634357452392575,content,Dumentina
826434.0,2.33154034614563,function,e
827757.0,1.127518892288208,function,in
848925.0,1.2172318696975708,content,Val
859950.0,26.440593719482425,content,Poverina
919485.0,4.733602523803711,function,La
946827.0,12.217788696289062,content,gente
972846.0,13.09886360168457,function,quand'
986958.0,1.9887850284576416,function,era
994896.0,4.334547996520996,function,la
1001070.0,11.400677680969238,content,stagione
1042083.0,8.435406684875488,content,arrivava
1065456.0,3.429095268249512,function,da
1071189.0,5.782769203186035,function,tutte
1085742.0,0.0746171101927757,function,le
1090593.0,8.734003067016602,content,valli
1111761.0,6.614089012145996,function,si
1138662.0,17.9234676361084,content,sedeva
1155420.0,5.388194561004639,function,sul
1163799.0,28.315853118896484,content,muricciolo
,6.632014751434326,function,a
1202607.0,7.5101213455200195,content,guardare
1222011.0,2.5649397373199463,function,il
1227744.0,6.714630603790283,content,panorama
1250676.0,4.068068504333496,function,del
1256409.0,3.821233749389648,content,lago
1293453.0,15.85892105102539,content,coglieva
1318590.0,8.920401573181152,function,qualche
1333143.0,19.13918685913086,content,lampone
1355193.0,9.096365928649902,function,dai
1363131.0,10.96608066558838,content,cespugli
1408554.0,6.545909404754639,content,poi
1417374.0,15.702877044677734,content,chiamava
1438542.0,3.739041805267334,function,la
1443393.0,9.328706741333008,content,donnina
1464120.0,9.033455848693848,function,della
1473822.0,6.748101234436035,content,marmellata
1540413.0,19.54462432861328,content,Apollonia
1620675.0,8.826415061950684,function,Che
1628613.0,6.203317165374756,function,c'
1635669.0,5.2435455322265625,content,è
1685061.0,11.300686836242676,function,Me
1689030.0,5.6107096672058105,function,la
1694322.0,14.913980484008787,content,fareste
1716813.0,7.638906478881836,function,una
1722105.0,7.0208940505981445,content,marmellata
1749006.0,4.281482696533203,function,di
1752534.0,14.878984451293944,content,mirtilli
