BEGIN,semantic_dissimilarity,type_of_words,word
89523.0,0.5,function,La
98343.0,0.2314035892486572,content,camicia
123480.0,0.5823925137519836,function,dell'
133623.0,0.4115869998931885,content,uomo
145971.0,0.4024600386619568,content,contento
227115.0,0.3730328679084778,function,Un
235053.0,0.4263707995414734,content,Re
256662.0,0.3955256938934326,content,aveva
268128.0,0.298420250415802,function,un
276507.0,0.3953658938407898,content,figlio
287973.0,0.3744809627532959,content,unico
325458.0,0.3403820991516113,function,e
326781.0,0.4246070384979248,function,gli
332514.0,0.3681236505508423,content,voleva
348390.0,0.3605970740318298,function,bene
360297.0,0.3994653820991516,function,come
371763.0,0.4214975833892822,function,alla
380142.0,0.4603438973426819,content,luce
393813.0,0.3877744078636169,function,dei
402633.0,0.3300493955612182,function,suoi
412776.0,0.3329569101333618,content,occhi
446292.0,0.3553887605667114,function,Ma
450702.0,0.3584438562393188,function,questo
466137.0,0.4046300649642944,content,Principe
486423.0,0.3187829852104187,function,era
492156.0,0.3986203670501709,function,sempre
508473.0,0.3600291609764099,content,scontento
571095.0,0.3689964115619659,content,Passava
590499.0,0.4109911918640136,content,giornate
605052.0,0.3983232975006103,content,intere
622378.0,0.3856977224349975,content,affacciato
642537.0,0.3762977719306946,function,al
649152.0,0.3679058253765106,content,balcone
676053.0,0.3627687096595764,function,a
678258.0,0.3684961199760437,content,guardare
699867.0,0.3498712182044983,function,lontano
757461.0,0.4527469873428345,function,Ma
762202.0,0.4610127210617065,function,cosa
774396.0,0.419022798538208,function,ti
780570.0,0.4294772148132324,content,manca
800856.0,0.4389560222625732,function,gli
807030.0,0.4284918904304504,content,chiedeva
825552.0,0.3380228281021118,function,il
830844.0,0.3850864768028259,content,Re
846812.0,0.3369054794311523,function,Che
852453.0,0.3956614434719085,function,cos'
865683.0,0.3627943992614746,content,hai
906255.0,0.3390127420425415,function,Non
912870.0,0.358232319355011,function,lo
918603.0,0.3806559443473816,content,so
929187.0,0.4572687149047851,content,padre
941094.0,0.357709676027298,function,mio
962262.0,0.2784202098846435,function,non
966231.0,0.2955572605133056,function,lo
971082.0,0.3132790327072143,content,so
979461.0,0.4398471713066101,function,neanch'
997101.0,0.3890953958034515,function,io
1036006.0,0.3883458375930786,function,Sei
1047516.0,0.41635462641716,content,innamorato
1097609.0,0.3887419104576111,function,Se
1102941.0,0.3900752663612366,content,vuoi
1113966.0,0.3988261818885803,function,una
1119699.0,0.4590004682540893,function,qualche
1136016.0,0.4132953882217407,content,ragazza
1155861.0,0.422323614358902,content,dimmelo
1181439.0,0.3853163719177246,function,e
1189818.0,0.3792184591293335,function,te
1193787.0,0.3301934599876404,function,la
1198197.0,0.398287296295166,content,farò
1209663.0,0.3907426297664642,content,sposare
1249353.0,0.4482115507125854,function,fosse
1262142.0,0.2860534191131592,function,la
1267875.0,0.3661933541297912,content,figlia
1281546.0,0.4036315679550171,function,del
1288602.0,0.464536190032959,content,Re
1300509.0,0.4050996899604797,function,più
1307124.0,0.3882108926773071,content,potente
1325646.0,0.4668388962745666,function,della
1335348.0,0.4231107234954834,content,terra
1360926.0,0.355999231338501,function,o
1363572.0,0.293428897857666,function,la
1368864.0,0.3732093572616577,function,più
1376802.0,0.374158501625061,content,povera
1391796.0,0.4060332477092743,content,contadina
1449126.0,0.4856246709823608,function,No
1460592.0,0.4178009331226349,content,padre
1473579.0,0.3816447854042053,function,non
1481319.0,0.3836421966552734,function,sono
1490580.0,0.416280061006546,content,innamorato
1556289.0,0.4508849382400512,function,E
1557612.0,0.3552011251449585,function,il
1564668.0,0.4039167761802673,content,Re
1573488.0,0.4415802955627441,function,a
1576575.0,0.4661439657211303,content,riprovare
1599948.0,0.4583504199981689,function,tutti
1612737.0,0.4431121349334717,function,i
1614060.0,0.4279626607894897,content,modi
1624644.0,0.3714463710784912,function,per
1632582.0,0.4168412685394287,content,distrarlo
1683812.0,0.3844980001449585,content,Teatri
1705788.0,0.3353576362133026,content,balli
1726074.0,0.3023978471755981,content,musiche
1751211.0,0.3575686514377594,content,canti
1786932.0,0.4012069702148437,function,ma
1791783.0,0.4791509509086609,function,nulla
1802808.0,0.4079063534736633,content,serviva
1840734.0,0.3584181666374206,function,e
1842057.0,0.4594786167144775,function,dal
1852200.0,0.4286221265792846,content,viso
1861020.0,0.3665969967842102,function,del
1869399.0,0.4746950268745422,content,Principe
1889244.0,0.4134801030158996,function,di
1895859.0,0.5486462712287903,content,giorno
1908207.0,0.4886806607246399,function,in
1914381.0,0.3576685190200805,content,giorno
