BEGIN,surprisal,type_of_words,word
89523.0,0.0,function,La
98343.0,15.246132850646973,content,camicia
123480.0,7.388388156890869,function,dell'
133623.0,3.916913747787476,content,uomo
145971.0,20.20925521850586,content,contento
227115.0,16.116992950439453,function,Un
235053.0,15.532185554504396,content,Re
256662.0,12.517096519470217,content,aveva
268128.0,5.256377220153809,function,un
276507.0,6.19854211807251,content,figlio
287973.0,9.213507652282717,content,unico
325458.0,3.070610523223877,function,e
326781.0,6.987956523895264,function,gli
332514.0,7.343201637268066,content,voleva
348390.0,7.327375888824463,function,bene
360297.0,7.1247878074646,function,come
371763.0,13.267984390258787,function,alla
380142.0,6.678295612335205,content,luce
393813.0,4.686682224273682,function,dei
402633.0,2.5126078128814697,function,suoi
412776.0,2.296508550643921,content,occhi
446292.0,4.408768177032471,function,Ma
450702.0,7.117114543914795,function,questo
466137.0,9.615954399108888,content,Principe
486423.0,3.3076789379119877,function,era
492156.0,6.143787860870361,function,sempre
508473.0,21.268634796142575,content,scontento
571095.0,12.36989402770996,content,Passava
590499.0,9.8079252243042,content,giornate
605052.0,5.778268814086914,content,intere
622378.0,21.147579193115234,content,affacciato
642537.0,4.881069183349609,function,al
649152.0,7.71858549118042,content,balcone
676053.0,5.381128787994385,function,a
678258.0,3.4858672618865967,content,guardare
699867.0,11.798259735107422,function,lontano
757461.0,5.065793514251709,function,Ma
762202.0,5.838294982910156,function,cosa
774396.0,5.344528198242188,function,ti
780570.0,8.479747772216797,content,manca
800856.0,8.666065216064453,function,gli
807030.0,7.208981037139893,content,chiedeva
825552.0,2.2719407081604004,function,il
830844.0,2.7746095657348637,content,Re
846812.0,5.932158946990967,function,Che
852453.0,5.1258978843688965,function,cos'
865683.0,6.200066566467285,content,hai
906255.0,9.17123031616211,function,Non
912870.0,4.327834606170654,function,lo
918603.0,3.810127258300781,content,so
929187.0,11.890721321105955,content,padre
941094.0,7.099042892456055,function,mio
962262.0,3.1979289054870605,function,non
966231.0,1.0263748168945312,function,lo
971082.0,0.511430561542511,content,so
979461.0,31.989547729492188,function,neanch'
997101.0,3.235073566436768,function,io
1036006.0,7.003066062927246,function,Sei
1047516.0,14.006109237670898,content,innamorato
1097609.0,8.94195556640625,function,Se
1102941.0,3.535087823867798,content,vuoi
1113966.0,7.929501056671143,function,una
1119699.0,10.447104454040527,function,qualche
1136016.0,6.244657516479492,content,ragazza
1155861.0,28.028152465820312,content,dimmelo
1181439.0,5.764107704162598,function,e
1189818.0,6.308416366577148,function,te
1193787.0,3.4370365142822266,function,la
1198197.0,27.83335876464844,content,farò
1209663.0,8.579708099365234,content,sposare
1249353.0,14.116586685180664,function,fosse
1262142.0,5.162502765655518,function,la
1267875.0,6.912424564361572,content,figlia
1281546.0,2.336666822433472,function,del
1288602.0,2.731299877166748,content,Re
1300509.0,8.579530715942383,function,più
1307124.0,5.680077075958252,content,potente
1325646.0,3.835128545761109,function,della
1335348.0,2.712423086166382,content,terra
1360926.0,9.252208709716797,function,o
1363572.0,3.980175256729126,function,la
1368864.0,5.482127189636231,function,più
1376802.0,7.663453578948975,content,povera
1391796.0,19.963531494140625,content,contadina
1449126.0,7.091946601867676,function,No
1460592.0,8.747491836547852,content,padre
1473579.0,1.7176134586334229,function,non
1481319.0,5.970442295074463,function,sono
1490580.0,6.312817573547363,content,innamorato
1556289.0,4.183257579803467,function,E
1557612.0,6.391960144042969,function,il
1564668.0,1.8520158529281616,content,Re
1573488.0,9.637491226196287,function,a
1576575.0,17.10382843017578,content,riprovare
1599948.0,9.366846084594728,function,tutti
1612737.0,1.3173023462295532,function,i
1614060.0,6.183208465576172,content,modi
1624644.0,2.3633735179901123,function,per
1632582.0,19.50780487060547,content,distrarlo
1683812.0,23.766387939453125,content,Teatri
1705788.0,10.151464462280272,content,balli
1726074.0,10.237112998962402,content,musiche
1751211.0,14.40419578552246,content,canti
1786932.0,3.5013020038604736,function,ma
1791783.0,6.199580192565918,function,nulla
1802808.0,12.930346488952637,content,serviva
1840734.0,4.547264099121094,function,e
1842057.0,10.552946090698242,function,dal
1852200.0,8.356168746948242,content,viso
1861020.0,3.928632974624634,function,del
1869399.0,1.8913527727127075,content,Principe
1889244.0,5.824119567871094,function,di
1895859.0,10.064996719360352,content,giorno
1908207.0,6.306419372558594,function,in
1914381.0,0.3706361949443817,content,giorno
1929816.0,14.078432083129885,content,scompariva
1964655.0,3.1055908203125,function,il
1969065.0,11.948922157287598,content,color
1984941.0,5.467005252838135,function,di
1992879.0,8.580387115478516,content,rosa
2048004.0,4.15162992477417,function,Il
2053737.0,1.7969679832458496,content,Re
2061234.0,10.436638832092283,content,mise
2074905.0,6.779003620147705,function,fuori
2086371.0,3.284675359725952,function,un
2090781.0,19.604637145996094,content,editto
2125179.0,2.073690414428711,function,e
2127825.0,7.923738956451416,function,da
2132676.0,10.42721462249756,function,tutte
2144583.0,0.131855696439743,function,le
2149875.0,1.8517470359802248,content,parti
2161782.0,2.776886463165283,function,del
2168838.0,2.7562780380249023,content,mondo
2185155.0,9.314308166503906,content,venne
2194857.0,7.616456508636475,function,la
2201472.0,9.404525756835938,content,gente
2215584.0,6.482498645782471,function,più
2221656.0,14.264043807983398,content,istruita
2274695.0,17.20932388305664,content,filosofi
2304225.0,7.4389801025390625,content,dottori
2331126.0,4.5811543464660645,function,e
2334213.0,8.075037956237793,content,professori
2396835.0,5.783376693725586,function,Gli
2403891.0,15.33083152770996,content,mostrò
2421972.0,3.666582345962525,function,il
2426823.0,5.580093860626221,content,Principe
2451519.0,4.8489990234375,function,e
2452842.0,16.747655868530273,content,domandò
2472687.0,17.412405014038086,content,consiglio
2536632.0,11.597894668579102,function,Quelli
2552067.0,6.694317817687988,function,si
2556477.0,8.5466890335083,content,ritirarono
2581966.0,3.3604836463928223,function,a
2584260.0,12.249068260192873,content,pensare
2613366.0,7.279258728027344,function,poi
2621304.0,5.718176364898682,content,tornarono
2647764.0,9.839105606079102,function,dal
2660994.0,10.438413619995115,content,Re
2709945.0,23.26871490478516,content,Maestà
2745225.0,11.817375183105469,function,abbiamo
2760219.0,10.53571891784668,content,pensato
2798586.0,7.215091705322266,function,abbiamo
2812257.0,6.595845699310303,content,letto
2825046.0,4.694632530212402,function,le
2829456.0,14.341312408447266,content,stelle
2865177.0,7.801000118255615,function,ecco
2877525.0,4.452462673187256,function,cosa
2891196.0,8.881586074829102,function,dovete
2910159.0,3.812812805175781,content,fare
2954700.0,12.804835319519045,content,Cercate
2974866.0,5.983145236968994,function,un
2980719.0,6.420735836029053,content,uomo
2993067.0,2.537724018096924,function,che
2996595.0,5.840638160705566,function,sia
3006297.0,9.751870155334473,content,contento
3045969.0,4.329493999481201,function,ma
3052161.0,12.398658752441406,content,contento
3075181.0,7.444667339324951,function,in
3080826.0,5.879561424255371,function,tutto
3090969.0,4.632159233093262,function,e
3096702.0,3.7090675830841056,function,per
3106845.0,3.3613061904907227,function,tutto
3134187.0,2.3276727199554443,function,e
3136392.0,16.642301559448242,content,cambiate
3161467.0,3.086076021194458,function,la
3164616.0,7.692241668701172,content,camicia
3184461.0,4.252798557281494,function,di
3189312.0,10.316605567932127,function,vostro
3205188.0,2.110978841781616,content,figlio
3218859.0,7.7029709815979,function,con
3223269.0,2.6214187145233154,function,la
3230766.0,8.648001670837402,function,sua
3288113.0,8.913667678833008,function,Quel
3295152.0,3.955960750579834,content,giorno
3308382.0,16.11113166809082,content,stesso
3327786.0,3.703736066818237,function,il
3332637.0,1.4224854707717896,content,Re
3339693.0,11.842991828918455,content,mandò
3356451.0,6.552916049957275,function,gli
3361743.0,5.846256732940674,content,ambasciatori
3391731.0,5.37712287902832,function,per
3397905.0,6.919241905212402,function,tutto
3412458.0,0.8460559844970703,function,il
3420396.0,0.1728414744138717,content,mondo
3435390.0,3.442778348922729,function,a
3440241.0,5.61737871170044,content,cercare
3460086.0,4.659642696380615,function,l'
3464496.0,3.0907087326049805,content,uomo
3472875.0,9.142935752868652,content,contento
3513888.0,5.810952663421631,function,Gli
3522267.0,8.231635093688965,function,fu
3527559.0,10.831997871398926,content,condotto
3550173.0,8.552579879760742,function,un
3556224.0,14.221078872680664,content,prete
3593783.0,7.550606727600098,function,Sei
3602088.0,4.026796340942383,content,contento
3636265.0,7.626625537872314,function,gli
3644424.0,10.4264497756958,content,domandò
3662064.0,1.19761323928833,function,il
3668238.0,1.7704628705978394,content,Re
3706164.0,5.636326313018799,function,Io
3715866.0,19.337879180908203,function,sì
3725568.0,15.677902221679688,content,Maestà
3779811.0,16.772048950195312,function,Bene
3819060.0,8.524582862854004,function,Ci
3823029.0,12.096368789672852,content,avresti
3838905.0,12.402525901794434,content,piacere
3858692.0,5.327093601226807,function,a
3860073.0,9.093311309814451,content,diventare
3879477.0,3.2666633129119877,function,il
3883446.0,5.6433539390563965,function,mio
3889620.0,15.335803031921388,content,vescovo
3932397.0,10.698119163513184,function,Oh
3940776.0,14.979249954223633,function,magari
3962385.0,8.824440956115723,content,Maestà
3999429.0,18.916358947753903,content,Va'
4010723.0,11.429909706115724,function,via
4022361.0,11.70912265777588,function,Fuori
4032945.0,6.371702671051025,function,di
4040001.0,8.37674331665039,function,qua
4066461.0,15.637123107910156,content,Cerco
4079990.0,3.1656625270843506,function,un
4083219.0,2.784778594970703,content,uomo
4095126.0,4.736003398895264,content,felice
4111884.0,2.945028781890869,function,e
4113207.0,3.6334989070892334,content,contento
4136580.0,8.767898559570312,function,del
4145400.0,1.8786131143569944,function,suo
4151133.0,12.875162124633787,content,stato
4183767.0,5.249324798583984,function,non
4195233.0,11.566762924194336,function,uno
4205817.0,1.43940532207489,function,che
4210227.0,6.554229736328125,function,voglia
4224339.0,8.972355842590332,content,star
4235364.0,7.426450252532959,function,meglio
4248594.0,3.91693925857544,function,di
4252563.0,12.328118324279783,function,com'
,3.816195011138916,function,è
4294899.0,4.039915084838867,function,E
4302396.0,4.774528503417969,function,il
4310334.0,2.581455707550049,content,Re
4327533.0,11.49269962310791,content,prese
4336353.0,8.874900817871094,function,ad
4342086.0,6.171309947967529,content,aspettare
4368105.0,4.8714213371276855,function,un
4373397.0,6.704629898071289,function,altro
4426317.0,9.104665756225586,function,C'
,1.0459599494934082,content,era
4438206.0,2.2840468883514404,function,un
4441752.0,4.124932765960693,content,altro
4454100.0,5.480154037475586,content,Re
4460715.0,10.060701370239258,function,suo
4471299.0,7.642855644226074,content,vicino
4494672.0,9.01315212249756,function,gli
4500405.0,16.45908546447754,content,dissero
4534463.0,4.263094425201416,function,che
4538772.0,5.725306510925293,function,era
4544064.0,7.853273868560791,function,proprio
4561924.0,4.361210823059082,content,felice
4579785.0,3.829156875610352,function,e
4581108.0,7.261868476867676,content,contento
4624326.0,8.859221458435059,content,aveva
4638398.0,5.0237531661987305,function,una
4645053.0,3.364295959472656,content,moglie
4660488.0,7.764425277709961,content,bella
4671513.0,1.5184093713760376,function,e
4675923.0,7.883915901184082,content,buona
4701060.0,4.207814693450928,function,un
4707675.0,12.750128746032717,content,mucchio
4719141.0,1.3397645950317385,function,di
4725756.0,7.299144744873047,content,figli
4750893.0,8.031359672546387,function,aveva
4763241.0,10.492295265197754,content,vinto
4778235.0,6.669065475463867,function,tutti
4789701.0,1.2867207527160645,function,i
4791024.0,9.1405668258667,content,nemici
4808910.0,6.689453601837158,function,in
4812633.0,6.338823318481445,content,guerra
4832037.0,1.8252272605896,function,e
4838652.0,4.852190971374512,function,il
4845267.0,8.123003005981445,content,paese
4861143.0,6.500697135925293,content,stava
4874814.0,5.225353240966797,function,in
4882752.0,4.995002746582031,content,pace
4935702.0,14.685633659362791,function,Subito
4968358.0,3.3310163021087646,function,il
4972892.0,0.9509960412979126,content,Re
4989915.0,18.526968002319336,content,pieno
4999176.0,0.6797627210617065,function,di
5005350.0,7.501266956329346,content,speranza
5037984.0,13.495309829711914,content,mandò
5049891.0,4.459842205047607,function,gli
5055183.0,0.0795180052518844,content,ambasciatori
5088363.0,2.940459012985229,function,a
5090022.0,8.316014289855957,content,chiedergli
5112072.0,5.139397621154785,function,la
5116482.0,16.52752113342285,content,camicia
5181750.0,3.5967392921447754,function,Il
5187483.0,1.574854612350464,content,Re
5193657.0,14.214810371398926,function,vicino
5210856.0,13.68496799468994,content,ricevette
5235993.0,5.374064922332764,function,gli
5240844.0,2.716543912887573,content,ambasciatori
5305671.0,13.018351554870604,function,e
5347182.0,23.67352867126465,function,Sì
5364372.0,18.425264358520508,function,sì
5390784.0,3.781820297241211,function,non
5396076.0,4.413345336914063,function,mi
5401368.0,6.598754405975342,content,manca
5417685.0,8.63945484161377,function,nulla
5456493.0,12.21117115020752,content,peccato
5475015.0,21.10044288635254,function,però
5488245.0,5.902781009674072,function,che
5493096.0,8.49913501739502,function,quando
5504562.0,4.209555625915527,function,si
5510736.0,10.913243293762209,content,hanno
5518674.0,8.026358604431152,function,tante
5531022.0,6.489331245422363,content,cose
5546898.0,8.588786125183105,function,poi
5553072.0,5.291345596313477,function,si
5560569.0,9.888848304748535,function,debba
5574240.0,7.592753887176514,content,morire
5603138.0,5.696044921875,function,e
5607756.0,7.428330898284912,content,lasciare
5627160.0,10.313843727111816,function,tutto
5661117.0,8.534343719482422,function,Con
5669937.0,4.733219146728516,function,questo
5681844.0,9.19253158569336,content,pensiero
5701689.0,17.839763641357422,content,soffro
5718006.0,13.027215957641602,function,tanto
5734764.0,4.05592679977417,function,che
5738733.0,2.995664596557617,function,non
5747553.0,9.555584907531738,content,dormo
5761224.0,10.26878261566162,function,alla
5768721.0,8.867021560668945,content,notte
5787684.0,4.767927169799805,function,E
5820507.0,6.920708656311035,function,gli
5822964.0,3.608309030532837,content,ambasciatori
5851188.0,7.807753086090088,content,pensarono
5874120.0,7.597681522369385,function,bene
5884263.0,3.629103660583496,function,di
5890437.0,11.377410888671877,content,tornarsene
5916456.0,9.224790573120115,function,indietro
5978196.0,6.074762344360352,function,Per
5983488.0,16.0190372467041,content,sfogare
6012153.0,3.203687906265259,function,la
6015681.0,6.142372608184815,function,sua
6025383.0,8.970179557800293,content,disperazione
6070365.0,4.302114963531494,function,il
6075657.0,0.9571850895881652,content,Re
6083154.0,11.333195686340332,content,andò
6093671.0,1.0916420221328735,function,a
6100233.0,15.447307586669922,content,caccia
6132149.0,21.50770568847656,content,Tirò
6142596.0,3.791582584381104,function,a
6144289.0,8.04348373413086,function,una
6152391.0,19.13863754272461,content,lepre
6176205.0,4.206286907196045,function,e
6177528.0,13.723223686218262,content,credeva
6195168.0,6.760004043579102,function,d'
6196491.0,7.360680103302002,function,averla
6212808.0,12.220300674438477,content,presa
6231330.0,2.178799629211426,function,ma
6236181.0,4.637874126434326,function,la
6240591.0,20.34389877319336,content,lepre
6256467.0,23.32782745361328,content,zoppicando
6281163.0,16.071491241455078,content,scappò
6304977.0,6.3183770179748535,function,via
6351282.0,3.543367385864258,function,Il
6354810.0,0.8541767597198486,content,Re
6363630.0,7.739472389221191,function,le
6368922.0,12.424201011657717,content,tenne
6381270.0,10.532230377197266,function,dietro
6409053.0,2.284920454025269,function,e
6410376.0,7.419090270996094,function,s'
6415227.0,14.85666847229004,content,allontanò
6436836.0,5.488420486450195,function,dal
6445656.0,18.498023986816406,content,seguito
6498576.0,6.957116603851318,function,In
6503427.0,4.693546772003174,content,mezzo
6514893.0,5.388140201568604,function,ai
6517539.0,7.562063217163086,content,campi
6532533.0,13.402883529663086,content,sentì
6545763.0,4.799127578735352,function,una
6553260.0,4.2140092849731445,content,voce
6564726.0,7.166473388671875,function,d'
6566049.0,7.401247978210449,content,uomo
6578397.0,2.4627063274383545,function,che
6583248.0,8.388768196105957,content,cantava
6603975.0,3.301203489303589,function,la
6610590.0,39.26599884033203,content,falulella
6679386.0,3.576838731765747,function,Il
6685119.0,0.6840413212776184,content,Re
6691734.0,3.543773412704468,function,si
6700995.0,16.449216842651367,content,fermò
6745536.0,13.918693542480469,function,Chi
6753033.0,9.269989967346191,content,canta
6769350.0,14.369084358215332,function,così
6782139.0,6.247501850128174,function,non
6788313.0,10.771845817565918,function,può
6794487.0,5.365413188934326,function,che
6800220.0,8.920580863952637,function,essere
6816096.0,10.404251098632812,content,contento
6861519.0,2.460412740707397,function,e
6862842.0,14.79767894744873,content,seguendo
6884909.0,3.00410532951355,function,il
6889302.0,5.614224910736084,content,canto
6903414.0,8.58558177947998,function,s'
6907824.0,15.188603401184082,content,infilò
6922363.0,4.93087911605835,function,in
6925949.0,4.536387920379639,function,una
6936048.0,12.618918418884276,content,vigna
6962508.0,3.4125983715057373,function,e
6964713.0,8.961844444274902,function,tra
6971769.0,4.765914440155029,function,i
6975958.0,12.762717247009276,content,filari
6992937.0,8.816370010375977,content,vide
7002639.0,2.5135810375213623,function,un
7008813.0,6.111990928649902,content,giovane
7028658.0,5.4755473136901855,function,che
7039683.0,6.6185688972473145,content,cantava
7062174.0,31.11219787597656,content,potando
7081137.0,4.121867656707764,function,le
7084224.0,18.36903190612793,content,viti
7134498.0,8.778105735778809,content,Buon
7145082.0,23.720014572143555,content,dì
7153020.0,11.217748641967772,content,Maestà
7185654.0,0.7890828847885132,content,disse
7199325.0,7.35959005355835,function,quel
7209468.0,5.362343788146973,content,giovane
7246512.0,17.637367248535156,function,Così
7260183.0,9.235479354858398,function,di
7264152.0,13.312552452087402,content,buon'
7271649.0,6.932256698608398,content,ora
