BEGIN,entropy,type_of_words,word
89523.0,0.5,function,Il
99666.0,9.42333698272705,content,cardellino
190512.0,3.7691760063171382,function,Era
203301.0,7.927628040313721,function,una
210798.0,9.196075439453123,content,bellissima
238581.0,9.03366470336914,content,mattina
258867.0,5.388454437255859,function,di
266364.0,7.859096527099609,content,fine
277389.0,4.472630977630615,content,luglio
304290.0,4.233329772949219,function,e
308241.0,7.435264587402344,function,io
328986.0,8.68691635131836,function,nella
340893.0,6.585079669952393,content,casa
353682.0,4.839215278625488,function,in
360738.0,3.452704906463623,content,Toscana
396459.0,6.978586196899414,function,me
400428.0,3.316636800765991,function,ne
404838.0,6.510562896728516,function,stavo
419391.0,7.599811553955078,content,seduto
437472.0,5.844812870025635,function,sopra
450702.0,5.141724586486816,function,una
456435.0,8.344048500061035,content,sedia
470106.0,5.252504348754883,function,a
474075.0,2.473849296569824,content,sdraio
536256.0,7.442415237426758,function,Mia
545076.0,2.816000938415528,content,figlia
572859.0,5.959064483642578,function,a
574182.0,8.523234367370605,function,un
579915.0,5.238656997680664,content,movimento
601083.0,7.755794525146484,function,che
609462.0,7.424375534057617,content,feci
621810.0,8.378268241882324,function,con
626661.0,6.444617748260498,function,le
634158.0,6.901900291442871,content,gambe
665469.0,7.702914714813232,function,mi
671202.0,7.861974716186523,content,disse
685755.0,2.846618175506592,function,di
693693.0,6.560905933380127,content,stare
706482.0,6.1800150871276855,content,attento
732161.0,4.264887809753418,function,a
733824.0,7.461682319641113,function,dove
746172.0,4.903128623962402,content,mettevo
766899.0,5.204590320587158,function,i
770868.0,4.687736988067627,content,piedi
811440.0,7.116672992706299,function,Perché
859068.0,3.907522201538086,function,c'
863478.0,3.088165283203125,content,è
864801.0,7.937046051025391,function,un
870093.0,4.130839347839356,content,cardellino
898317.0,5.2600507736206055,function,che
901404.0,7.7040581703186035,function,se
909783.0,6.218382835388184,function,ne
913311.0,6.810186862945557,content,stava
925218.0,8.061878204345703,function,tra
931833.0,6.308318138122559,function,le
937125.0,4.87790584564209,function,tue
943299.0,3.113633155822754,content,scarpe
1003716.0,4.869843482971191,function,Mi
1008567.0,5.075544357299805,content,sporsi
1028853.0,6.7279791831970215,function,per
1036350.0,7.776071071624756,function,poterlo
1053549.0,5.763288021087647,content,vedere
1101944.0,4.84419059753418,content,Stava
1118376.0,6.296735763549805,content,fermo
1135134.0,8.292731285095215,function,non
1141749.0,7.685512542724609,content,cercava
1163799.0,5.291717529296875,function,da
1166886.0,5.327151298522949,content,mangiare
1229949.0,6.245691299438477,function,Mi
1232819.0,5.890531063079834,content,accorsi
1255968.0,2.8867526054382324,function,che
1259496.0,5.586117744445801,content,volgeva
1281546.0,6.558655738830566,function,la
1285515.0,5.826255798339844,content,testina
1306903.0,4.522877216339111,function,a
1309329.0,8.877704620361328,content,guardare
1331379.0,5.659040927886963,function,attorno
1348578.0,4.205056190490723,function,a
1352106.0,1.7648684978485107,function,sé
1376361.0,2.7873260974884038,function,non
1385622.0,7.782567024230957,content,sapendo
1413405.0,4.695098400115967,function,come
1423548.0,5.363605499267578,content,comportarsi
1525860.0,6.295168399810791,function,Mi
1530711.0,4.789113521575928,content,alzai
1547028.0,4.964698314666748,function,con
1556289.0,5.021818161010742,content,cautela
1590246.0,7.88843297958374,function,perché
1603158.0,6.890277862548828,function,il
1609209.0,3.447095394134521,content,cardellino
1648017.0,5.537322998046875,function,se
1655514.0,2.686866044998169,function,ne
1659042.0,3.616605520248413,content,stava
1673595.0,6.5453386306762695,function,lì
1683517.0,6.235464572906494,function,sempre
