BEGIN,Zipf_freq,type_of_words,word
89964.0,6.584780852,function,i
95256.0,2.92331699,content,tacchini
119952.0,7.259198169,function,non
127008.0,2.770706827,content,ringraziano
215649.0,5.051291187,function,negli
228438.0,5.363540754,content,stati
241227.0,1.93128592,content,uniti
269451.0,5.722242451,function,ogni
281799.0,4.400035934,content,quarto
296793.0,4.215614092,content,giovedì
313110.0,7.232814475,function,di
317520.0,3.87889785,content,novembre
342657.0,7.249521761,function,è
360738.0,5.184888228,content,festa
374850.0,3.425187354,content,grandissima
419832.0,5.965637226,function,perché
430857.0,6.553884221,function,si
439677.0,2.954351224,content,celebra
455553.0,7.039560886,function,il
460845.0,2.230448921,content,thanksgiving
490833.0,2.003836587,content,day
513765.0,4.814275912,content,vale
,7.004335738,function,a
527877.0,5.98002779,content,dire
537579.0,7.039560886,function,il
548163.0,5.731502947,content,giorno
558306.0,6.41186379,function,del
561393.0,1.367014489,content,ringraziamento
629307.0,6.584780852,function,i
644742.0,3.981560192,content,padri
657972.0,3.255381219,content,pellegrini
683550.0,5.26778204,function,quelli
705159.0,7.250456545,function,che
709569.0,5.476165392,function,erano
720153.0,2.753216094,content,sbarcati
746172.0,5.670836689,function,dalla
755433.0,1.954242509,content,mayflower
808794.0,5.792396528,function,dopo
822465.0,7.039560886,function,il
829962.0,5.356048799,content,primo
845838.0,3.255381219,content,abbondante
884205.0,4.165434923,content,raccolto
915957.0,6.237129549,content,fatto
931392.0,6.640107629,function,l
934038.0,5.351616804,content,anno
943299.0,3.253505214,content,appresso
967554.0,6.335583043,function,al
976374.0,5.914407635,function,loro
985194.0,4.965586153,content,arrivo
1014741.0,3.164051084,content,decisero
1036350.0,7.232814475,function,di
1040760.0,4.117265677,content,ringraziare
1068984.0,7.039560886,function,il
1076922.0,5.803155925,content,signore
1108674.0,4.379570526,content,mettendo
1125432.0,6.797274494,function,in
1133811.0,4.356612606,content,tavola
1149246.0,7.065833912,function,un
1154538.0,4.872797352,content,grosso
1170855.0,3.919277012,content,tacchino
1218483.0,4.478164941,content,animale
1243620.0,6.042129583,function,prima
,7.004335738,function,a
1257732.0,5.914407635,function,loro
1269639.0,4.139824991,content,sconosciuto
1313298.0,6.662005813,function,ma
1319031.0,6.102695876,function,molto
1337112.0,6.102695876,function,molto
1350783.0,3.830907478,content,apprezzato
