BEGIN;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD;Modo di articolazione;Luogo di articolazione;Sonorit�;Modo di articolazione;Luogo di articolazione;Sonorit�
0;-1;<p:>;;;;;;;;;;;;;;;;
88465;0;i;;Il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
94991;0;l;;Il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
100813;-1;<p:>;;;;;;;;;;;;;;;;
104782;1;p;;piccolo;p i kk o l o;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
106413;1;i;;piccolo;p i kk o l o;;;;;;;;alta;anteriore;v;alta;anteriore;v
111220;1;kk;;piccolo;p i kk o l o;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
123215;1;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
123877;1;l;;piccolo;p i kk o l o;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
125817;1;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
130051;2;r;;ragno;r a JJ o;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
132653;2;a;;ragno;r a JJ o;;;;;;;;bassa;centrale;v;bassa;centrale;v
138650;2;JJ;;ragno;r a JJ o;;;;;;;;nasale;palatale;sonora;nasale;palatale;sonora
152145;2;o;;ragno;r a JJ o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
156026;-1;<p:>;;;;;;;;;;;;;;;;
174283;3;t;;tesse;t E ss e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
175430;3;E;;tesse;t E ss e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
183721;3;ss;;tesse;t E ss e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
194922;3;e;;tesse;t E ss e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
200523;-1;<p:>;;;;;;;;;;;;;;;;
210092;4;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
216487;-1;<p:>;;;;;;;;;;;;;;;;
221779;5;t;;tace;t a tS e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
223146;5;a;;tace;t a tS e;;;;;;;;bassa;centrale;v;bassa;centrale;v
231349;5;tS;;tace;t a tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
237743;5;e;;tace;t a tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
243829;-1;<p:>;;;;;;;;;;;;;;;;
314257;6;s;;Splende;s p l E n d e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
321930;6;p;;Splende;s p l E n d e;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
330441;6;l;;Splende;s p l E n d e;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
331588;6;E;;Splende;s p l E n d e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
334146;6;n;;Splende;s p l E n d e;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
344377;6;d;;Splende;s p l E n d e;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
348390;7;e;;il;i l;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
350198;7;i;;il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
354344;7;l;;il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
361047;8;s;;sole;s o l e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
369602;8;o;;sole;s o l e;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
377761;8;l;;sole;s o l e;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
381553;8;e;;sole;s o l e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
