BEGIN,Zipf_freq,word
103282.2,6.237129549,fatto
129918.6,7.249521761,è
226894.5,6.237129549,fatto
271435.5,7.249521761,è
290354.4,1.734991274,paperetta
396635.4,3.49086613,decisa
438265.8,2.834375907,tuffarsi
480425.4,3.560139087,stagno
579033.0,3.698104207,anatra
636407.1,4.652271664,bordo
669614.4,4.26901738,specchio
695236.5,5.23681316,acqua
750934.7999999999,2.848934627,spiegò
798871.4999999999,4.350189561,pazienza
862640.1,3.70943717,vantaggi
896332.5,3.729999329,nuoto
996660.0,3.594043751,riuscì
1047683.7,3.599163195,convincerla
1118684.7,3.97696444,vedendo
1171913.4,4.709700299,buone
1209618.9,2.533345911,otteneva
1280355.3,3.766688211,decise
1409788.8,2.942971678,spingerla
1468089.0,5.23681316,acqua
1605284.1,5.64883539,successo
1682018.1,5.322012335,punto
1712535.3,3.698104207,anatra
1782477.9,1.491953226,indispettita
1802543.4,3.683683619,chiamò
1829664.9,5.40063926,aiuto
1907325.0,4.503840711,gatto
1928801.7,4.503840711,gatto
1952483.4,3.023432143,spinse
1996583.4,3.698104207,anatra
2032348.5,2.958079096,spingeva
2089105.2,1.734991274,paperetta
2209145.4,3.868530183,mosse
2244028.5,3.112609706,chiamarono
2323276.2,5.020066123,cane
2358556.2,3.023432143,spinse
2416018.5,4.503840711,gatto
2459633.4,2.958079096,spingeva
2512509.3,3.698104207,anatra
2552993.1,2.958079096,spingeva
2613895.2,1.734991274,paperetta
2642957.1,4.840112001,sembrava
2668050.0,2.834375907,incollata
2757308.4,5.30993154,terra
2828177.1,3.97589694,arrivò
2907998.1,3.919277012,tacchino
2936442.6,3.023432143,spinse
2990641.5,5.020066123,cane
3030066.9,2.958079096,spingeva
3092556.6,4.503840711,gatto
3134980.8,2.958079096,spingeva
3192575.4,3.698104207,anatra
3232353.6,2.958079096,spingeva
3305780.1,1.734991274,paperetta
3362669.1,2.561991092,spostava
3455146.8,2.911082533,millimetro
3537084.6,3.255381219,sembrò
3624138.0,4.222735501,resistenza
3667841.1,3.812618692,venir
3739150.8,3.919277012,tacchino
3769182.9,2.458094958,incominciò
3813679.8,4.239559218,urlare
3851870.4,4.449560513,lupo
3903379.2,4.449560513,lupo
3954799.8,1.734991274,tuffarono
4036781.7,3.560139087,stagno
4173227.1,1.734991274,paperetta
4192807.5,3.767840186,rimase
4291679.699999999,5.771979272,posto
4334809.5,3.698104207,anatra
4384995.300000001,4.503840711,gatto
4435666.199999999,5.020066123,cane
4489159.5,3.919277012,tacchino
4539389.399999999,1.96907448,urlarono
4570744.5,3.690610313,buttati
4583357.1,7.249521761,è
4634910.0,4.449560513,lupo
4680377.1,1.734991274,paperetta
4705381.8,3.958450129,vedeva
4791244.5,4.449560513,lupo
4796845.2,3.958450129,vedeva
4861187.1,4.478164941,animale
4888705.5,4.872797352,grosso
4898142.9,4.90302551,brutto
4958780.4,3.407089132,peloso
5010994.8,4.1007466,intenzioni
5159611.8,3.228349728,evidenti
5163448.5,2.942971678,spingerla
5255088.3,5.23681316,acqua
5313741.3,6.237129549,fatto
5392989.0,5.627006329,momento
5438456.1,4.092653922,trovava
5456404.8,6.123059474,stato
5498299.8,3.865784371,animo
5506326.0,4.063662057,ideale
5593070.7,2.533345911,bagnarsi
5617369.8,1.491953226,spiccò
5671304.1,5.00500427,gran
5674567.500000001,4.36860399,salto
5694985.8,4.231723291,andò
5731456.5,3.689922594,beccare
5757034.499999999,4.637615696,naso
5835885.3,4.449560513,lupo
5872311.899999999,3.850364012,mise
5952882.6,4.250107848,impegno
5955660.9,5.26961562,possibile
6009948.0,4.449560513,lupo
6020532.0,3.792440014,colto
6115523.4,3.270104476,sprovvista
6123020.399999999,2.065984493,ululando
6209059.499999999,2.065984493,ululando
6216027.3,2.965440196,fuggì
6307358.4,3.854152865,zampe
6312209.399999999,3.175450543,levate
6357676.5,3.698104207,anatra
6403849.199999999,4.503840711,gatto
6438070.8,5.020066123,cane
6525344.7,3.919277012,tacchino
6536678.399999999,2.808971327,uscirono
6606444.600000001,3.560139087,stagno
6645869.999999999,1.588863239,mogi
6678548.100000001,1.588863239,mogi
6679871.100000001,1.588863239,grondanti
6726837.6,5.23681316,acqua
6840042.300000001,3.513142525,andarono
6901738.2,6.237129549,fatto
6908132.699999999,7.249521761,è
6973047.9,5.003101004,giornata
7045945.199999999,5.238100711,fatta
7050796.2,5.484893151,bella
7118754.3,4.889371768,sole
7120871.100000001,1.792983221,scaldava
7180229.7,5.026360125,aria
7275309.300000001,1.734991274,paperetta
7311074.399999999,3.255381219,sembrò
7379473.5,3.623892521,opportuno
7416517.500000001,4.713237025,farsi
7463307.6,5.34960228,bel
7477596.0,3.023432143,bagnetto
,3.560139087,stagno
