BEGIN,Zipf_freq,type_of_words,word
87759.0,7.039560886,function,il
103282.2,6.237129549,content,fatto
129918.6,7.249521761,content,è
216310.5,7.039560886,function,il
226894.5,6.237129549,content,fatto
271435.5,7.249521761,content,è
278094.6,7.250456545,function,che
283033.8,7.055331658,function,la
290354.4,1.734991274,content,paperetta
340407.9,7.259198169,function,non
352447.2,6.553884221,function,si
360958.5,6.283626334,function,era
371013.3,6.01813737,function,ancora
396635.4,3.49086613,content,decisa
431915.4,7.004335738,function,a
438265.8,2.834375907,content,tuffarsi
468297.9,4.898280464,function,nello
480425.4,3.560139087,content,stagno
554910.3,6.287788074,function,così
575372.7000000001,6.640107629,function,l
579033.0,3.698104207,content,anatra
620354.7,5.857922973,function,sul
636407.1,4.652271664,content,bordo
659339.1,5.00875293,function,dello
669614.4,4.26901738,content,specchio
694442.7,5.87641417,function,d
695236.5,5.23681316,content,acqua
744496.2000000001,6.624997683,function,le
750934.7999999999,2.848934627,content,spiegò
786523.5,6.620271703,function,con
798871.4999999999,4.350189561,content,pazienza
856907.1000000001,6.584780852,function,i
862640.1,3.70943717,content,vantaggi
888703.2000000001,6.41186379,function,del
896332.5,3.729999329,content,nuoto
979681.5,6.662005813,function,ma
984664.8,7.259198169,function,non
991456.2,6.624997683,function,le
996660.0,3.594043751,content,riuscì
1013991.3,4.736972096,function,affatto
1040495.4,7.232814475,function,di
1047683.7,3.599163195,content,convincerla
1114362.9,2.741151583,function,e
1118684.7,3.97696444,content,vedendo
1148319.9,7.250456545,function,che
1155331.8,6.620271703,function,con
1161946.8,6.624997683,function,le
1171913.4,4.709700299,content,buone
1199608.2,7.259198169,function,non
1209618.9,2.533345911,content,otteneva
1231580.7,5.485224084,function,nulla
1280355.3,3.766688211,content,decise
1310211.0,4.066563167,function,senz
1366703.1,5.925371002,function,altro
1375346.7,7.232814475,function,di
1409788.8,2.942971678,content,spingerla
1416271.5,6.797274494,function,in
1468089.0,5.23681316,content,acqua
1485993.6,5.710022415,function,senza
1503236.7,4.714084175,function,alcun
1605284.1,5.64883539,content,successo
1615427.1,7.004335738,function,a
1628172.0,5.90824416,function,quel
1682018.1,5.322012335,content,punto
1686736.8,6.640107629,function,l
1712535.3,3.698104207,content,anatra
1782477.9,1.491953226,content,indispettita
1802543.4,3.683683619,content,chiamò
1808982.0,6.797274494,function,in
1829664.9,5.40063926,content,aiuto
1837691.1,7.039560886,function,il
1907325.0,4.503840711,content,gatto
1913631.3,7.039560886,function,il
1928801.7,4.503840711,content,gatto
1952483.4,3.023432143,content,spinse
1954908.9,6.640107629,function,l
1996583.4,3.698104207,content,anatra
2002360.5,7.250456545,function,che
2032348.5,2.958079096,content,spingeva
2039316.3,7.055331658,function,la
2089105.2,1.734991274,content,paperetta
2095543.8,7.250456545,function,che
2119710.6,5.368733783,function,nemmeno
2127516.3,6.553884221,function,si
2209145.4,3.868530183,content,mosse
2244028.5,3.112609706,content,chiamarono
2268151.2,6.072527547,function,allora
2278691.1,7.039560886,function,il
2323276.2,5.020066123,content,cane
2333419.2,7.250456545,function,che
2358556.2,3.023432143,content,spinse
2368081.8,7.039560886,function,il
2416018.5,4.503840711,content,gatto
2421751.5,7.250456545,function,che
2459633.4,2.958079096,content,spingeva
2462235.3,6.640107629,function,l
2512509.3,3.698104207,content,anatra
2517889.5,7.250456545,function,che
2552993.1,2.958079096,content,spingeva
2560754.7,7.055331658,function,la
2613895.2,1.734991274,content,paperetta
2618613.9,7.250456545,function,che
2642957.1,4.840112001,content,sembrava
2668050.0,2.834375907,content,incollata
2678634.0,7.004335738,function,a
2757308.4,5.30993154,content,terra
2808508.5,3.973037378,function,infine
2828177.1,3.97589694,content,arrivò
