BEGIN,surprisal,type_of_words,word
99048.6,23.779376983642575,content,Arrabbiato
144030.6,9.80289077758789,function,come
157128.3,4.250394821166992,function,un
164360.7,15.84034252166748,content,orso
263453.4,16.373126983642578,content,Flora
286650.0,13.196207046508787,content,torna
306230.4,7.074493885040283,function,dal
314080.2,13.258095741271973,content,mercato
379921.5,14.023238182067873,content,trascina
403206.3,4.66721248626709,function,le
412202.7,11.487236976623535,content,zampe
455244.3,2.9838786125183105,function,e
458904.6,8.514123916625977,content,ha
464549.4,4.030455589294434,function,il
472619.7,6.928966522216797,content,naso
487349.1,7.811059951782227,function,all'
559629.0,15.734737396240234,content,ingiù
562451.4,9.03725242614746,function,È
636230.7,21.94758033752441,content,imbronciata
650519.1,8.857728004455566,function,perché
657663.3,4.533244609832764,function,la
667012.5,2.141313314437866,function,sua
698367.6,7.100780010223389,content,mamma
706746.6,2.888556718826294,function,non
717551.1000000001,7.106638908386231,function,le
742423.5,2.5055201053619385,function,ha
744760.8,10.071499824523926,content,comprato
774704.7,8.482744216918945,function,i
779688.0,35.04137420654297,content,lecca-lecca
809720.1,9.57810878753662,content,al
816643.8,9.828520774841309,function,miele
845573.4,6.477068901062012,content,che
909342.0,12.214977264404297,function,desiderava
920058.3,10.54191780090332,content,tanto
941579.1,8.809002876281738,function,Ora
946518.3,19.706714630126957,function,brontola
1034233.2,5.229342937469482,content,in
1045214.1,10.64486312866211,function,giardino
1052005.5,14.916982650756836,content,Tutt'
1069425.0,8.139599800109863,function,a
1092357.0,6.223841667175293,function,un
1135751.4,8.750842094421387,function,tratto
1144042.2,13.796542167663574,content,spunta
1161064.8,23.56941032409668,content,Adele
1208251.8,4.604015350341797,content,la
1211603.4,7.248493671417236,function,piccola
1236475.8,20.675256729125977,content,ape
1238857.2,4.203030586242676,content,e
1266243.3,13.622167587280272,function,invita
1271314.8,6.059111595153809,content,l'
1352767.5,25.828617095947266,function,orsetta
1378389.6,1.2690236568450928,content,a
1386371.7,8.641260147094727,function,giocare
1412434.8,13.50357151031494,content,Danza
1436601.6,5.735863208770752,content,e
1468971.0,15.776268005371094,function,ronza
1478981.7,10.441207885742188,content,vicino
1494196.2,4.784664154052734,function,all'
1546322.4,5.932697772979736,function,orecchio
1552628.7,6.4368414878845215,content,della
1593244.8,5.589786052703857,function,sua
1600830.0,5.180812835693359,function,amica
1616617.8,3.004436016082764,content,che
1622835.9,8.59587574005127,function,invece
1708786.8,6.262210369110107,function,la
1725236.1,4.531444549560547,function,guarda
1733615.1,6.3455352783203125,content,di
1782345.6,15.32521915435791,function,traverso
1786887.9,5.652012348175049,content,Adele
1808629.2,3.381603479385376,content,si
1812951.0,14.94481372833252,function,stufa
1832663.7,2.526268482208252,content,e
1884878.1,8.350666999816895,function,decide
1939077.0,0.314266949892044,content,di
1952351.1,10.378966331481934,function,volare
1974357.0,5.33027982711792,content,via
2016693.0,45.13185119628906,function,Aspettami
2053251.9,12.920177459716797,content,dice
2061366.3,12.519829750061035,content,infine
2092897.8,7.665585517883301,function,Flora
2100438.9,20.336658477783203,content,seguendola
2121959.7,7.629114627838135,content,di
2129589.0,6.50006628036499,function,corsa
2216554.2,5.309858798980713,content,in
2226917.7,5.831231594085693,function,fondo
2245086.9,3.484573602676392,content,al
2289848.4,7.136807918548584,function,giardino
