BEGIN;semantic_dissimilarity;type_of_words;word
89523;;function;La
103194;0.613563955;content;fata
119070;0.338286787;content;gattina
223587;0.496226758;function;C'
228438;0.471978366;content;era
237258;0.439653277;function;una
247842;0.400099099;content;volta
286209;0.223563433;function;una
298557;0.350978851;content;bambina
329427;0.304702997;function;che
334719;0.379371762;function;si
345303;0.397154748;content;chiamava
364707;0.438630193;content;Lorenza
407043;0.334777474;function;e
413658;0.382786393;function;voleva
432621;0.389576733;content;viaggiare
496566;0.377906501;function;però
508914;0.304340243;content;aveva
526113;0.405429959;content;paura
558306;0.386132658;function;di
565803;0.414541602;function;non
574623;0.387271583;content;tornare
597114;0.425251007;function;a
604805;0.362898231;content;casa
682227;0.454776555;function;È
692370;0.351450861;content;facile
715302;0.380543679;content;partire
763812;0.390019059;content;diceva
816291;0.39507699;function;Ma
820701;0.376793146;function;se
829962;0.405932486;function;poi
837900;0.44263953;content;dimentico
863478;0.318235397;function;di
869211;0.326683372;content;tornare
930510;0.347154379;function;O
934479;0.34784323;function;se
945504;0.39963457;content;dimentico
972846;0.466880798;function;dov'
978579;0.422057271;function;è
985635;0.418218374;content;casa
1000629;0.338155627;function;mia
1060605;0.352227569;function;I
1063692;0.491989493;content;genitori
1084419;0.384402394;function;di
1089270;0.490950227;content;Lorenza
1124109;0.337573528;function;non
1132929;0.402566195;function;potevano
1153215;0.432023346;function;mai
1171296;0.316825926;content;fare
1183203;0.373988569;content;viaggi
1218924;0.403400362;function;più
1225098;0.386188149;content;lunghi
1242738;0.426692784;function;di
1248912;0.435976565;;cento
1263465;0.383876681;content;passi
1311093;0.346480072;function;perché
1323882;0.436150134;function;appena
1339317;0.396851182;content;Lorenza
1365777;0.323057175;function;non
1371069;0.402677238;content;vedeva
1387827;0.3937006;function;più
1394883;0.332520664;function;la
1401498;0.326393813;content;casa
1437219;0.325071633;function;voleva
1456182;0.296694398;content;tornare
1477927;0.32020697;function;indietro
1528506;0.364830017;function;Era
1539972;0.333394945;function;una
1548351;0.36335218;content;vita
1559376;0.348431706;content;impossibile
1651986;0.404813409;function;Un
1661688;0.421938121;content;giorno
1688148;0.337335765;function;il
1696968;0.451074183;content;papà
1708434;0.41013515;function;e
1710639;0.334373355;function;la
1716813;0.402341664;content;mamma
1730043;0.327773154;function;di
1738863;0.484756798;content;Lorenza
1760031;0.404613346;content;dissero
1807218;0.432398975;content;Basta
1839411;0.356569529;function;abbiamo
1855728;0.36205855;content;deciso
1901592;0.374457896;function;Noi
1911735;0.373396993;content;andremo
1927178;0.37649405;function;a
1928938;0.344766378;content;fare
1942164;0.321441293;function;un
1947835;0.372935206;content;viaggio
1993761;0.364992976;function;se
2004345;0.360941827;function;tu
2012724;0.366552919;content;verrai
2045799;0.334854543;function;bene
2085048;0.329211891;function;se
2095191;0.404982209;function;no
2113051;0.367918611;content;resterai
2141496;0.375820637;function;qui
2152080;0.362756014;function;da
2157813;0.438443899;content;sola
2244690;0.456689;function;Quella
2255715;0.421720028;content;notte
2269386;0.488348812;content;Lorenza
2288790;0.372380495;function;non
2298051;0.410270274;content;dormì
2350971;0.401970655;function;Voleva
2368611;0.378857493;content;partire
2414034;0.359849215;function;ma
2423736;0.272087455;content;aveva
2437848;0.345202923;content;paura
2462544;0.34513551;function;di
2469714;0.355454326;function;non
2477979;0.320838183;content;tornare
2529135;0.317371726;function;Ma
2539308;0.415349483;function;anche
2549597;0.343296647;content;rimanere
2569707;0.413829207;content;sola
2587232;0.279364347;function;non
2591757;0.319825709;function;le
2598813;0.347558379;content;piaceva
2654820;0.430399835;function;Che
2666286;0.39883393;content;fare
2751032;0.386471927;content;Stava
2763747;0.374445915;function;lì
2771244;0.372801125;function;a
2776977;0.392573148;content;girarsi
2799468;0.355387688;function;nel
2808288;0.398064375;content;letto
2849742;0.399384439;function;quando
2862531;0.453303367;content;sentì
2880171;0.457102597;content;grattare
2902221;0.360139132;function;sul
2912364;0.355638087;content;cuscino
2967048;0.380349815;content;aprì
2982483;0.401203096;function;gli
2987775;0.394872069;content;occhi
3017763;0.306748211;function;e
3023055;0.330545723;content;vide
3042018;0.3477301;function;una
3054807;0.460794061;content;fata
3080826;0.429169774;function;dalla
3093174;0.492024124;content;forma
3110814;0.475109518;function;di
3116106;0.372622132;content;gatto
3185343;0.465922654;content;Passavo
3204306;0.387791574;function;sopra
3218418;0.367279649;function;i
3222387;0.416032016;content;tetti
3258108;0.436028421;content;disse
3273543;0.319555759;function;la
3280599;0.374210119;content;fata
3327345;0.416130394;function;Ti
3331755;0.352924645;function;ho
3336606;0.368704319;content;sentito
3363507;0.349120528;content;sospirare
3438036;0.430824518;function;Come
3452589;0.452214837;function;mai
3460968;0.406571507;function;non
3471552;0.40764761;content;dormi
3532851;0.417561382;content;Lorenza
3558675;0.413012683;function;a
3560634;0.456573904;content;bassa
3577833;0.370439559;content;voce
3605616;0.390942365;content;raccontò
3634281;0.370033324;function;il
3643542;0.363043308;function;suo
3650598;0.436756074;content;grave
3667797;0.3448838;content;problema
3744972;0.317244112;function;La
3752028;0.437125593;content;fata-gattina
3785985;0.368675709;content;disse
3828762;0.460812151;function;Se
3837141;0.427296221;function;mi
3843315;0.488872826;content;gratti
3861396;0.348160684;function;un
3867129;0.38448903;function;po'
3874626;0.411114275;function;qui
3888738;0.384416223;function;e
3891384;0.335708618;function;un
3899763;0.33066988;function;po'
3906819;0.36163801;function;qui
3922254;0.436605453;function;posso
3935484;0.447734952;content;aiutarti
4010895;0.485556394;content;Lorenza
4033827;0.37744832;function;la
4038678;0.466851383;content;grattò
4069548;0.411721468;function;pazientemente
4154220;0.385953069;function;poi
4161717;0.291579545;function;la
4168773;0.441802025;content;fata-gattina
4196556;0.299502432;function;si
4203612;0.360920101;content;alzò
4254327;0.300813735;function;e
4258737;0.45453918;function;sotto
4273290;0.381764293;function;di
4280346;0.28821677;function;lei
4303278;0.434820235;content;Lorenza
4325328;0.376675487;content;vide
4338558;0.354513168;function;un
4346496;0.445570946;content;gomitolo
4369428;0.388024777;content;strano
4424994;0.323140919;function;era
4433373;0.378156513;content;piccolissimo
4487616;0.312880754;function;e
4498641;0.314179659;content;fatto
4513635;0.367767632;function;di
4516858;0.326527715;function;un
4527747;0.396238923;content;filo
4540977;0.380160689;function;così
4556853;0.317501783;content;sottile
4606245;0.416053653;function;che
