BEGIN;surprisal;word
103194;17.06561089;fata
119070;25.82479668;gattina
228438;3.038038731;era
247842;3.558686733;volta
298557;4.868520737;bambina
345303;2.729153872;chiamava
364707;18.02886963;Lorenza
432621;19.09215164;viaggiare
508914;7.429931164;aveva
526113;4.37634325;paura
574623;5.709753513;tornare
604805;2.190795898;casa
692370;10.02653217;facile
715302;16.85307121;partire
763812;14.61879921;diceva
837900;19.16110992;dimentico
869211;12.46498871;tornare
945504;10.84988308;dimentico
985635;9.265914917;casa
1063692;5.500342369;genitori
1089270;0.983886719;Lorenza
1171296;7.072611332;fare
1183203;15.69999886;viaggi
1225098;1.451692462;lunghi
1263465;11.97752666;passi
1339317;10.51493931;Lorenza
1371069;7.837975025;vedeva
1401498;5.249237537;casa
1456182;3.014226675;tornare
1548351;6.85882616;vita
1559376;8.318264961;impossibile
1661688;1.89183414;giorno
1696968;4.014115334;papà
1716813;0.737704098;mamma
1738863;0.207628712;Lorenza
1760031;14.56107426;dissero
1807218;13.38215542;Basta
1855728;10.67756271;deciso
1911735;8.822710037;andremo
1928938;4.242072582;fare
1947835;10.15470791;viaggio
2012724;22.11828423;verrai
2113051;26.5965271;resterai
2157813;8.849796295;sola
2255715;5.946120262;notte
2269386;4.84492445;Lorenza
2298051;26.21411133;dormì
2368611;9.76700592;partire
2423736;6.12228775;aveva
2437848;0.686687946;paura
2477979;3.798489094;tornare
2549597;17.92754364;rimanere
2569707;5.283324718;sola
2598813;3.538264751;piaceva
2666286;9.267532349;fare
2751032;9.87392807;Stava
2776977;17.18962479;girarsi
2808288;6.488602638;letto
2862531;13.56726074;sentì
2880171;27.06847572;grattare
2912364;12.4973259;cuscino
2967048;22.20767975;aprì
2987775;2.296469212;occhi
3023055;4.142445564;vide
3054807;10.20658875;fata
3093174;8.863334656;forma
3116106;10.09000778;gatto
3185343;23.98661804;Passavo
3222387;7.230583191;tetti
3258108;1.443501592;disse
3280599;6.535157204;fata
3336606;6.480091095;sentito
3363507;19.35624123;sospirare
3471552;6.820698261;dormi
3532851;25.83241081;Lorenza
3560634;14.29486752;bassa
3577833;3.714698792;voce
3605616;21.76583481;raccontò
3650598;14.99463367;grave
3667797;6.804133892;problema
3752028;24.01757813;fata-gattina
3785985;14.57244492;disse
3843315;25.93784142;gratti
3935484;14.34897232;aiutarti
4010895;12.43693542;Lorenza
4038678;26.04475594;grattò
4168773;3.078346014;fata-gattina
4203612;13.38634872;alzò
4303278;15.2935009;Lorenza
4325328;6.950582981;vide
4346496;21.32491684;gomitolo
4369428;15.63742065;strano
4433373;13.85045147;piccolissimo
4498641;12.14589882;fatto
4527747;8.696331978;filo
4556853;2.759468317;sottile
4617711;12.53235054;tenerlo
4655637;3.640037298;dita
4694886;6.364456654;vedeva
4847913;2.04791379;disse
4864671;3.41177845;Lorenza
4887603;11.30828476;stupita
4978890;8.154312134;filo
4998294;15.63748169;Buon
5007555;16.0114994;Ritorno
5052096;7.238090038;rispose
5088699;1.83807373;fata-gattina
5180868;12.60962486;Basta
5248782;19.71610069;partirai
5308758;19.21573067;leghi
5331690;10.02790356;capo
5356827;14.21896839;pomo
5379759;23.53504372;lettino
5442822;6.140103817;metti
5470605;5.502393246;gomitolo
5520879;12.03245926;tasca
5610843;17.7084198;andrai
5659794;6.206894398;sarà
5702571;5.126603603;filo
5735205;17.3832283;mostrarti
5772690;10.01939487;strada
5798709;4.671714783;casa
5903226;7.285859108;lasciare
5927040;5.742450714;giro
5956146;6.063307762;filo
5998041;1.746568084;disse
6014799;1.6481179;Lorenza
6078303;14.63002872;rompe
6133256;18.67324448;inciampa
6217659;17.60326385;Impossibile
6274989;1.669364691;disse
6298141;4.793570518;fata
6368040;2.391845703;filo
6399351;6.879189014;fatto
6420078;44.24836731;nostalgina
6500340;10.26119995;sostanza
6529005;12.66103935;invisibile
6567372;18.49959564;infrangibile
6696585;24.43377113;inciampare
6787431;13.98920536;spezzare
6876954;23.35173607;Lorenza
6905619;4.284967899;giorno
6949719;22.68829536;legò
6972651;6.567885399;capo
7001757;3.858333111;filo
7024248;1.670909882;pomo
7048062;15.79559708;letto
7104951;4.486636162;mise
7125678;1.077451825;gomitolo
7155225;3.141035795;tasca
7208325;17.76273346;partì
7232400;13.6097908;famiglia
7296786;2.955280304;fine
7306929;16.79900169;tornò
7379253;9.723392487;fece
7411446;4.79646349;altri
7427322;1.788516402;viaggi
7485093;23.22973061;ritrovò
7517286;7.495999813;strada
7545069;3.959191322;casa
7601574;6.094053745;aveva
7621362;6.471889019;gomitolo
7660522;3.505878687;aveva
7683984;2.266217709;filo
7701624;17.06612015;nostalgina
7785414;7.114984989;dato
7824222;11.24564266;fata-gattina
