BEGIN;Zipf_freq;type_of_words;word
103194;3.684381281;content;fata
119070;3.33393803;content;gattina
228438;6.283626334;content;era
247842;5.820011577;content;volta
298557;4.98282431;content;bambina
345303;4.429220298;content;chiamava
364707;1.93128592;content;lorenza
432621;4.125421681;content;viaggiare
508914;5.632280537;content;aveva
526113;5.417420026;content;paura
574623;5.348123033;content;tornare
604805;6.003702937;content;casa
692370;5.090169033;content;facile
715302;4.71525443;content;partire
763812;4.784486182;content;diceva
837900;3.744199276;content;dimentico
869211;5.348123033;content;tornare
945504;3.744199276;content;dimentico
985635;6.003702937;content;casa
1063692;5.061853588;content;genitori
1089270;1.93128592;content;lorenza
1171296;6.231286207;content;fare
1183203;4.121362825;content;viaggi
1225098;4.053650758;content;lunghi
1263465;4.732127921;content;passi
1339317;1.93128592;content;lorenza
1371069;3.958450129;content;vedeva
1401498;6.003702937;content;casa
1456182;5.348123033;content;tornare
1548351;5.86172088;content;vita
1559376;4.834869143;content;impossibile
1661688;5.731502947;content;giorno
1696968;5.588106908;content;papà
1716813;5.66327005;content;mamma
1738863;1.93128592;content;lorenza
1760031;3.885528429;content;dissero
1807218;5.519027489;content;basta
1855728;4.995505594;content;deciso
1911735;4.657716732;content;andremo
1928938;6.231286207;content;fare
1947835;4.950704354;content;viaggio
2012724;4.223541991;content;verrai
2113051;3.736230346;content;resterai
2157813;5.290759195;content;sola
2255715;5.521062946;content;notte
2269386;1.93128592;content;lorenza
2298051;2.491953226;content;dormì
2368611;4.71525443;content;partire
2423736;5.632280537;content;aveva
2437848;5.417420026;content;paura
2477979;5.348123033;content;tornare
2549597;4.85358664;content;rimanere
2569707;5.290759195;content;sola
2598813;4.536688923;content;piaceva
2666286;6.231286207;content;fare
2751032;5.28271325;content;stava
2776977;2.919277012;content;girarsi
2808288;5.41108364;content;letto
2862531;3.420092933;content;sentì
2880171;2.958079096;content;grattare
2912364;3.939111257;content;cuscino
2967048;3.275499508;content;aprì
2987775;5.297539031;content;occhi
3023055;3.892491215;content;vide
3054807;3.684381281;content;fata
3093174;4.76910384;content;forma
3116106;4.503840711;content;gatto
3185343;3.605060592;content;passavo
3222387;3.400438245;content;tetti
3258108;4.869305017;content;disse
3280599;3.684381281;content;fata
3336606;5.518455847;content;sentito
3363507;2.675223069;content;sospirare
3471552;4.318513907;content;dormi
3532851;1.93128592;content;lorenza
3560634;4.166355039;content;bassa
3577833;4.979020863;content;voce
3605616;3.232315915;content;raccontò
3650598;4.603887502;content;grave
3667797;5.541374776;content;problema
3752028;3.684381281;content;fata
3785985;4.869305017;content;disse
3843315;2.660745246;content;gratti
3935484;4.743469778;content;aiutarti
4010895;1.93128592;content;lorenza
4038678;1.491953226;content;grattò
4168773;3.684381281;content;fata
4203612;3.104737082;content;alzò
4303278;1.93128592;content;lorenza
4325328;3.892491215;content;vide
4346496;2.469676831;content;gomitolo
4369428;5.190553923;content;strano
4433373;3.142746265;content;piccolissimo
4498641;6.237129549;content;fatto
4527747;4.325578372;content;filo
4556853;3.863021088;content;sottile
4617711;4.302017641;content;tenerlo
4655637;4.504051944;content;dita
4694886;3.958450129;content;vedeva
4847913;4.869305017;content;disse
4864671;1.93128592;content;lorenza
4887603;3.074584665;content;stupita
4978890;4.325578372;content;filo
4998294;5.376096942;content;buon
5007555;4.657642602;content;ritorno
5052096;3.603383777;content;rispose
5088699;3.684381281;content;fata
5180868;5.519027489;content;basta
5248782;3.013744875;content;partirai
5308758;3.013744875;content;leghi
5331690;5.409077839;content;capo
5356827;2.70943717;content;pomo
5379759;3.289566956;content;lettino
5442822;4.938451559;content;metti
5470605;2.469676831;content;gomitolo
5520879;4.335808648;content;tasca
5610843;4.532654438;content;andrai
5659794;5.778314248;content;sarà
5702571;4.325578372;content;filo
5735205;3.923718928;content;mostrarti
5772690;5.311710966;content;strada
5798709;6.003702937;content;casa
5903226;5.038526733;content;lasciare
5927040;5.36483757;content;giro
5956146;4.325578372;content;filo
5998041;4.869305017;content;disse
6014799;1.93128592;content;lorenza
6078303;3.778072728;content;rompe
6133256;2.605896578;content;inciampa
6217659;4.834869143;content;impossibile
6274989;4.869305017;content;disse
6298141;3.684381281;content;fata
6368040;4.325578372;content;filo
6399351;6.237129549;content;fatto
6420078;;content;nostalgina
6500340;3.933648361;content;sostanza
6529005;3.997442364;content;invisibile
6567372;2.513142525;content;infrangibile
6696585;3.077413955;content;inciampare
6787431;3.600010599;content;spezzare
6876954;1.93128592;content;lorenza
6905619;5.731502947;content;giorno
6949719;2.513142525;content;legò
6972651;5.409077839;content;capo
7001757;4.325578372;content;filo
7024248;2.70943717;content;pomo
7048062;5.41108364;content;letto
7104951;3.850364012;content;mise
7125678;2.469676831;content;gomitolo
7155225;4.335808648;content;tasca
7208325;3.132931283;content;partì
7232400;5.477951945;content;famiglia
7296786;5.383211843;content;fine
7306929;3.802115291;content;tornò
7379253;4.506053547;content;fece
7411446;5.540608628;content;altri
7427322;4.121362825;content;viaggi
7485093;2.863021088;content;ritrovò
7517286;5.311710966;content;strada
7545069;6.003702937;content;casa
7601574;5.632280537;content;aveva
7621362;2.469676831;content;gomitolo
7660522;5.632280537;content;aveva
7683984;4.325578372;content;filo
7701624;1;content;nostalgina
7785414;5.463379845;content;dato
7824222;3.684381281;content;fata
