BEGIN;Zipf_freq;type_of_words;word
89523;7.055331658;function;la
103194;3.684381281;content;fata
119070;3.33393803;content;gattina
223587;6.166704172;function;c
228438;6.283626334;content;era
237258;6.801817508;function;una
247842;5.820011577;content;volta
286209;6.801817508;function;una
298557;4.98282431;content;bambina
329427;7.250456545;function;che
334719;6.553884221;function;si
345303;4.429220298;content;chiamava
364707;1.93128592;content;lorenza
407043;2.741151583;function;e
413658;5.203085298;function;voleva
432621;4.125421681;content;viaggiare
496566;5.274174947;function;però
508914;5.632280537;content;aveva
526113;5.417420026;content;paura
558306;7.232814475;function;di
565803;7.259198169;function;non
574623;5.348123033;content;tornare
597114;7.004335738;function;a
604805;6.003702937;content;casa
682227;7.249521761;function;è
692370;5.090169033;content;facile
715302;4.71525443;content;partire
763812;4.784486182;content;diceva
816291;6.662005813;function;ma
820701;6.583110863;function;se
829962;5.853751865;function;poi
837900;3.744199276;content;dimentico
863478;7.232814475;function;di
869211;5.348123033;content;tornare
930510;6.132529064;function;o
934479;6.583110863;function;se
945504;3.744199276;content;dimentico
972846;5.564019217;function;dov
978579;7.249521761;function;è
985635;6.003702937;content;casa
1000629;6.242274517;function;mia
1060605;6.584780852;function;i
1063692;5.061853588;content;genitori
1084419;7.232814475;function;di
1089270;1.93128592;content;lorenza
1124109;7.259198169;function;non
1132929;4.141531455;function;potevano
1153215;6.144963021;function;mai
1171296;6.231286207;content;fare
1183203;4.121362825;content;viaggi
1218924;6.382555861;function;più
1225098;4.053650758;content;lunghi
1242738;7.232814475;function;di
1248912;4.50919531;;cento
1263465;4.732127921;content;passi
1311093;5.965637226;function;perché
1323882;5.596423265;function;appena
1339317;1.93128592;content;lorenza
1365777;7.259198169;function;non
1371069;3.958450129;content;vedeva
1387827;6.382555861;function;più
1394883;7.055331658;function;la
1401498;6.003702937;content;casa
1437219;5.203085298;function;voleva
1456182;5.348123033;content;tornare
1477927;5.308592171;function;indietro
1528506;6.283626334;function;era
1539972;6.801817508;function;una
1548351;5.86172088;content;vita
1559376;4.834869143;content;impossibile
1651986;7.065833912;function;un
1661688;5.731502947;content;giorno
1688148;7.039560886;function;il
1696968;5.588106908;content;papà
1708434;2.741151583;function;e
1710639;7.055331658;function;la
1716813;5.66327005;content;mamma
1730043;7.232814475;function;di
1738863;1.93128592;content;lorenza
1760031;3.885528429;content;dissero
1807218;5.519027489;content;basta
1839411;6.107911164;function;abbiamo
1855728;4.995505594;content;deciso
1901592;5.985902456;function;noi
1911735;4.657716732;content;andremo
1927178;7.004335738;function;a
1928938;6.231286207;content;fare
1942164;7.065833912;function;un
1947835;4.950704354;content;viaggio
1993761;6.583110863;function;se
2004345;6.414765586;function;tu
2012724;4.223541991;content;verrai
2045799;6.454992194;function;bene
2085048;6.583110863;function;se
2095191;6.605764599;function;no
2113051;3.736230346;content;resterai
2141496;6.432892842;function;qui
2152080;6.577812618;function;da
2157813;5.290759195;content;sola
2244690;5.939281839;function;quella
2255715;5.521062946;content;notte
2269386;1.93128592;content;lorenza
2288790;7.259198169;function;non
2298051;2.491953226;content;dormì
2350971;5.203085298;function;voleva
2368611;4.71525443;content;partire
2414034;6.662005813;function;ma
2423736;5.632280537;content;aveva
2437848;5.417420026;content;paura
2462544;7.232814475;function;di
2469714;7.259198169;function;non
2477979;5.348123033;content;tornare
2529135;6.662005813;function;ma
2539308;6.115086172;function;anche
2549597;4.85358664;content;rimanere
2569707;5.290759195;content;sola
2587232;7.259198169;function;non
2591757;6.624997683;function;le
2598813;4.536688923;content;piaceva
2654820;7.250456545;function;che
2666286;6.231286207;content;fare
2751032;5.28271325;content;stava
2763747;;function;lì
2771244;7.004335738;function;a
2776977;2.919277012;content;girarsi
2799468;6.069364593;function;nel
2808288;5.41108364;content;letto
2849742;6.212844009;function;quando
2862531;3.420092933;content;sentì
2880171;2.958079096;content;grattare
2902221;5.857922973;function;sul
2912364;3.939111257;content;cuscino
2967048;3.275499508;content;aprì
2982483;6.227520191;function;gli
2987775;5.297539031;content;occhi
3017763;2.741151583;function;e
3023055;3.892491215;content;vide
3042018;6.801817508;function;una
3054807;3.684381281;content;fata
3080826;5.670836689;function;dalla
3093174;4.76910384;content;forma
3110814;7.232814475;function;di
3116106;4.503840711;content;gatto
3185343;3.605060592;content;passavo
3204306;5.153505635;function;sopra
3218418;6.584780852;function;i
3222387;3.400438245;content;tetti
3258108;4.869305017;content;disse
3273543;7.055331658;function;la
3280599;3.684381281;content;fata
3327345;6.615643201;function;ti
3331755;6.720262455;function;ho
3336606;5.518455847;content;sentito
3363507;2.675223069;content;sospirare
3438036;6.562704781;function;come
3452589;6.144963021;function;mai
3460968;7.259198169;function;non
3471552;4.318513907;content;dormi
3532851;1.93128592;content;lorenza
3558675;7.004335738;function;a
3560634;4.166355039;content;bassa
3577833;4.979020863;content;voce
3605616;3.232315915;content;raccontò
3634281;7.039560886;function;il
3643542;6.051850878;function;suo
3650598;4.603887502;content;grave
3667797;5.541374776;content;problema
3744972;7.055331658;function;la
3752028;3.684381281;content;fata
3785985;4.869305017;content;disse
3828762;6.583110863;function;se
3837141;6.769601972;function;mi
3843315;2.660745246;content;gratti
3861396;7.065833912;function;un
3867129;4.399095757;function;po
3874626;6.432892842;function;qui
3888738;2.741151583;function;e
3891384;7.065833912;function;un
3899763;4.399095757;function;po
3906819;6.432892842;function;qui
3922254;6.059638184;function;posso
3935484;4.743469778;content;aiutarti
4010895;1.93128592;content;lorenza
4033827;7.055331658;function;la
4038678;1.491953226;content;grattò
4069548;2.927319732;function;pazientemente
4154220;5.853751865;function;poi
4161717;7.055331658;function;la
4168773;3.684381281;content;fata
4196556;6.553884221;function;si
4203612;3.104737082;content;alzò
4254327;2.741151583;function;e
4258737;5.502104716;function;sotto
4273290;7.232814475;function;di
4280346;6.235566848;function;lei
4303278;1.93128592;content;lorenza
4325328;3.892491215;content;vide
4338558;7.065833912;function;un
4346496;2.469676831;content;gomitolo
4369428;5.190553923;content;strano
4424994;6.283626334;function;era
4433373;3.142746265;content;piccolissimo
4487616;2.741151583;function;e
4498641;6.237129549;content;fatto
4513635;7.232814475;function;di
4516858;7.065833912;function;un
4527747;4.325578372;content;filo
4540977;6.287788074;function;così
4556853;3.863021088;content;sottile
4606245;7.250456545;function;che
4613878;7.004335738;function;a
4617711;4.302017641;content;tenerlo
4642407;5.034249462;function;fra
4649022;6.624997683;function;le
4655637;4.504051944;content;dita
4679892;7.259198169;function;non
4686948;6.553884221;function;si
4694886;3.958450129;content;vedeva
4709880;5.368733783;function;nemmeno
4792788;5.536189109;function;cos
4808664;7.249521761;function;è
4847913;4.869305017;content;disse
4864671;1.93128592;content;lorenza
4887603;3.074584665;content;stupita
4961691;7.249521761;function;è
4967865;7.039560886;function;il
4978890;4.325578372;content;filo
4991679;6.41186379;function;del
4998294;5.376096942;content;buon
5007555;4.657642602;content;ritorno
5052096;3.603383777;content;rispose
5081202;7.055331658;function;la
5088699;3.684381281;content;fata
5180868;5.519027489;content;basta
5197185;7.250456545;function;che
5209515;6.414765586;function;tu
5232465;6.212844009;function;quando
5248782;3.013744875;content;partirai
5302143;6.201935117;function;ne
5308758;3.013744875;content;leghi
5323311;7.065833912;function;un
5331690;5.409077839;content;capo
5349771;6.335583043;function;al
5356827;2.70943717;content;pomo
5373144;6.41186379;function;del
5379759;3.289566956;content;lettino
5436207;2.741151583;function;e
5442822;4.938451559;content;metti
5459139;7.039560886;function;il
5470605;2.469676831;content;gomitolo
5498388;5.876803742;function;nella
5509854;6.037748803;function;tua
5520879;4.335808648;content;tasca
5587470;4.720032622;function;ovunque
5610843;4.532654438;content;andrai
5651856;6.517126939;function;ci
5659794;5.778314248;content;sarà
5669055;5.921350175;function;sempre
5690893;7.039560886;function;il
5702571;4.325578372;content;filo
5728590;7.004335738;function;a
5735205;3.923718928;content;mostrarti
5770171;7.055331658;function;la
5772690;5.311710966;content;strada
5793858;7.232814475;function;di
5798709;6.003702937;content;casa
5870151;6.662005813;function;ma
5875002;6.562704781;function;come
5887350;4.522249281;function;potrò
5903226;5.038526733;content;lasciare
5919102;6.797274494;function;in
5927040;5.36483757;content;giro
5938065;6.484206212;function;questo
5956146;4.325578372;content;filo
5998041;4.869305017;content;disse
