BEGIN,entropy,type_of_words,word
90405.0,,function,I
97461.0,11.558887481689451,content,pirati
118629.0,6.269715309143066,content,smemorati
227556.0,3.7846100330352783,function,C'
232848.0,1.942490100860596,content,era
247401.0,6.248064041137695,function,una
255339.0,8.999265670776367,content,nave
267687.0,7.48270845413208,function,di
274302.0,9.81691837310791,content,pirati
312228.0,6.73306131362915,function,che
317520.0,8.434085845947266,function,si
326781.0,8.395934104919434,content,chiamava
345303.0,7.929381370544434,content,Tonno
363825.0,6.775759696960449,content,Feroce
411453.0,7.042758464813232,function,e
415863.0,7.684246063232422,content,navigava
437472.0,5.991665840148926,function,i
441882.0,7.776086807250977,content,mari
469224.0,6.2141947746276855,content,facendo
491274.0,6.258139610290527,content,abbordaggi
570614.0,8.524117469787598,content,spara
586530.0,2.7908122539520264,function,qua
598847.0,5.195099830627441,content,assalta
620046.0,5.263926982879639,function,di
628425.0,6.231432914733887,function,là
647388.0,9.713865280151367,content,ruba
,7.724152088165283,function,a
665469.0,7.730294227600098,function,me
679140.0,9.165970802307127,content,rapina
,6.029549598693848,function,a
706041.0,3.47939682006836,function,te
734706.0,9.462018966674805,function,i
738234.0,7.51157808303833,content,pirati
754992.0,7.62043285369873,function,di
760284.0,9.88923168182373,function,quella
772632.0,4.571445465087891,content,nave
804825.0,8.623113632202148,function,agli
813645.0,5.700760364532471,content,ordini
831726.0,3.3101806640625,function,di
834813.0,7.903973579406738,content,capitan
868329.0,8.081165313720703,content,Gigi
884646.0,5.729066371917725,content,Trinciasquali
948150.0,8.500664710998535,function,avevano
970641.0,4.60713529586792,content,accumulato
1012536.0,7.20269250869751,function,un
1021797.0,7.616164684295654,content,gran
1035027.0,2.053752183914185,content,tesoro
1056195.0,5.200053691864014,function,di
1062810.0,7.302732944488525,content,dobloni
1103823.0,4.717834949493408,content,zecchini
1152774.0,5.437228679656982,content,fiorini
1191582.0,5.271169185638428,content,talleri
1223775.0,7.131285190582275,content,corone
1263465.0,9.901941299438477,function,e
1268757.0,8.977873802185059,content,altre
1287279.0,6.889441967010498,content,preziosissime
1332261.0,5.4717302322387695,content,monete
1401864.0,7.804463863372803,function,Quando
1413405.0,7.875112056732178,function,ne
1420461.0,7.967674255371094,content,ebbero
1433691.0,8.444379806518555,function,tante
1470735.0,4.5999908447265625,function,che
1475145.0,8.103654861450195,function,la
1482201.0,9.824122428894045,content,nave
1502760.0,8.234542846679688,function,quasi
1521891.0,5.081365585327148,content,affondava
1575252.0,7.735435009002685,function,il
1581867.0,8.093542098999023,content,capitano
1605240.0,6.327103137969971,content,disse
1642284.0,7.68621826171875,content,Ciurma
1662129.0,5.622857570648193,content,ascoltate
1723428.0,6.443711280822754,function,Noi
1732689.0,7.4565277099609375,function,dobbiamo
1748565.0,9.244242668151855,content,mettere
1763559.0,6.122525691986084,function,al
1767528.0,5.577975273132324,content,riparo
1786491.0,5.929027557373047,function,il
1791342.0,7.711503028869629,function,nostro
1807659.0,6.486931324005127,content,tesoro
1861461.0,7.9312920570373535,content,troviamo
1881844.0,6.281443595886231,function,un'
1894536.0,6.334000110626221,content,isola
1922319.0,7.305451393127441,function,e
1923642.0,5.669036388397217,content,sotterriamolo
1958040.0,5.947698593139648,function,per
1968183.0,6.57424259185791,content,bene
2029923.0,7.848598003387451,content,Bella
2043153.0,6.3643951416015625,content,idea
2060352.0,6.629517555236816,content,capitano
2107539.0,2.8446733951568604,content,gridarono
2130912.0,6.214302062988281,function,i
2135322.0,4.419448852539063,content,pirati
2196621.0,7.450373649597168,function,e
2200149.0,8.437307357788086,content,trovata
2223081.0,7.147900104522705,function,in
2230578.0,7.656045913696289,content,mezzo
2244249.0,5.623230457305908,function,al
2251305.0,6.869984149932861,content,mare
2268063.0,6.621042728424072,function,un'
2274678.0,5.193624019622803,content,isola
2292759.0,7.108059406280518,function,di
2297610.0,9.170494079589844,content,terra
2311281.0,4.932528018951416,content,molle
2349207.0,8.022734642028809,function,vi
2356704.0,6.078897476196289,content,seppellirono
2386692.0,6.631099700927734,function,il
2392425.0,4.695835113525391,content,tesoro
2485917.0,7.254288673400879,function,Poi
2495178.0,4.460695266723633,content,tornarono
2518110.0,5.793891906738281,function,in
2526048.0,7.204193115234375,content,giro
2543247.0,4.917395114898682,function,per
2550744.0,5.979400157928467,content,onde
2568825.0,6.721246719360352,function,e
2570148.0,9.034629821777344,content,orizzonti
2617335.0,4.981396675109863,function,a
2619981.0,9.335287094116213,content,sparare
2647323.0,6.828635215759277,function,e
2653497.0,6.234833240509033,content,abbordare
2699361.0,5.6978960037231445,content,assalire
2738610.0,4.921531200408936,function,e
2741256.0,5.972379207611084,content,rapinare
2815785.0,7.56191349029541,function,Ma
2819754.0,7.603947639465332,function,le
2825046.0,7.82667064666748,content,cose
2836512.0,4.915729522705078,content,cominciarono
2863413.0,4.853363037109375,function,ad
2869587.0,5.909083843231201,content,andar
2884140.0,3.7754311561584473,function,male
2924712.0,4.778674125671387,function,perché
2935296.0,6.83018970489502,function,le
2940147.0,7.029910564422607,content,navi
2949849.0,7.620021820068359,function,si
2956905.0,8.035881042480469,function,erano
2968371.0,8.76439094543457,content,fatte
2982703.0,6.6154985427856445,content,veloci
3019527.0,5.382388591766357,function,mentre
3032316.0,6.162189960479736,function,la
3036726.0,6.645167350769043,content,vecchia
3052161.0,3.017839908599853,content,Tonno
3067596.0,1.8405975103378296,content,Feroce
3088323.0,7.012335777282715,function,era
3097509.0,8.862825393676758,function,una
3105081.0,7.368649482727051,content,nave
3116988.0,5.65078067779541,content,antica
3175200.0,8.302348136901855,function,quelle
3187107.0,4.474454879760742,content,scappavano
3236794.0,7.101081848144531,function,e
3242478.0,8.146169662475586,function,i
3246637.0,3.609884262084961,content,pirati
3263400.0,3.892455816268921,content,cominciavano
3294133.0,2.501839399337769,function,a
3296475.0,8.836905479431152,content,sentire
3318966.0,6.335665702819824,content,mal
3328227.0,7.320171356201172,function,di
3336606.0,2.433009147644043,content,schiena
3353364.0,3.225876569747925,function,e
3359097.0,5.980900764465332,content,reumatismi
3427011.0,5.934318065643311,function,Insomma
3461850.0,7.7543253898620605,function,la
3468906.0,5.431652069091797,content,pirateria
3490515.0,6.634954929351807,function,non
3495807.0,5.597277641296387,content,rendeva
3519621.0,7.614457607269287,function,come
3531528.0,8.094958305358887,function,una
3539466.0,7.637386322021484,content,volta
3602529.0,7.667651653289795,function,Dopo
3613995.0,6.07970142364502,,tre
3621051.0,3.787852287292481,content,anni
3636927.0,5.3472161293029785,function,di
3641778.0,8.291833877563477,content,affari
3657654.0,7.658402919769287,content,magri
3681027.0,5.797600269317627,function,e
3682350.0,6.860903263092041,content,stenti
3719394.0,7.483480453491211,content,disse
