BEGIN;semantic_dissimilarity;word
112896;0.493061662;befane
232848;0.341128677;Befana
273420;0.445648193;volava
299880;0.466962099;cavallo
336042;0.335336834;scopa
391167;0.422929466;Vola
418509;0.399598777;vola
466137;0.488931417;certo
482895;0.384166181;punto
505827;0.391198874;vide
535815;0.395446777;vecchina
597996;0.457094789;uguale
666351;0.443791866;cavallo
704277;0.372299939;scopa
792477;0.438312143;sei
839223;0.50917089;chiese
862155;0.392433286;Befana
929187;0.348012596;rispose
988722;0.364647418;Befana
1083537;0.30764842;Befana
1149246;0.46739316;disse
1173060;0.359528214;Befana
1247589;0.440741122;vedi
1266552;0.367193639;ho
1277136;0.401937068;scopa
1322118;0.379406929;naso
1337994;0.386186451;lungo
1449567;0.362576693;ho
1477350;0.54155767;disse
1555848;0.439929247;vedi
1576134;0.373814166;volo
1617147;0.363233119;Volo
1681533;0.404517114;disse
1703583;0.436600327;seconda
1782081;0.407692194;vedi
1799280;0.359568834;ho
1812069;0.458572745;sacco
1829268;0.419270515;pieno
1849113;0.400883377;doni
1935549;0.329633266;ho
2000376;0.407195121;Befana
2025072;0.40195787;confusa
2096514;0.370274305;sicura
2159136;0.369281739;Befana
2238075;0.347827137;sembrava
2270268;0.293840557;fosse
2346561;0.308380067;erano
2365965;0.417952269;Befane
2394189;0.35902831;mondo
2469600;0.355004668;saputo
2619981;0.367292106;stata
2655261;0.37637493;confusione
2707299;0.456988156;doni
2724498;0.382683307;bambini
2789766;0.448977351;Senti
2833866;0.523970723;disse
2899134;0.445464253;Facciamo
2925594;0.391173899;gara
2980719;0.440053225;vince
3021291;0.406739086;Befana
3088764;0.332568288;andrà
3119193;0.423190475;terra
3150063;0.333427012;fare
3169026;0.423082739;vecchina
3228120;0.450424135;accordo
3271338;0.477192283;rispose
3331755;0.410026073;gara
3341898;0.380937994;facciamo
3415545;0.488557637;volo
3460968;0.433680385;Luna
3493602;0.352245659;ritorno
3550050;0.409998119;Pronta
3606498;0.369066477;Vai
3671325;0.509232402;vecchine
3690288;0.374175876;partirono
3737034;0.392431229;attaccate
3791277;0.392758697;scope
3843756;0.397633791;bianchi
3865365;0.368363261;capelli
3901527;0.375193954;agitati
3936807;0.391005367;vento
3994578;0.476320505;vola
4020156;0.40180549;vola
4073076;0.371069938;velocissime
4161717;0.43940115;Arrivarono
4219047;0.377594858;Luna
4266234;0.346810341;girarono
4339440;0.322643131;cominciarono
4380012;0.322250605;tornare
4469094;0.365926743;vicinissime
4574052;0.379679143;punta
4595661;0.414387167;naso
4624326;0.350960732;punta
4648581;0.322857082;naso
4686066;0.263079703;punta
4707234;0.33378309;manico
4751334;0.221354961;punta
4772061;0.380341381;manico
4856733;0.54605329;certo
4873050;0.430302441;punto
4922001;0.437320858;Befana
4962573;0.408877909;guardando
4991238;0.338208735;rivale
5025195;0.362475276;vide
5053860;0.301862836;cosa
5071059;0.311627448;strana
5159700;0.422769368;capelli
5181309;0.326174021;aveva
5205564;0.368045956;bulloni
5273478;0.318147153;giunture
5327280;0.32943067;cerniere
5356386;0.368356705;metallo
5432238;0.447080344;capì
5509413;0.413954735;Befana-robot
5576445;0.316361815;inventata
5630247;0.480446696;malandrino
5695515;0.343875647;scopo
5718447;0.397090167;dannoso
5814585;0.452038378;gridò
5863536;0.442552745;traguardo
5939388;0.369700968;punta
5968494;0.367725492;montagna
5989221;0.399489611;rossastra
6026706;0.457924187;vedi
6092856;0.468539804;puntò
6131664;0.35959065;Monte
6150627;0.406168133;Calamita
6205752;0.408581376;magnetico
6301890;0.466608822;mezzo
6318648;0.334409386;chilometro
6355692;0.359989762;rallentò
6437718;0.485349238;altra
6451830;0.516324043;Befana
6472998;0.39635402;strillava
6519744;0.446549416;Arrivo
6554583;0.382760942;Arrivo
6648075;0.331924021;arrivò
6772878;0.415290117;pensava
6842556;0.463670194;Monte
6858432;0.51454854;Calamita
6905619;0.431170851;tirò
6962949;0.45163095;tale
6978825;0.359232366;velocità
7056441;0.411907822;cadde
7107156;0.389159381;sparpagliò
7168896;0.357990861;pezzi
7190946;0.740023196;metallo
7250481;0.311300188;rimasero
7276941;0.284002513;appiccicati
7414974;0.51996398;Befana
7437906;0.451455414;carne
7463484;0.340522766;ossa
7517286;0.295876861;tornò
7541541;0.358481765;volare
7571529;0.377859652;mondo
7628859;0.374229252;sacco
7655319;0.378316283;doni
