BEGIN;surprisal;word
112896;39.5629425;befane
232848;12.44090366;Befana
273420;15.31576824;volava
299880;5.087135315;cavallo
336042;20.55824852;scopa
391167;15.44957829;Vola
418509;14.28378391;vola
466137;2.78466177;certo
482895;0.116929136;punto
505827;12.03678894;vide
535815;14.34476566;vecchina
597996;12.05959034;uguale
666351;5.736335754;cavallo
704277;6.063051701;scopa
792477;5.768122673;sei
839223;29.11073112;chiese
862155;6.108135223;Befana
929187;12.25223637;rispose
988722;3.306956291;Befana
1083537;0.513587177;Befana
1149246;3.364772081;disse
1173060;3.924059391;Befana
1247589;7.915565014;vedi
1266552;6.003707886;ho
1277136;10.58967304;scopa
1322118;11.51639652;naso
1337994;13.44802952;lungo
1449567;4.696942329;ho
1477350;8.37009716;disse
1555848;3.004520416;vedi
1576134;19.20305252;volo
1617147;18.24038696;Volo
1681533;4.24409008;disse
1703583;8.845824242;seconda
1782081;1.232114673;vedi
1799280;6.806743145;ho
1812069;12.31194115;sacco
1829268;7.428181648;pieno
1849113;13.79195023;doni
1935549;0.433194697;ho
2000376;0.33921051;Befana
2025072;13.20663643;confusa
2096514;8.891923904;sicura
2159136;7.939683437;Befana
2238075;8.22436142;sembrava
2270268;5.692598343;fosse
2346561;2.579797983;erano
2365965;14.20331573;Befane
2394189;5.679150581;mondo
2469600;15.03061104;saputo
2619981;3.139900923;stata
2655261;4.106451035;confusione
2707299;6.384410858;doni
2724498;4.089310646;bambini
2789766;19.46496964;Senti
2833866;11.33139038;disse
2899134;12.60826874;Facciamo
2925594;13.34245491;gara
2980719;2.697191238;vince
3021291;2.716754913;Befana
3088764;7.478138447;andrà
3119193;6.034896851;terra
3150063;5.135988235;fare
3169026;8.583375931;vecchina
3228120;5.371087074;accordo
3271338;14.42416191;rispose
3331755;10.08593941;gara
3341898;12.99213791;facciamo
3415545;9.991764069;volo
3460968;9.309041977;Luna
3493602;15.35343742;ritorno
3550050;27.53561783;Pronta
3606498;18.57692146;Vai
3671325;10.11233425;vecchine
3690288;12.76973248;partirono
3737034;16.13925362;attaccate
3791277;12.9702425;scope
3843756;13.51257896;bianchi
3865365;11.35434914;capelli
3901527;14.59509659;agitati
3936807;8.501995087;vento
3994578;9.037499428;vola
4020156;3.268180847;vola
4073076;15.45684433;velocissime
4161717;11.16954994;Arrivarono
4219047;7.550727844;Luna
4266234;17.64416885;girarono
4339440;9.478931427;cominciarono
4380012;9.487915039;tornare
4469094;22.02236176;vicinissime
4574052;13.89884281;punta
4595661;9.754434586;naso
4624326;10.00469971;punta
4648581;5.474778175;naso
4686066;10.57243347;punta
4707234;14.29499626;manico
4751334;2.025643826;punta
4772061;5.849009514;manico
4856733;3.912673473;certo
4873050;0.273161292;punto
4922001;4.477475643;Befana
4962573;7.379447937;guardando
4991238;15.80082989;rivale
5025195;3.266803503;vide
5053860;5.869361401;cosa
5071059;6.672194481;strana
5159700;2.496579647;capelli
5181309;8.623939514;aveva
5205564;16.01726723;bulloni
5273478;18.24637222;giunture
5327280;14.75394917;cerniere
5356386;10.60163879;metallo
5432238;22.21645737;capì
5509413;34.54335022;Befana-robot
5576445;15.08667183;inventata
5630247;23.85107422;malandrino
5695515;14.49751377;scopo
5718447;16.78455925;dannoso
5814585;16.98230934;gridò
5863536;14.02990437;traguardo
5939388;13.88043785;punta
5968494;13.59544086;montagna
5989221;24.58083153;rossastra
6026706;16.87079811;vedi
6092856;20.81925774;puntò
6131664;9.434249878;Monte
6150627;17.43585968;Calamita
6205752;20.95862389;magnetico
6301890;9.753340721;mezzo
6318648;7.955968857;chilometro
6355692;19.81945229;rallentò
6437718;3.516613483;altra
6451830;5.711322308;Befana
6472998;24.48415375;strillava
6519744;16.87425423;Arrivo
6554583;9.648365974;Arrivo
6648075;13.69799042;arrivò
6772878;15.71401691;pensava
6842556;4.876688957;Monte
6858432;0.330886632;Calamita
6905619;21.8660202;tirò
6962949;10.38316917;tale
6978825;8.556175232;velocità
7056441;9.733138084;cadde
7107156;25.4943428;sparpagliò
7146846;7.839065552;mille
7168896;5.235496044;pezzi
7190946;4.968784809;metallo
7250481;11.15800095;rimasero
7276941;11.18418694;appiccicati
7414974;3.129573345;Befana
7437906;11.42309666;carne
7463484;6.811342239;ossa
7517286;14.36771965;tornò
7541541;5.145588875;volare
7571529;6.974149704;mondo
7628859;8.826211929;sacco
7655319;10.35173416;doni
