BEGIN;surprisal;type_of_words;word
89082;0;function;Le
99225;6.904327393;function;due
112896;39.5629425;content;befane
224028;4.342525482;function;La
232848;12.44090366;content;Befana
273420;15.31576824;content;volava
296863;4.607301235;function;a
299880;5.087135315;content;cavallo
325458;6.969050884;function;della
336042;20.55824852;content;scopa
391167;15.44957829;content;Vola
411453;8.506529808;function;e
418509;14.28378391;content;vola
455994;6.49127388;function;a
459081;6.776176929;function;un
466137;2.78466177;content;certo
482895;0.116929136;content;punto
505827;12.03678894;content;vide
524790;4.712565899;function;una
535815;14.34476566;content;vecchina
575064;10.87037849;function;proprio
597996;12.05959034;content;uguale
619605;1.555665493;function;a
623574;6.813943386;function;lei
663264;7.097147465;function;a
666351;5.736335754;content;cavallo
694134;2.133991241;function;di
697662;2.231267691;function;una
704277;6.063051701;content;scopa
787546;15.08055496;function;Chi
792477;5.768122673;content;sei
839223;29.11073112;content;chiese
856422;4.348329544;function;la
862155;6.108135223;content;Befana
913311;3.374657631;function;e
915957;8.000808716;function;quella
929187;12.25223637;content;rispose
967995;21.391922;function;Sono
982989;5.164339542;function;la
988722;3.306956291;content;Befana
1052667;15.46900177;function;Eh
1055313;7.588166237;function;no
1080009;6.758174419;function;La
1083537;0.513587177;content;Befana
1099413;10.53264999;function;sono
1114407;7.690304756;function;io
1149246;3.364772081;content;disse
1167768;2.83949542;function;la
1173060;3.924059391;content;Befana
1240533;8.736820221;function;Non
1247589;7.915565014;content;vedi
1263024;2.124670982;function;che
1266552;6.003707886;content;ho
1270080;4.416711807;function;la
1277136;10.58967304;content;scopa
1316826;5.869594574;function;il
1322118;11.51639652;content;naso
1337994;13.44802952;content;lungo
1359162;14.8506937;function;eccetera
1416051;15.72324657;function;Anche
1425753;1.734303713;function;io
1438542;10.64997864;function;ce
1444275;6.955786228;function;li
1449567;4.696942329;content;ho
1477350;8.37009716;content;disse
1496754;3.70893836;function;l'
1498518;6.212574959;function;altra
1549233;4.71894598;function;Non
1555848;3.004520416;content;vedi
1569078;0.467664123;function;che
1576134;19.20305252;content;volo
1617147;18.24038696;content;Volo
1632582;7.961748123;function;anche
1644087;2.954909563;function;io
1681533;4.24409008;content;disse
1698732;2.17902112;function;la
1703583;8.845824242;content;seconda
1773702;18.92959976;function;Non
1782081;1.232114673;content;vedi
1796193;0.254601359;function;che
1799280;6.806743145;content;ho
1802367;2.720183611;function;il
1812069;12.31194115;content;sacco
1829268;7.428181648;content;pieno
1842498;1.96360302;function;di
1849113;13.79195023;content;doni
1897182;9.709134102;function;Anche
1910156;0.094537467;function;io
1922319;0.291253626;function;ce
1929816;0.057570051;function;li
1935549;0.433194697;content;ho
1992879;6.677032471;function;La
2000376;0.33921051;content;Befana
2017575;3.337432146;function;era
2025072;13.20663643;content;confusa
2077110;6.15941906;function;perché
2089017;3.849774837;function;era
2096514;8.891923904;content;sicura
2119887;1.982094526;function;di
2125179;4.190651894;function;essere
2142378;6.195018768;function;lei
2153844;6.177192211;function;la
2159136;7.939683437;content;Befana
2205441;4.629116058;function;ma
2208704;6.67865324;function;anche
2222640;6.646307468;function;l'
2224404;2.841003656;function;altra
2238075;8.22436142;content;sembrava
2257920;4.014997005;function;che
