BEGIN;Zipf_freq;word
112896;1.792983221;befane
232848;2.747225731;befana
273420;3.016998033;volava
299880;4.765822219;cavallo
336042;3.930495574;scopa
391167;4.048858495;vola
418509;4.048858495;vola
466137;5.876302159;certo
482895;5.322012335;punto
505827;3.892491215;vide
535815;2.232315915;vecchina
597996;4.309848983;uguale
666351;4.765822219;cavallo
704277;3.930495574;scopa
792477;6.430432922;sei
839223;4.030401277;chiese
862155;2.747225731;befana
929187;3.603383777;rispose
988722;2.747225731;befana
1083537;2.747225731;befana
1149246;4.869305017;disse
1173060;2.747225731;befana
1247589;5.347199726;vedi
1266552;6.720262455;ho
1277136;3.930495574;scopa
1322118;4.637615696;naso
1337994;5.028890248;lungo
1449567;6.720262455;ho
1477350;4.869305017;disse
1555848;5.347199726;vedi
1576134;4.772076122;volo
1617147;4.772076122;volo
1681533;4.869305017;disse
1703583;4.814327598;seconda
1782081;5.347199726;vedi
1799280;6.720262455;ho
1812069;5.218048496;sacco
1829268;4.865876178;pieno
1849113;3.689922594;doni
1935549;6.720262455;ho
2000376;2.747225731;befana
2025072;4.018938294;confusa
2096514;5.13754741;sicura
2159136;2.747225731;befana
2238075;4.840112001;sembrava
2270268;5.645585191;fosse
2346561;5.476165392;erano
2365965;1.792983221;befane
2394189;5.533168209;mondo
2469600;4.901801848;saputo
2619981;5.783216598;stata
2655261;4.118293593;confusione
2707299;3.689922594;doni
2724498;5.274801932;bambini
2789766;5.58994762;senti
2833866;4.869305017;disse
2899134;5.388300287;facciamo
2925594;4.46841784;gara
2980719;4.540977324;vince
3021291;2.747225731;befana
3088764;5.071308031;andrà
3119193;5.30993154;terra
3150063;6.231286207;fare
3169026;2.232315915;vecchina
3228120;5.577662908;accordo
3271338;3.603383777;rispose
3331755;4.46841784;gara
3341898;5.388300287;facciamo
3415545;4.772076122;volo
3460968;4.705470983;luna
3493602;4.657642602;ritorno
3550050;4.917324392;pronta
3606498;5.679544443;vai
3671325;1.889893234;vecchine
3690288;2.653321228;partirono
3737034;3.459267144;attaccate
3791277;2.839283241;scope
3843756;4.325419086;bianchi
3865365;4.980151287;capelli
3901527;2.88111931;agitati
3936807;4.536100847;vento
3994578;4.048858495;vola
4020156;4.048858495;vola
4073076;1.889893234;velocissime
4161717;3.426451677;arrivarono
4219047;4.705470983;luna
4266234;2.168646835;girarono
4339440;3.412337468;cominciarono
4380012;5.348123033;tornare
4469094;1.93128592;vicinissime
4574052;4.335186004;punta
4595661;4.637615696;naso
4624326;4.335186004;punta
4648581;4.637615696;naso
4686066;4.335186004;punta
4707234;3.460436174;manico
4751334;4.335186004;punta
4772061;3.460436174;manico
4856733;5.876302159;certo
4873050;5.322012335;punto
4922001;2.747225731;befana
4962573;4.70897631;guardando
4991238;3.543105748;rivale
5025195;3.892491215;vide
5053860;6.632253028;cosa
5071059;4.629939958;strana
5159700;4.980151287;capelli
5181309;5.632280537;aveva
5205564;2.954351224;bulloni
5273478;2.787520326;giunture
5327280;2.588863239;cerniere
5356386;4.024707605;metallo
5432238;3.420092933;capì
5509413;2.747225731;befana-robot
5576445;3.673796814;inventata
5630247;2.232315915;malandrino
5695515;4.563282813;scopo
5718447;2.979798346;dannoso
5814585;2.894214608;gridò
5863536;3.587122577;traguardo
5939388;4.335186004;punta
5968494;4.365273828;montagna
5989221;1.588863239;rossastra
6026706;5.347199726;vedi
6092856;2.622286994;puntò
6131664;4.094013217;monte
6150627;3.117779939;calamita
6205752;3.468532444;magnetico
6301890;5.16145606;mezzo
6318648;3.665867565;chilometro
6355692;1.367014489;rallentò
6437718;5.649409994;altra
6451830;2.747225731;befana
6472998;2.469676831;strillava
6519744;4.965586153;arrivo
6554583;4.965586153;arrivo
6648075;3.97589694;arrivò
6772878;4.499487644;pensava
6842556;4.094013217;monte
6858432;3.117779939;calamita
6905619;3.168646835;tirò
6962949;4.657864956;tale
6978825;4.500872614;velocità
7056441;3.592323771;cadde
7107156;1.588863239;sparpagliò
7168896;4.784486182;pezzi
7190946;4.024707605;metallo
7250481;3.175450543;rimasero
7276941;2.722402147;appiccicati
7414974;2.747225731;befana
7437906;4.713758544;carne
7463484;4.423665293;ossa
7517286;3.802115291;tornò
7541541;4.45996894;volare
7571529;5.533168209;mondo
7628859;5.218048496;sacco
7655319;3.689922594;doni
