BEGIN,surprisal,type_of_words,word
89964,0.0,function,Una
101430,11.112305641174316,content,bambina
127008,8.1364107131958,function,senza
148176,7.861453056335449,content,nome
239463,20.91683387756348,function,C'
246078,2.439264297485352,content,era
257985,2.5069758892059326,function,una
265041,2.433292388916016,content,bambina
326781,2.8025963306427,function,che
334719,3.716204881668091,content,aveva
347508,3.622814178466797,function,un
354564,1.941160798072815,content,nome
387198,7.332123279571533,function,come
400869,8.407758712768555,function,tutti
416745,1.2043824195861816,function,i
418068,1.2323386669158936,content,bambini
437031,5.278598308563232,function,del
444087,6.14530086517334,content,mondo
520821,5.664974212646484,function,era
531105,12.402718544006348,content,allegra
581238,6.732877254486084,function,e
582561,9.367117881774902,content,andava
597555,8.036720275878906,function,spesso
619164,1.6463651657104492,function,a
626220,2.819474220275879,content,giocare
639009,4.979771614074707,function,in
646065,6.758095264434815,content,giardino
741321,5.603063583374023,function,Un
751905,1.2867565155029297,content,giorno
786744,24.087556838989254,content,lanciò
807471,4.210204601287842,function,la
814968,3.5392391681671143,content,palla
845838,3.2694642543792725,function,al
853335,8.41165542602539,function,di
858186,3.2436463832855225,function,là
867006,3.0740790367126465,function,di
871416,2.5870909690856934,function,una
881118,19.686508178710938,content,siepe
937125,8.421653747558594,function,e
939771,4.4130859375,function,quando
955792,13.41932487487793,content,andò
965349,2.1488378047943115,function,a
972405,9.882529258728027,content,cercarla
1003275,9.046812057495115,function,non
1008126,7.1812028884887695,function,la
1015182,15.798867225646973,content,trovò
1087506,13.591668128967283,content,Cerca
1103382,22.90739631652832,function,qua
1113525,9.464681625366213,content,cerca
1130283,3.4783878326416016,function,là
1151451,6.370902061462402,function,la
1158948,2.609306573867798,content,palla
1171296,5.322616100311279,function,non
1181439,6.3857622146606445,function,c'
1188054,6.756003379821777,content,era
1238769,3.809251308441162,function,la
1246266,3.279272556304932,content,bambina
1262142,3.009941577911377,function,era
1268757,13.057292938232422,content,stupita
1307565,2.731461524963379,function,e
1313298,10.41490077972412,function,anche
1327851,5.683842182159424,function,un
1337112,0.5531933307647705,function,po'
1343286,4.112807273864746,content,spaventata
1439424,6.293771266937256,function,A
1441629,6.664118766784668,function,un
1449126,5.601363658905029,content,tratto
1464561,15.812126159667969,content,sentì
1483524,3.980756521224976,function,una
1492344,19.31382179260254,content,vocina
1532034,7.004315376281738,function,in
1539972,14.578903198242188,function,alto
1610973,21.62847137451172,function,È
1617588,10.97276782989502,function,tua
1630377,13.284518241882324,function,questa
1645371,7.128723621368408,content,bella
1659042,9.84113597869873,content,palla
1676241,13.97584342956543,content,piccolina
1754298,7.420164108276367,function,La
1759590,3.1613471508026123,content,bambina
1778112,17.444429397583008,content,guardò
1792665,8.636096000671387,function,su
1845585,5.102789878845215,function,e
1850436,5.396836757659912,content,vide
1861461,4.029061794281006,function,un
1868076,21.95148468017578,content,omettino
1893213,20.28110885620117,content,magro
1935549,9.983892440795898,content,seduto
1961581,3.932679891586304,function,a
1965537,4.8758087158203125,content,cavallo
1988910,5.80062198638916,function,di
