BEGIN,Zipf_freq,word
101430,4.98282431,bambina
148176,5.545943498,nome
246078,6.283626334,era
265041,4.98282431,bambina
334719,5.632280537,aveva
354564,5.545943498,nome
418068,5.274801932,bambini
444087,5.533168209,mondo
531105,3.71271488,allegra
582561,4.594729841,andava
626220,4.973825636,giocare
646065,4.462997018,giardino
751905,5.731502947,giorno
786744,3.020227003,lanciò
814968,4.670354567,palla
881118,2.939111257,siepe
955792,4.231723291,andò
972405,3.863021088,cercarla
1015182,3.799449264,trovò
1087506,5.003535817,cerca
1113525,5.003535817,cerca
1158948,4.670354567,palla
1188054,6.283626334,era
1246266,4.98282431,bambina
1268757,3.074584665,stupita
1343286,4.354233719,spaventata
1449126,4.201223187,tratto
1464561,3.420092933,sentì
1492344,2.965440196,vocina
1645371,5.484893151,bella
1659042,4.670354567,palla
1676241,3.746017679,piccolina
1759590,4.98282431,bambina
1778112,3.365564423,guardò
1850436,3.892491215,vide
1868076,1.491953226,omettino
1893213,3.672365859,magro
1935549,4.624852996,seduto
1965537,4.765822219,cavallo
1997730,3.70146824,ramo
2062116,5.632280537,aveva
2082402,4.670354567,palla
2111949,5.2980314,mani
2267622,3.859774878,dammela
2317455,4.869305017,disse
2339064,4.98282431,bambina
2447991,5.723658505,dai
2465631,4.695122149,cambio
2514141,4.869305017,disse
2533104,3.795689115,ometto
2648205,4.670354567,palla
2698479,1.367014489,ribatté
2728026,4.98282431,bambina
2822841,6.720262455,ho
2892960,6.720262455,ho
2923389,4.635826393,darti
2957787,4.869305017,disse
2974986,4.98282431,bambina
3081267,6.477590733,hai
3113901,5.126984347,dammi
3140802,5.545943498,nome
3216654,4.98282431,pensando
3243996,3.795689115,ometto
3260313,2.367014489,scherzasse
3323376,4.98282431,bambina
3346749,4.869305017,disse
3388203,6.162363764,va
3419955,4.860565477,do
3432744,4.275856805,butta
3451707,4.670354567,palla
3530646,2.668044485,sorrise
3580038,3.840258089,lasciò
3599442,4.505211891,cadere
3621933,4.670354567,palla
3688965,4.3610382,prese
3711897,3.802115291,tornò
3733947,6.003702937,casa
3813768,4.000146152,sentiva
3835818,4.629939958,strana
3923136,4.629939958,strana
3953565,3.420092933,sentì
4017951,2.93128592,accorse
4052790,2.003836587,salutavano
4121586,5.98002779,dire
4162158,5.545943498,nome
4306365,2.93128592,accorse
4368105,3.516233602,ricordava
4457628,5.66327005,mamma
4518927,5.117162751,chiamo
4578462,4.869305017,disse
4618593,4.98282431,bambina
4652550,5.647691483,madre
4761918,6.477590733,hai
4790142,5.545943498,nome
4830714,4.869305017,disse
4851882,5.66327005,mamma
4937877,4.98282431,bambina
4955958,4.231723291,andò
4978890,5.011387421,guardare
5026959,4.634811777,libri
5082966,3.013744875,quaderni
5149116,3.892491215,vide
5179986,6.283626334,era
5208210,5.545943498,nome
5310081,4.334718434,scendi
5329485,6.231286207,fare
5341833,3.279059319,merenda
5393430,2.894214608,gridò
5416362,5.66327005,mamma
5509854,5.66327005,mamma
5565861,6.180297396,detto
5594967,4.993662758,chiamare
5755050,5.545943498,nome
5784597,6.720262455,ho
5821200,3.538253245,pensò
5848983,3.935216213,tristezza
5969817,4.181039996,piangendo
6015240,4.98282431,bambina
6034644,4.3610382,prese
6053166,4.670354567,palla
6103881,4.231723291,andò
6125490,4.462997018,giardino
6170472,3.97589694,arrivò
6208398,4.603299767,albero
6261318,1.491953226,omettino
6386121,5.382388218,mano
6402438,4.556691918,chiusa
6438159,3.010467166,sorrideva
6517098,3.6644102,ridammi
6550614,5.545943498,nome
6591627,2.894214608,gridò
6612795,4.98282431,bambina
6685119,4.676928416,darò
6700995,4.670354567,palla
6741567,5.995743909,vuoi
6821388,3.949835122,tieniti
6844761,4.670354567,palla
6861519,3.746017679,piccolina
6947073,5.545943498,nome
7007049,5.649409994,altra
7018956,5.820011577,volta
7042770,3.612527157,darlo
7090839,5.491551317,capito
7173747,3.275499508,aprì
7193151,5.382388218,mano
7235928,4.516644088,improvviso
7263711,4.98282431,bambina
7280028,2.747225731,ricordò
7308693,3.435200351,chiamarsi
7330302,,antonella
7384986,3.850364012,mise
7399098,4.683054764,saltare
7441434,4.379992239,gioia
7504497,3.872616622,corse
7524342,6.003702937,casa
7569324,5.66327005,mamma
7584759,4.030401277,chiese
7636797,5.303628751,andata
7654878,,antonella
7738227,5.292824891,perso
7758954,6.632253028,cosa
7769097,5.281903918,importante
7804818,5.66327005,mamma
7840098,4.869305017,disse
7863030,4.98282431,bambina
7932267,4.869305017,disse
7963578,4.410245738,seria
8006355,5.66327005,mamma
8025318,3.965804996,diede
8042076,4.565396619,bacio
8100729,5.244769657,fanno
8116164,4.60856097,rumore
