BEGIN,Zipf_freq,type_of_words,word
89082.0,7.055331658,function,la
97020.0,4.29094896,content,passeggiata
131859.0,7.232814475,function,di
137592.0,7.065833912,function,un
141561.0,3.747828499,content,distratto
233289.0,5.66327005,content,mamma
268128.0,5.487325132,content,vado
,7.004335738,function,a
282681.0,6.231286207,content,fare
294147.0,6.801817508,function,una
299439.0,4.29094896,content,passeggiata
370881.0,6.162363764,content,va
377937.0,5.167341994,content,pure
394695.0,3.408407174,content,giovanni
416745.0,6.662005813,function,ma
420714.0,6.089640186,content,sta
442764.0,4.897896906,content,attento
473193.0,6.212844009,function,quando
485982.0,3.168646835,content,attraversi
512442.0,7.055331658,function,la
516411.0,5.311710966,content,strada
581238.0,6.162363764,content,va
589176.0,6.454992194,content,bene
602847.0,5.66327005,content,mamma
639450.0,5.80500802,function,ciao
650475.0,5.66327005,content,mamma
700308.0,6.430432922,function,sei
715302.0,5.921350175,content,sempre
732060.0,5.656885745,content,tanto
749259.0,3.747828499,content,distratto
814086.0,6.497825183,function,sì
833931.0,5.66327005,content,mamma
874503.0,5.80500802,function,ciao
887292.0,5.66327005,content,mamma
947268.0,2.959041394,content,giovannino
972846.0,4.481180499,content,esce
983871.0,2.86761684,content,allegramente
1036350.0,2.741151583,function,e
1041642.0,6.912435835,function,per
1046493.0,7.039560886,function,il
1056636.0,5.356048799,content,primo
1068543.0,4.201223187,content,tratto
1084419.0,7.232814475,function,di
1092798.0,5.311710966,content,strada
1113304.0,6.003549189,content,fa
1120140.0,6.454992194,content,bene
1132488.0,5.068006487,content,attenzione
1178352.0,5.722242451,function,ogni
1188054.0,5.656885745,content,tanto
1202607.0,6.553884221,function,si
1213632.0,4.763271971,content,ferma
1229949.0,2.741151583,function,e
1232595.0,6.553884221,function,si
1243179.0,4.677849358,content,tocca
1293012.0,6.517126939,function,ci
1301391.0,6.768130002,content,sono
1311093.0,6.306603623,function,tutto
1348578.0,6.497825183,function,sì
1385181.0,2.741151583,function,e
1393119.0,4.171381122,content,ride
1405026.0,6.577812618,function,da
1410759.0,6.359323473,content,solo
1482201.0,7.249521761,function,è
1487493.0,6.287788074,content,così
1501164.0,4.744138531,content,contento
1530711.0,7.232814475,function,di
1536885.0,5.514886537,content,stare
1548792.0,4.897896906,content,attento
1599507.0,7.250456545,function,che
1604799.0,6.553884221,function,si
1614060.0,4.624212915,content,mette
1628172.0,7.004335738,function,a
1631700.0,2.939111257,content,saltellare
1665216.0,6.562704781,function,come
1677123.0,7.065833912,function,un
1680210.0,3.137866501,content,passero
1734453.0,6.662005813,function,ma
1744596.0,5.853751865,content,poi
1752534.0,5.633222659,function,s
1759149.0,2.52336169,content,incanta
,7.004335738,function,a
1790460.0,5.011387421,content,guardare
1816038.0,6.624997683,function,le
1822212.0,3.048255726,content,vetrine
1868958.0,6.624997683,function,le
1875573.0,4.485940242,content,macchine
1917909.0,6.624997683,function,le
1925406.0,3.906090588,content,nuvole
1949220.0,2.741151583,function,e
1970829.0,6.912435835,function,per
1988469.0,5.552103132,content,forza
2003463.0,3.790260363,content,cominciano
2026836.0,6.584780852,function,i
2028600.0,4.875454422,content,guai
2104011.0,7.065833912,function,un
2112831.0,5.803155925,content,signore
2152962.0,6.102695876,content,molto
2171925.0,3.829911389,content,gentilmente
2228814.0,6.655915487,function,lo
2233224.0,2.638081261,content,rimprovera
2293641.0,6.662005813,function,ma
2298492.0,7.250456545,function,che
2307312.0,3.747828499,content,distratto
2338182.0,6.430432922,function,sei
2375226.0,5.347199726,content,vedi
2407419.0,6.477590733,function,hai
2418003.0,6.015979163,content,già
2425500.0,5.292824891,content,perso
2444022.0,6.801817508,function,una
2448873.0,5.382388218,content,mano
2513700.0,4.985864157,function,uh
2522961.0,7.249521761,function,è
2528694.0,5.884320377,content,proprio
2546334.0,5.398911368,content,vero
2582937.0,6.662005813,function,ma
2589552.0,7.250456545,function,che
2594844.0,3.747828499,content,distratto
2627037.0,6.768130002,function,sono
2693628.0,6.553884221,function,si
2709063.0,4.624212915,content,mette
,7.004335738,function,a
2728467.0,5.080365005,content,cercare
2749635.0,7.055331658,function,la
2754486.0,5.382388218,content,mano
2794176.0,2.741151583,function,e
2796381.0,5.298963672,content,invece
2824605.0,4.979657089,content,trova
2841804.0,7.065833912,function,un
2843127.0,3.712061314,content,barattolo
2869587.0,4.464618818,content,vuoto
2894283.0,5.778314248,function,sarà
2943234.0,5.884320377,content,proprio
2960874.0,4.464618818,content,vuoto
3001887.0,5.395436614,content,vediamo
3064068.0,2.741151583,function,e
3068919.0,6.632253028,function,cosa
3085236.0,6.166704172,function,c
3089205.0,6.283626334,content,era
3098025.0,5.582881078,content,dentro
3118752.0,6.042129583,content,prima
3133305.0,7.250456545,function,che
3141243.0,5.645585191,function,fosse
3157119.0,4.464618818,content,vuoto
3173877.0,7.259198169,content,non
3200778.0,5.778314248,function,sarà
3221505.0,4.701535256,content,mica
3231648.0,6.123059474,function,stato
3244878.0,5.921350175,content,sempre
3260313.0,4.464618818,content,vuoto
3280599.0,4.822772692,content,fin
3285450.0,5.733978809,function,dal
3295593.0,5.356048799,content,primo
3309705.0,5.731502947,content,giorno
3371004.0,3.408407174,content,giovanni
3390849.0,6.553884221,function,si
3395259.0,4.13317938,content,dimentica
3419073.0,7.232814475,function,di
3424806.0,5.080365005,content,cercare
3443769.0,7.055331658,function,la
3451266.0,5.382388218,content,mano
3494484.0,5.853751865,content,poi
3509478.0,6.553884221,function,si
3512565.0,4.13317938,content,dimentica
3538584.0,6.115086172,content,anche
3546522.0,6.41186379,function,del
3555342.0,3.712061314,content,barattolo
3591504.0,5.965637226,function,perché
,6.684018637,function,ha
3605175.0,5.840107131,content,visto
3622374.0,7.065833912,function,un
3625020.0,5.020066123,content,cane
3640014.0,3.259109092,content,zoppo
3684996.0,5.795365296,function,ed
3693375.0,5.695815269,content,ecco
3711456.0,6.912435835,function,per
3717189.0,4.396127594,content,raggiungere
3744090.0,7.039560886,function,il
3750264.0,5.020066123,content,cane
3769668.0,3.259109092,content,zoppo
3794364.0,6.042129583,content,prima
3812004.0,7.250456545,function,che
3815532.0,3.798378253,content,volti
3834054.0,6.640107629,function,l
3836259.0,4.560880837,content,angolo
3864483.0,4.263173128,content,perde
3882123.0,6.306603623,function,tutto
