BEGIN,semantic_dissimilarity,type_of_words,word
89523,,function,La
97020,0.7313379049301147,content,guerra
117747,0.4994856119155884,function,delle
128331,0.3567149937152862,content,campane
213885,0.4829884171485901,function,C'
219618,0.4378015995025635,content,era
228191,0.4019361138343811,function,una
238140,0.365347146987915,content,volta
256512,0.2479917407035827,function,una
264159,0.3686981201171875,content,guerra
295470,0.2957391738891601,function,una
306495,0.3814417719841003,content,grande
324576,0.4032652974128723,function,e
326340,0.3314413428306579,content,terribile
356328,0.2815801799297333,content,guerra
394254,0.2683576345443725,function,che
404838,0.351921796798706,content,faceva
422478,0.437422513961792,content,morire
438354,0.3555776476860046,function,molti
453789,0.3917928338050842,content,soldati
475839,0.3890585899353027,function,da
481876,0.3982032537460327,function,una
489510,0.4163556098937988,content,parte
515088,0.3546801805496216,function,e
516852,0.4153010249137878,function,dall'
528318,0.3392644822597503,function,altra
581440,0.4167171716690063,function,Noi
587853,0.3537876904010772,content,stavamo
607698,0.3700430989265442,function,di
612990,0.4137483239173889,content,qua
636804,0.3132566809654236,function,e
641655,0.2845579385757446,function,i
643419,0.3440787196159363,function,nostri
660177,0.3405748605728149,content,nemici
678699,0.2673239707946777,content,stavano
696316,0.2992731928825378,function,di
702072,0.3321388959884643,content,là
731178,0.2674784660339355,function,e
737793,0.3145570755004883,function,ci
742644,0.3175671696662903,content,sparavamo
765659,0.3909231424331665,content,addosso
788067,0.3879020810127258,content,giorno
800569,0.372984766960144,function,e
804825,0.3537241816520691,content,notte
857745,0.3261864185333252,function,ma
861714,0.3094420433044433,function,la
867447,0.3434692621231079,content,guerra
882970,0.3149793744087219,function,era
891702,0.407866358757019,content,tanto
909342,0.3824073672294616,content,lunga
938007,0.3684975504875183,function,che
943740,0.3730377554893493,function,a
946827,0.4042036533355713,function,un
949914,0.4007226228713989,content,certo
964026,0.3026509284973144,content,punto
977697,0.3327266573905945,function,ci
982989,0.3798208832740783,content,venne
994014,0.4192864894866943,function,a
996933,0.4249175786972046,content,mancare
1018710,0.361111044883728,function,il
1028412,0.4559298753738403,content,bronzo
1043847,0.3953235149383545,function,per
1047816,0.3445015549659729,function,i
1053549,0.3775155544281006,content,cannoni
1088829,0.3040739893913269,content,non
1094562,0.3283897638320923,content,avevamo
1115730,0.3645476102828979,content,più
1125432,0.3519224524497986,content,ferro
1140867,0.3368259072303772,function,per
1146600,0.272212266921997,function,le
1152333,0.4045179486274719,content,baionette
1183644,0.442904531955719,content,eccetera
1259496,0.428314208984375,function,Il
1264788,0.4844281673431396,function,nostro
1281546,0.4600690305233001,content,comandante
1326969,0.4307599067687988,function,lo
1334907,0.5786151885986328,content,Stragenerale
1367982,0.4358187615871429,content,Bombone
1392237,0.3984469473361969,content,Sparone
1419579,0.4340519905090332,content,Pestafracassone
1485729,0.4967797100543976,content,ordinò
1505133,0.4411990642547607,function,di
1512189,0.4420744180679321,content,tirar
1526742,0.5385369062423706,content,giù
1534239,0.4546340703964233,function,tutte
1549674,0.3896541595458984,function,le
1555848,0.4739980697631836,content,campane
1584072,0.4462289214134216,function,dai
1593333,0.4491184055805206,content,campanili
1642284,0.3359842300415039,function,e
1648458,0.2916901707649231,function,di
1656396,0.320965439081192,content,fonderle
1676682,0.3168522119522095,function,tutte
1690979,0.3571290969848633,content,insieme
1724751,0.3341274261474609,function,per
1733791,0.3556888997554779,content,fabbricare
1760472,0.2979001998901367,function,un
1763559,0.4240988492965698,content,grossissimo
1795311,0.4035496711730957,content,cannone
1834560,0.3605539798736572,function,uno
1847349,0.3881995677947998,content,solo
1883511,0.3940328955650329,function,ma
1890126,0.3821561336517334,content,grosso
1904679,0.4432665705680847,content,abbastanza
1933785,0.4002879858016968,function,da
1939518,0.3626967668533325,content,vincere
1958481,0.3953740000724792,function,tutta
1973475,0.3630541563034057,function,la
1979208,0.3735982179641723,content,guerra
1999494,0.3823404312133789,function,con
2015087,0.368176519870758,function,un
2018898,0.4081271290779114,content,sol
2029041,0.3478927910327911,content,colpo
2109303,0.4053510427474975,function,A
2114595,0.3842663764953613,content,sollevare
2137527,0.3282331228256225,function,quel
2148111,0.3788976669311523,content,cannone
2186919,0.4371649622917175,function,ci
2192652,0.4572292268276214,content,vollero
2212938,0.387755423784256,function,centomila
2241162,0.4397951960563659,content,gru
2279529,0.3144242763519287,function,per
2286144,0.3577351868152618,content,trasportarlo
2319219,0.4149935245513916,function,al
2326716,0.4791185855865478,content,fronte
2355822,0.344001829624176,function,ci
2363319,0.3467579185962677,content,vollero
2384046,0.3943576216697693,function,novantasette
2425059,0.3990007936954498,content,treni
2482389,0.4046285152435303,function,Lo
2488563,0.5703542828559875,content,Stragenerale
2518551,0.3802027106285095,function,si
2526048,0.4511336088180542,content,fregava
2541042,0.4226688742637634,function,le
2545893,0.4338106513023376,content,mani
2557359,0.4068855047225952,function,per
2563092,0.3883473873138428,function,la
2567943,0.4221694469451904,content,contentezza
2605869,0.3024446368217468,function,e
2608515,0.3849532008171081,content,diceva
2650555,0.5089865922927856,function,Quando
2660553,0.3671169281005859,function,il
2664963,0.4230099320411682,function,mio
2673783,0.4350700080394745,content,cannone
2694510,0.4096444249153137,content,sparerà
2732436,0.3584375977516174,function,i
2734641,0.3663063645362854,content,nemici
2752281,0.3677244186401367,content,scapperanno
2786679,0.3917391896247864,content,fin
2794617,0.3996522426605224,function,sulla
2808288,0.4026936590671539,content,luna
2866941,0.4519660472869873,content,Ecco
2876643,0.4239790439605713,function,il
2880171,0.4658311605453491,content,gran
2892519,0.3912385404109955,content,momento
2940588,0.2951964735984802,function,Il
2947203,0.4875736236572265,content,cannonissimo
2985570,0.3434956073760986,function,era
2995272,0.3629255294799804,content,puntato
3015558,0.3200497627258301,function,sui
3025701,0.3272278904914856,content,nemici
3090087,0.4530143737792969,function,Noi
3099348,0.3667507171630859,function,ci
3102876,0.417302668094635,function,eravamo
3117429,0.4240687489509582,content,riempiti
3144330,0.3729225397109985,function,le
3146976,0.3919300436973572,content,orecchie
3162852,0.3876522183418274,function,di
3166380,0.3937108218669891,content,ovatta
3202542,0.3817265629768371,function,perché
3215308,0.3489031791687011,function,il
3220623,0.463897705078125,content,frastuono
3256344,0.4020205736160278,function,poteva
3272220,0.3841450214385986,content,romperci
3296034,0.3106265068054199,function,i
3300885,0.4195157587528229,content,timpani
3332637,0.3466472625732422,function,e
3337047,0.2530106902122497,function,la
3343221,0.3441371917724609,content,tromba
3360420,0.3192501664161682,function,di
3364830,0.4705919027328491,content,Eustachio
3465378,0.4285496473312378,function,Lo
3474198,0.5852547883987427,content,Stragenerale
3507273,0.4648185670375824,content,Bombone
3529764,0.4360861778259277,content,Sparone
3555342,0.4354235231876373,content,Pestafracassone
3601206,0.494451493024826,content,ordinò
3638691,0.5026391744613647,content,Fuoco
3692052,0.4416024684906006,function,Un
3699108,0.5139111280441284,content,artigliere
3725568,0.4670695662498474,content,premette
3745395,0.3587177395820617,function,un
3750705,0.4063913226127624,content,pulsante
3800538,0.4044326543807983,function,E
3807153,0.4375063180923462,function,d'
3810681,0.3759001493453979,content,improvviso
3841992,0.4002798795700073,function,da
3847725,0.3746406435966491,function,un
3853458,0.4494765996932983,content,capo
3864924,0.4362894296646118,function,all'
3873744,0.4326092004776001,function,altro
