BEGIN,Zipf_freq,word
93933.0,3.459267144,giacomo
124803.0,3.849411611,cristallo
237258.0,5.820011577,volta
287973.0,5.377045756,città
299880.0,4.349587211,lontana
354564.0,4.383072355,venne
375291.0,5.533168209,mondo
394254.0,5.364764818,bambino
413217.0,3.393683917,trasparente
537124.0,2.787520326,membra
595350.0,5.73232148,vedere
626661.0,6.562704781,come
671643.0,5.026360125,aria
698544.0,5.23681316,acqua
787185.0,4.713758544,carne
817614.0,4.423665293,ossa
857745.0,3.623090499,pareva
879772.0,4.228747981,vetro
932715.0,3.063079503,cadeva
946827.0,7.259198169,non
953883.0,4.594729841,andava
983871.0,4.784486182,pezzi
1042524.0,6.382555861,più
1063692.0,4.910958432,faceva
1096767.0,4.826054975,fronte
1143072.0,2.98331492,bernoccolo
1176588.0,3.393683917,trasparente
1287376.0,3.958450129,vedeva
1323000.0,5.265885873,cuore
1341522.0,4.221320531,battere
1405467.0,3.313139108,vedevano
1442952.0,4.351991615,pensieri
1471617.0,1.668044485,guizzare
1524978.0,4.20837396,pesci
1542618.0,3.080224933,colorati
1606122.0,4.194814396,vasca
1715931.0,5.820011577,volta
1747242.0,4.5330497,sbaglio
1795311.0,5.364764818,bambino
1812951.0,4.869305017,disse
1835001.0,4.297114127,bugia
1889244.0,5.515761062,subito
1915263.0,5.595192339,gente
1956717.0,5.73232148,vedere
1992438.0,4.670354567,palla
2015370.0,5.109241952,fuoco
2084607.0,4.826054975,fronte
2145906.0,,ridisse
2172807.0,5.292704661,verità
2226609.0,4.670354567,palla
2244690.0,5.109241952,fuoco
2263653.0,1.844135744,dissolse
2366847.0,5.130891521,resto
2401686.0,5.86172088,vita
2430792.0,7.259198169,non
2440935.0,4.869305017,disse
2456811.0,6.382555861,più
2465631.0,4.336430401,bugie
2561442.0,5.649409994,altra
2574999.0,5.820011577,volta
2622186.0,5.80172707,amico
2642031.0,2.19092323,confidò
2671137.0,4.899046566,segreto
2730672.0,5.515761062,subito
2781828.0,3.188746311,videro
2819754.0,4.670354567,palla
2833425.0,4.460085795,nera
2855916.0,2.19092323,rotolava
2894724.0,5.057358263,pace
2925153.0,4.334406441,petto
2987334.0,4.899046566,segreto
3010707.0,7.259198169,non
3027465.0,6.382555861,più
3036726.0,4.657864956,tale
3119634.0,5.364764818,bambino
3140361.0,2.92331699,crebbe
3184461.0,3.563835233,diventò
3211362.0,4.233695568,giovanotto
3262959.0,5.853751865,poi
3280158.0,5.816544311,uomo
3367035.0,4.718875188,leggere
3402315.0,4.351991615,pensieri
3445974.0,4.322702239,indovinare
3497130.0,4.393820039,risposte
3551373.0,4.910958432,faceva
3575628.0,5.180684418,domanda
3624138.0,6.042129583,prima
3649716.0,2.853681062,aprisse
3671325.0,4.963684877,bocca
3766140.0,4.429220298,chiamava
3785103.0,3.459267144,giacomo
3839787.0,5.595192339,gente
3858309.0,4.429220298,chiamava
3890502.0,3.459267144,giacomo
3919608.0,3.849411611,cristallo
3980025.0,5.203085298,voleva
3995901.0,6.454992194,bene
4030740.0,3.959561331,lealtà
4081014.0,5.221138271,vicino
4129524.0,2.863021088,diventavano
4159512.0,4.042487312,gentili
4248153.0,4.458094958,purtroppo
4298427.0,5.055196927,paese
4348273.0,3.048255726,salì
4371192.0,4.758420121,governo
4402062.0,3.533345911,feroce
4421466.0,3.244001674,dittatore
4481883.0,3.877112464,cominciò
4513194.0,4.64424157,periodo
4538772.0,2.337051266,prepotenze
4606245.0,3.020227003,ingiustizie
4656519.0,4.172288739,miseria
4693563.0,4.533444603,popolo
4783527.0,2.395043213,osava
4798962.0,3.367014489,protestare
4843944.0,2.614169104,spariva
4883634.0,4.24323233,lasciar
4901274.0,4.396668771,traccia
4963455.0,1.734991274,ribellava
5016375.0,2.950591075,fucilato
5098842.0,4.239365034,poveri
5127948.0,2.844135744,perseguitati
5183955.0,2.696073208,umiliati
5232906.0,2.59746341,offesi
5287149.0,4.404042369,modi
5356827.0,5.595192339,gente
5374908.0,2.433961279,taceva
5401809.0,2.03602127,subiva
5447232.0,3.661480715,timore
5476779.0,4.238392805,conseguenze
5574681.0,3.459267144,giacomo
5590557.0,7.259198169,non
5615253.0,3.847979083,tacere
5673906.0,6.115086172,anche
5689341.0,7.259198169,non
5695956.0,2.958079096,apriva
5710950.0,4.963684877,bocca
5755932.0,4.351991615,pensieri
5777100.0,3.647289263,parlavano
5887791.0,3.393683917,trasparente
5955264.0,2.212112529,leggevano
6014799.0,4.826054975,fronte
6049638.0,4.351991615,pensieri
6076980.0,2.848934627,sdegno
6106968.0,4.089099714,condanna
6147099.0,3.020227003,ingiustizie
6186348.0,3.212112529,violenze
6217218.0,3.308194526,tiranno
6291747.0,4.636916412,nascosto
6319971.0,5.853751865,poi
6357897.0,5.595192339,gente
6379506.0,2.839283241,ripeteva
6405084.0,4.351991615,pensieri
6433749.0,3.459267144,giacomo
6472998.0,3.873970268,prendeva
6493725.0,4.648578084,speranza
6581484.0,3.308194526,tiranno
6600006.0,4.506053547,fece
6609708.0,4.137375495,arrestare
6633522.0,3.459267144,giacomo
6654690.0,3.849411611,cristallo
6700113.0,3.19092323,ordinò
6721281.0,2.939111257,gettarlo
6771555.0,6.382555861,più
6779934.0,3.468532444,buia
6793605.0,5.007197681,prigione
6864160.0,6.072527547,allora
6887538.0,4.046442386,successe
6922377.0,6.632253028,cosa
6938253.0,4.068582474,straordinaria
7028217.0,3.922914679,muri
7052913.0,4.41116211,cella
7084224.0,3.459267144,giacomo
7123032.0,3.845099772,rinchiuso
7165368.0,2.946798086,diventarono
7194033.0,2.898493406,trasparenti
7267239.0,5.792396528,dopo
7297668.0,6.115086172,anche
7309575.0,3.922914679,muri
7329861.0,4.285394359,carcere
7377930.0,3.973037378,infine
7418943.0,6.115086172,anche
7434819.0,3.950968558,mura
7445403.0,3.280828341,esterne
7532721.0,5.595192339,gente
7553007.0,3.739926492,passava
7568442.0,4.596184192,accanto
7597548.0,5.007197681,prigione
7634151.0,3.958450129,vedeva
7650468.0,3.459267144,giacomo
7669872.0,4.624852996,seduto
7712649.0,3.234285508,sgabello
7758954.0,6.562704781,come
7777917.0,6.115086172,anche
7796880.0,5.007197681,prigione
7844949.0,3.849411611,cristallo
7909776.0,4.010467166,continuava
7940646.0,4.718875188,leggere
7978572.0,4.351991615,pensieri
8069418.0,5.521062946,notte
8089263.0,5.007197681,prigione
8107344.0,1.367014489,spandeva
8136009.0,4.86047254,intorno
8173494.0,5.615282093,grande
8192457.0,5.005037586,luce
8251110.0,3.308194526,tiranno
8292564.0,4.482403082,palazzo
8341074.0,4.910958432,faceva
8358714.0,4.401107935,tirare
8397522.0,4.102613389,tende
8421777.0,7.259198169,non
8431038.0,4.612280329,vederla
8477784.0,7.259198169,non
8483958.0,4.056027205,riusciva
8507331.0,3.679473947,ugualmente
8543052.0,5.01764575,dormire
8624196.0,3.459267144,giacomo
8654625.0,3.849411611,cristallo
