BEGIN,entropy,type_of_words,word
89523.0,,function,Il
99666.0,11.897998809814451,content,paese
120834.0,6.6752519607543945,function,dei
128331.0,8.605286598205566,content,cani
242991.0,3.0859904289245605,function,C'
247842.0,1.166622281074524,content,era
257985.0,5.941683292388916,function,una
267246.0,8.465743064880371,content,volta
310464.0,5.219408512115479,function,uno
321489.0,7.008479118347168,content,strano
343539.0,8.852559089660645,content,piccolo
366471.0,7.121644020080566,content,paese
425565.0,7.159305572509766,function,Era
434826.0,7.5813493728637695,content,composto
459963.0,2.3261914253234863,function,in
467019.0,7.527911186218262,function,tutto
480690.0,4.467704772949219,function,di
486423.0,7.700782775878906,function,novantanove
517293.0,5.288486957550049,content,casette
567567.0,8.04635238647461,function,e
572418.0,7.859271049499512,function,ogni
582561.0,2.8417108058929443,content,casetta
594468.0,4.254244804382324,content,aveva
614313.0,5.11834716796875,function,un
622251.0,2.7258870601654053,content,giardinetto
651357.0,5.665204048156738,function,con
656649.0,7.287546157836914,function,un
665028.0,4.734709739685059,content,cancelletto
725004.0,5.930376052856445,function,e
730737.0,6.741734504699707,function,dietro
749259.0,5.572186470031738,function,il
753228.0,2.2393949031829834,content,cancelletto
798210.0,4.725101470947266,function,un
807912.0,8.650701522827148,content,cane
817614.0,6.333117485046387,function,che
822906.0,4.028541564941406,content,abbaiava
856422.0,6.781647682189941,content,Facciamo
909783.0,6.333641529083252,function,un
911547.0,4.04449987411499,content,esempio
979020.0,7.184520721435547,content,Fido
990927.0,8.426090240478516,function,era
998865.0,6.971297264099121,function,il
1004157.0,6.605339050292969,content,cane
1031499.0,6.116000175476074,function,della
1043847.0,3.993030548095703,content,casetta
1069425.0,6.229404449462891,content,numero
1083537.0,7.264037132263184,function,uno
1110879.0,2.941912651062012,function,e
1115730.0,8.907997131347656,function,ne
1121904.0,3.8833377361297607,content,proteggeva
1148364.0,3.793635129928589,content,gelosamente
1177470.0,4.860146522521973,function,gli
1180998.0,4.0929789543151855,content,abitanti
1240533.0,7.043723106384277,function,e
1251117.0,7.913494110107422,function,per
1256409.0,7.78272819519043,content,farlo
,7.872477054595947,function,a
1270521.0,9.138002395629885,content,dovere
1290366.0,3.7067346572875977,content,abbaiava
1321677.0,6.639798641204834,function,con
1328733.0,5.40608024597168,content,impegno
1361808.0,5.218175888061523,function,ogni
1370628.0,6.403285026550293,content,volta
1386504.0,2.108924150466919,function,che
1390914.0,6.4100189208984375,content,vedeva
1405467.0,6.025058746337891,content,passare
1429281.0,4.795353412628174,function,qualcuno
1456182.0,4.692192077636719,function,degli
1466766.0,5.035468101501465,content,abitanti
1510866.0,3.221604824066162,function,delle
1523214.0,2.508009910583496,content,altre
1541736.0,2.2327680587768555,function,novantotto
1577898.0,2.0016958713531494,content,casette
1629936.0,5.475351810455322,content,uomo
1650222.0,4.435722351074219,content,donna
1671390.0,2.4730594158172607,function,o
1678005.0,4.33984375,content,bambino
1741068.0,7.340946674346924,function,Lo
1748124.0,8.357583999633789,function,stesso
1766205.0,6.794773101806641,content,facevano
1788255.0,7.178439140319824,function,gli
1792224.0,5.425573825836182,content,altri
1808541.0,1.8317457437515257,function,novantotto
1838529.0,4.476256370544434,content,cani
1879542.0,7.129983425140381,function,e
1884834.0,7.479773044586182,content,avevano
1901592.0,7.669544696807861,function,un
1906884.0,8.722288131713867,content,gran
1916145.0,3.6224050521850586,function,da
1925406.0,7.373719215393066,content,fare
1943487.0,4.524117469787598,function,ad
1948338.0,4.103602409362793,content,abbaiare
1972152.0,5.654338359832764,function,di
1979649.0,7.165847301483154,content,giorno
1996848.0,4.137819290161133,function,e
1999053.0,4.209496021270752,function,di
2005227.0,1.711411476135254,content,notte
2041389.0,6.977838516235352,function,perché
2054178.0,3.725083351135254,function,c'
2059029.0,1.0399259328842163,content,era
2065203.0,5.851219654083252,content,sempre
2082843.0,4.5713419914245605,function,qualcuno
2105775.0,4.06162166595459,function,per
2111508.0,8.332286834716797,function,la
2117682.0,5.828514099121094,content,strada
2179863.0,7.315543174743652,function,A
2193093.0,7.089552879333496,content,forza
2211174.0,3.165229082107544,function,di
2218671.0,5.283212661743164,content,sentir
2234106.0,2.409550189971924,content,abbaiare
2263653.0,6.754411220550537,function,i
2267622.0,5.6384100914001465,content,cani
2285703.0,6.505771636962891,function,gli
2302020.0,7.261159896850586,content,abitanti
2325393.0,6.465885162353516,function,di
2329362.0,5.991686820983887,function,quel
2341269.0,2.7529489994049072,content,paese
2363319.0,6.662876605987549,function,erano
2384046.0,8.108701705932617,content,diventati
2410065.0,8.077025413513184,function,tutti
2423295.0,7.451047897338867,function,un
2429910.0,3.711434364318848,content,po'
2435643.0,5.496907711029053,content,sordi
2482830.0,6.292346477508545,function,e
2491650.0,7.788090229034424,function,tra
2495619.0,5.505078315734863,function,loro
2508849.0,3.503691434860229,content,parlavano
2529576.0,5.535528182983398,content,pochissimo
2601018.0,7.437141418457031,function,Del
2608074.0,5.376345634460449,content,resto
2623950.0,7.506165504455566,content,non
2625273.0,6.151869773864746,function,avevano
2659671.0,6.935807228088379,content,mai
2670696.0,7.14724588394165,content,avuto
2687454.0,6.621891975402832,content,grandi
2700684.0,7.6681623458862305,content,cose
2717883.0,5.70575761795044,function,da
2724498.0,2.7274136543273926,content,dire
2743902.0,4.066608905792236,function,e
2745225.0,7.137299537658691,function,da
2746548.0,5.574172019958496,content,ascoltare
2826810.0,7.413486003875732,content,Pian
2842245.0,3.65368390083313,content,piano
2867823.0,8.196335792541504,function,a
2873556.0,6.235641479492188,content,starsene
2900898.0,6.507051467895508,content,sempre
2924712.0,4.449739456176758,content,zitti
2948526.0,5.761593818664551,function,e
2949849.0,5.782308101654053,content,immusoniti
2997918.0,5.157272815704346,content,disimpararono
3032316.0,7.122039318084717,content,anche
3053925.0,5.884970664978027,function,a
3063627.0,7.24742317199707,content,parlare
3124485.0,7.633039951324463,function,E
3135510.0,7.424928665161133,function,alla
3143007.0,4.685587406158447,content,fine
3154914.0,5.391206741333008,content,capitò
3201219.0,6.417999267578125,function,che
3204306.0,7.345234394073486,function,i
3211803.0,4.779033184051514,content,padroni
3229443.0,5.598104000091553,function,di
3235617.0,4.391467571258545,content,casa
3267369.0,5.629947662353516,function,si
3277512.0,5.996185302734375,content,misero
3298239.0,5.437877178192139,function,ad
3302649.0,3.686180353164673,content,abbaiare
3329109.0,6.505114555358887,function,come
3342339.0,7.780223369598389,function,i
3350277.0,5.336361885070801,function,loro
3361302.0,4.074946403503418,content,cani
3420396.0,7.619808197021484,function,Loro
3434067.0,7.132607460021973,content,forse
3451266.0,3.231896162033081,content,credevano
3475962.0,4.387221813201904,function,di
3481695.0,6.189262390136719,content,parlare
3526677.0,4.069494724273682,function,ma
3530205.0,6.100629806518555,function,quando
3541671.0,4.928492546081543,content,aprivano
3565926.0,4.476038455963135,content,bocca
3596355.0,6.188426971435547,function,si
3605616.0,4.81801176071167,content,udiva
