BEGIN,surprisal,type_of_words,word
89523.0,0.0,function,Il
99666.0,8.79633903503418,content,paese
120834.0,7.324386119842529,function,dei
128331.0,15.42232894897461,content,cani
242991.0,21.338014602661133,function,C'
247842.0,3.030210494995117,content,era
257985.0,2.698828935623169,function,una
267246.0,3.813176870346069,content,volta
310464.0,7.0902099609375,function,uno
321489.0,4.675744533538818,content,strano
343539.0,8.714073181152344,content,piccolo
366471.0,9.177807807922363,content,paese
428652.0,3.4235386848449707,function,Era
434826.0,8.641083717346191,content,composto
459963.0,6.410405158996582,function,in
467019.0,5.344522953033447,function,tutto
480690.0,7.319192886352539,function,di
,19.148530960083008,,novantanove
517293.0,14.80768585205078,content,casette
571095.0,4.734642028808594,function,e
572418.0,6.1971211433410645,function,ogni
582561.0,1.3422592878341677,content,casetta
600201.0,2.5379223823547363,content,aveva
614313.0,1.8060132265090945,function,un
622251.0,12.248567581176758,content,giardinetto
651357.0,4.0095744132995605,function,con
656649.0,2.874043703079224,function,un
665028.0,22.84772300720215,content,cancelletto
728091.0,2.759812593460083,function,e
730737.0,8.261478424072266,function,dietro
,3.478734970092773,function,il
753228.0,4.8123555183410645,content,cancelletto
798210.0,5.220864772796631,function,un
807912.0,6.466335296630859,content,cane
817614.0,3.579983711242676,function,che
824356.0,16.778249740600586,content,abbaiava
891702.0,15.032122611999512,content,Facciamo
,2.548914670944214,function,un
911547.0,3.306338310241699,content,esempio
979020.0,19.39144897460937,content,Fido
990927.0,8.743334770202637,function,era
998865.0,4.249223709106445,function,il
1004157.0,2.2759127616882324,content,cane
1031499.0,5.416170597076416,function,della
1043847.0,5.831702709197998,content,casetta
1069425.0,9.66181755065918,content,numero
1083537.0,6.425666809082031,,uno
1113966.0,5.448020458221436,function,e
1115730.0,8.770034790039062,function,ne
1121904.0,11.930459022521973,content,proteggeva
1148364.0,14.252358436584473,content,gelosamente
1177470.0,5.919536113739014,function,gli
1180998.0,9.579607009887695,content,abitanti
1240533.0,3.0399529933929443,function,e
1246914.0,6.696732521057129,function,per
1252440.0,7.301146507263184,content,farlo
1268668.0,7.240981578826904,function,a
1270521.0,8.600384712219238,content,dovere
1300509.0,14.745121955871582,content,abbaiava
1321677.0,4.983978271484375,function,con
1328733.0,15.03763484954834,content,impegno
1361808.0,6.209891319274902,function,ogni
1370628.0,3.171082735061645,content,volta
1386504.0,0.3236434757709503,function,che
1390914.0,9.679121971130373,content,vedeva
1405467.0,8.676717758178711,content,passare
1429281.0,7.405247688293457,function,qualcuno
1456182.0,9.137612342834473,function,degli
1466766.0,3.088186502456665,content,abitanti
1510866.0,9.398395538330078,function,delle
1523214.0,7.695368766784668,content,altre
1541736.0,32.737545013427734,,novantotto
1577898.0,9.244526863098145,content,casette
1629936.0,17.93074607849121,content,uomo
1650222.0,1.0939728021621704,content,donna
1671390.0,3.936363697052002,function,o
1678005.0,2.94836950302124,content,bambino
1741068.0,7.46303653717041,function,Lo
1748124.0,4.29208517074585,function,stesso
1766205.0,10.639105796813965,content,facevano
1788255.0,4.387840270996094,function,gli
1792224.0,1.7576909065246582,content,altri
,13.253911972045898,,novantotto
1838529.0,8.544011116027832,content,cani
1879542.0,3.0221853256225586,function,e
1884834.0,8.531466484069824,content,avevano
,3.1526854038238525,function,un
1906884.0,7.353713989257812,content,gran
1916145.0,12.332123756408691,function,da
1921878.0,2.18969464302063,content,fare
1943487.0,9.040432929992676,function,ad
1948338.0,6.822803020477295,content,abbaiare
1972152.0,6.734716892242432,function,di
1979649.0,7.039709568023682,content,giorno
1996848.0,3.182752847671509,function,e
1999053.0,1.4297528266906738,function,di
2005227.0,2.169161558151245,content,notte
2041389.0,4.986691951751709,function,perché
2054178.0,7.721450328826904,function,c'
2059029.0,0.6392088532447815,content,era
2065203.0,3.969905138015747,content,sempre
2082843.0,1.9902315139770508,function,qualcuno
2105775.0,7.137269020080566,function,per
2111508.0,5.166118621826172,function,la
2117682.0,6.507874488830566,content,strada
2191329.0,6.5397047996521,function,A
2193093.0,12.43796730041504,content,forza
2211174.0,0.7104158997535706,function,di
2218671.0,15.745613098144531,content,sentir
2234106.0,13.208335876464844,content,abbaiare
2263653.0,6.4636430740356445,function,i
2267622.0,1.3753747940063477,content,cani
2302020.0,6.651417255401611,function,gli
2306540.0,2.965209722518921,content,abitanti
2325393.0,3.8210372924804688,function,di
2329362.0,2.406376600265503,function,quel
2341269.0,0.9547191262245178,content,paese
2372139.0,4.096668720245361,function,erano
2384046.0,6.273914813995361,content,diventati
2410065.0,5.093170642852783,function,tutti
2423295.0,7.041775226593018,function,un
2429910.0,4.105937480926514,content,po'
2435643.0,12.726513862609863,content,sordi
2482830.0,1.6489704847335815,function,e
2491650.0,9.85737133026123,function,tra
2495619.0,1.989715933799744,function,loro
2508849.0,13.35374355316162,content,parlavano
2529576.0,13.07627010345459,content,pochissimo
2601018.0,10.606921195983888,function,Del
2608074.0,3.016168594360352,content,resto
2637180.0,4.478245735168457,content,non
2642577.0,6.203776836395264,function,avevano
2659671.0,3.1712262630462646,content,mai
2670696.0,3.081564426422119,content,avuto
2687454.0,9.02631378173828,content,grandi
2700684.0,7.979307174682617,content,cose
2717883.0,2.7447540760040283,function,da
2724498.0,3.3808484077453613,content,dire
2743902.0,4.398235321044922,function,e
2745225.0,5.976855754852295,function,da
,8.511089324951172,content,ascoltare
2826810.0,12.22997760772705,content,Pian
2842245.0,5.632983684539795,content,piano
2867823.0,6.045158386230469,function,a
2873556.0,14.621305465698242,content,starsene
2900898.0,6.814017295837402,content,sempre
2924712.0,8.840507507324219,content,zitti
2939939.0,2.742091178894043,function,e
2944742.0,45.68072891235352,content,immusoniti
2997918.0,39.88454055786133,content,disimpararono
3035844.0,6.686341285705566,content,anche
3053925.0,5.760385036468506,function,a
3059217.0,8.045677185058594,content,parlare
3134187.0,4.301092624664307,function,E
3135510.0,9.399649620056152,function,alla
3143007.0,1.0669875144958496,content,fine
3154914.0,22.35042953491211,content,capitò
3201219.0,2.628544569015503,function,che
3207935.0,5.150569438934326,function,i
3211803.0,6.721038818359375,content,padroni
3229443.0,2.558364152908325,function,di
3235617.0,3.516132354736328,content,casa
3267369.0,5.439613342285156,function,si
3277512.0,9.05404567718506,content,misero
3298239.0,5.963026523590088,function,ad
3302649.0,6.174286842346191,content,abbaiare
3329109.0,7.461998462677002,function,come
3342339.0,5.592115879058838,function,i
3350277.0,5.442445755004883,function,loro
3361302.0,4.4733734130859375,content,cani
3420396.0,8.398506164550781,function,Loro
3434067.0,10.561906814575195,content,forse
3451266.0,9.43860912322998,content,credevano
3475962.0,2.92858624458313,function,di
3481695.0,9.733983993530272,content,parlare
3526677.0,0.9642394185066224,function,ma
3530205.0,5.813849925994873,function,quando
3541671.0,11.548623085021973,content,aprivano
3565926.0,9.534215927124023,content,bocca
3596355.0,6.413833141326904,function,si
3605616.0,9.98883056640625,content,udiva
,4.745642185211182,function,una
3629430.0,8.037309646606445,content,specie
3651480.0,0.0723588392138481,function,di
