BEGIN,Zipf_freq,word
100989.0,3.787520326,contadino
134505.0,2.502677091,astrologo
245196.0,5.011715611,re
287532.0,4.078821718,perduto
327663.0,4.631517492,anello
345744.0,4.02438909,prezioso
404397.0,5.003535817,cerca
430416.0,5.003535817,cerca
477603.0,4.979657089,trova
533610.0,3.850364012,mise
564480.0,3.120342156,bando
616959.0,2.502677091,astrologo
659295.0,5.664052398,sa
665910.0,5.98002779,dire
686637.0,7.249521761,è
709128.0,6.003549189,fa
715302.0,4.420860916,ricco
760861.0,5.86172088,vita
827316.0,6.283626334,era
838782.0,3.787520326,contadino
889056.0,3.957336077,soldo
938448.0,4.895245371,sapeva
959175.0,4.718875188,leggere
984753.0,4.723868606,scrivere
1034092.0,4.429220298,chiamava
1050903.0,2.447158031,gàmbara
1132488.0,5.232335655,difficile
1160712.0,5.356330794,far
1169973.0,2.502677091,astrologo
1218924.0,4.869305017,disse
1283310.0,4.970988391,provare
1335789.0,4.231723291,andò
1356957.0,5.011715611,re
1401057.0,4.3610382,prese
1421343.0,5.141239394,parola
1461915.0,3.965804996,chiuse
1482642.0,4.379570526,studiare
1521009.0,5.236559101,stanza
1594656.0,5.476165392,erano
1633905.0,5.41108364,letto
1681533.0,4.727229102,tavolo
1725192.0,5.00500427,gran
1737981.0,1.19092323,libraccio
1761795.0,2.86761684,astrologia
1832355.0,4.219291114,penna
1850877.0,4.831504037,carta
1882188.0,2.421372151,calamaio
1963332.0,,gàmbara
1990233.0,2.81931216,sedette
2014929.0,4.727229102,tavolo
2048445.0,3.877112464,cominciò
2077551.0,1.734991274,scartabellare
,5.050151621,libro
2154726.0,3.393683917,capirci
2216025.0,4.836738348,farci
2244249.0,4.48229208,segni
2273355.0,4.219291114,penna
2366847.0,4.895245371,sapeva
2384487.0,4.723868606,scrivere
2424618.0,3.934432995,venivano
2469159.0,4.48229208,segni
2489886.0,4.150918068,strani
2553831.0,4.031656465,servi
2575881.0,2.902730459,entravano
2611161.0,5.490648384,volte
2631888.0,5.731502947,giorno
2658348.0,3.322862525,portargli
2684808.0,5.112999615,mangiare
2730231.0,3.820842266,fecero
2749194.0,5.567345054,idea
2802114.0,2.502677091,astrologo
2826810.0,2.480957841,sapiente
2921625.0,4.031656465,servi
2989980.0,4.449799859,rubare
3011148.0,4.631517492,anello
3059658.0,4.272810369,coscienza
3083031.0,4.035400406,sporca
3108609.0,4.853444968,avevano
3153591.0,2.421372151,occhiatacce
3194163.0,2.270104476,rivolgeva
3231648.0,2.447158031,gàmbara
3266046.0,5.820011577,volta
3282804.0,2.902730459,entravano
3337929.0,4.261330552,darsi
3352482.0,5.026360125,aria
3366594.0,5.816544311,uomo
3378942.0,4.457860141,autorità
3429216.0,2.212112529,parevano
3473316.0,2.863021088,occhiate
3498012.0,4.468188539,sospetto
3561516.0,3.412337468,cominciarono
3594150.0,5.517433184,aver
3605175.0,5.417420026,paura
3638250.0,3.605896578,scoperti
3681027.0,2.858376183,finivano
3721158.0,1.588863239,riverenze
3799656.0,,gàmbara
3833613.0,2.502677091,astrologo
3878154.0,3.787520326,contadino
3938130.0,2.491953226,malizioso
4021479.0,5.344250192,pensato
4054995.0,4.031656465,servi
4105269.0,3.873519521,saperne
4172742.0,3.538253245,pensò
4193469.0,4.226553058,farli
4206258.0,2.696073208,cascare
4233600.0,3.752024614,inganno
4308570.0,5.731502947,giorno
4346055.0,6.195882677,ora
4367664.0,3.512107257,portarono
4413087.0,4.829512313,pranzo
4445280.0,2.787520326,nascose
4484970.0,5.41108364,letto
4538772.0,3.539228093,entrò
4558176.0,5.356048799,primo
4578903.0,4.031656465,servi
4614624.0,3.892491215,vide
4694886.0,5.41108364,letto
4708998.0,2.447158031,gàmbara
4726197.0,4.869305017,disse
4739868.0,5.22779156,forte
4818807.0,4.030086913,servo
4831155.0,3.840258089,lasciò
4847031.0,4.365419149,piatto
4870845.0,2.834375907,ritirò
4885398.0,4.469105015,spaventato
4966101.0,3.539228093,entrò
4983741.0,5.41963149,secondo
5005350.0,4.030086913,servo
5045481.0,5.996192947,due
5082966.0,3.207956569,scappò
5176899.0,3.539228093,entrò
5199390.0,4.623331261,terzo
5309640.0,4.031656465,servi
