BEGIN,semantic_dissimilarity,type_of_words,word
70119.0,,function,I
77616.0,0.6831668019294739,,tre
91485.0,0.4442273378372192,content,linguaggi
177842.0,0.4740025699138641,function,C'
181692.0,0.4358376860618591,content,era
189630.0,0.4301546216011047,function,una
196686.0,0.4001092910766601,content,volta
211680.0,0.363734483718872,function,in
220059.0,0.4401041865348816,content,Svizzera
254016.0,0.2745620608329773,function,un
260190.0,0.3517003655433655,content,vecchio
278271.0,0.3928102850914001,content,conte
312333.0,0.2924737930297851,function,che
316867.0,0.3632720708847046,content,aveva
329868.0,0.3356251716613769,function,un
339570.0,0.4302562475204468,content,unico
359194.0,0.3870324492454529,content,figlio
389403.0,0.3561154007911682,function,ma
397341.0,0.4494897127151489,function,così
412335.0,0.390819787979126,content,stupido
437913.0,0.3776825666427612,function,che
442203.0,0.3856971263885498,function,non
448938.0,0.3742947578430176,content,riusciva
,0.4329078793525696,function,a
467901.0,0.4475157260894775,content,imparare
487305.0,0.3962444961071014,function,nulla
541107.0,0.4791661500930786,function,Allora
553014.0,0.3237961530685425,function,il
557865.0,0.4059711694717407,content,padre
572859.0,0.399243950843811,content,disse
596232.0,0.4685890674591064,content,Ascolta
620046.0,0.4628019332885742,content,figlio
634599.0,0.3703458607196808,function,mio
654444.0,0.3448978066444397,function,per
661059.0,0.5055978298187256,function,quanto
676935.0,0.4218782186508178,function,io
684432.0,0.4862422943115234,content,faccia
702072.0,0.3280884027481079,function,non
707364.0,0.3856562376022339,content,riesco
724333.0,0.3921555280685425,function,a
727650.0,0.4304954707622528,content,cacciarti
749700.0,0.3979930877685547,function,niente
763604.0,0.462476372718811,function,in
770427.0,0.3823268115520477,content,testa
817173.0,0.3901270031929016,function,Devi
824670.0,0.3370921611785888,content,andare
839664.0,0.3366962075233459,function,via
848925.0,0.417900025844574,function,di
852894.0,0.3929323852062225,function,qui
887292.0,0.4186570644378662,content,maestri
911547.0,0.4324853420257568,content,insigni
937566.0,0.3810974061489105,content,proveranno
961574.0,0.3330616354942322,function,a
964026.0,0.3267189860343933,content,fare
983871.0,0.3997078537940979,function,ciò
993573.0,0.3508656620979309,function,che
997101.0,0.4035655260086059,function,io
1004157.0,0.3568610548973083,function,non
1008567.0,0.367059588432312,function,ho
1012977.0,0.5159135460853577,content,potuto
1079568.0,0.4241571426391601,function,Il
1085742.0,0.5197423696517944,content,giovane
1102500.0,0.4062542915344238,function,fu
1106469.0,0.4660508632659912,function,così
1117935.0,0.4107604026794433,content,mandato
1139976.0,0.4105812311172485,function,in
1143438.0,0.4208608269691467,function,un'
1147041.0,0.4085230827331543,content,altra
1161153.0,0.3937414884567261,content,città
1198638.0,0.3222459554672241,function,e
1199961.0,0.3501882553100586,content,rimase
1218924.0,0.4151224493980407,function,presso
1233918.0,0.3385481834411621,function,un
1240533.0,0.4033076763153076,content,maestro
1256850.0,0.3752907514572143,function,per
1264347.0,0.3244049549102783,function,un
1268316.0,0.3786398768424988,content,intero
1289925.0,0.3278281390666961,content,anno
1324653.0,0.491859883069992,content,Trascorso
1347696.0,0.3435202836990356,function,questo
