BEGIN,surprisal,type_of_words,word
89082.0,16.61711883544922,content,Racconto
130536.0,3.919511795043945,function,per
138033.0,11.843243598937988,content,bambini
156114.0,21.3214111328125,content,cattivi
219093.0,20.812530517578125,function,Questa
236146.0,2.3418784141540527,function,è
237699.0,1.7587862014770508,function,la
243873.0,4.876664161682129,content,storia
259308.0,1.8758540153503416,function,di
264600.0,2.6635708808898926,function,una
272538.0,3.3601491451263428,content,famiglia
299880.0,3.003242492675781,function,che
309582.0,5.047962665557861,function,non
315756.0,5.445919513702393,content,aveva
330560.0,4.986985206604004,function,un
336483.0,16.693910598754883,content,soldo
371763.0,7.193586349487305,function,Erano
387198.0,8.862798690795898,function,delle
398664.0,15.382025718688965,content,brave
411012.0,9.70494270324707,content,persone
444969.0,20.597604751586918,content,stringevano
471429.0,2.870089054107666,function,i
474516.0,1.5753018856048584,content,denti
490833.0,1.9773062467575075,function,e
492156.0,7.814606189727783,content,andavano
512883.0,6.589042663574219,function,avanti
568890.0,5.0911784172058105,function,I
571536.0,5.802463531494141,,due
579694.0,7.449202537536621,content,figli
597555.0,10.836008071899414,content,Mario
609462.0,0.3631780445575714,function,e
610785.0,21.82192039489746,content,Luisina
646947.0,7.709181308746338,function,i
650475.0,12.529915809631348,content,giocattoli
671643.0,10.805482864379885,function,se
678699.0,4.81187105178833,function,li
683109.0,8.790630340576172,content,costruivano
713538.0,6.633984565734863,function,da
718389.0,7.234822750091553,content,soli
769716.0,5.486982822418213,function,Quando
779247.0,12.965618133544922,content,Natale
795123.0,1.969759464263916,function,si
802620.0,5.897490978240967,content,fece
812763.0,14.238758087158203,function,vicino
833931.0,4.429603576660156,function,la
838782.0,1.7557729482650757,content,mamma
851571.0,5.2762370109558105,function,di
855981.0,0.8970798850059509,content,Mario
869652.0,3.6215999126434326,function,e
872298.0,3.5421993732452397,content,Luisina
903168.0,19.98282623291016,content,parlò
916398.0,2.633204936981201,function,con
925659.0,8.368936538696289,function,suo
935802.0,8.075072288513184,content,marito
986636.0,13.670881271362305,content,Senti
1005921.0,17.142852783203125,content,Giovanni
1031940.0,6.019827365875244,function,i
1033704.0,2.9727232456207275,content,bambini
1049139.0,4.855669975280762,function,non
1057518.0,13.02085018157959,content,chiedono
1073394.0,4.212623119354248,function,mai
1081332.0,5.1368021965026855,function,niente
1113084.0,16.94031524658203,function,però
1123227.0,6.162978172302246,function,la
1128078.0,14.887165069580078,content,vigilia
1147041.0,14.059805870056152,function,dobbiamo
1165563.0,3.811030864715576,content,fare
1175706.0,3.892476081848145,function,una
1183203.0,5.380471706390381,content,bella
1197315.0,8.005965232849121,content,cena
1208781.0,6.352393627166748,function,di
1214073.0,8.13508129119873,content,pesce
1263879.0,12.82058048248291,function,Quei
1268757.0,4.912357330322266,,due
1273167.0,10.40231990814209,content,ragazzini
1297863.0,8.730388641357422,function,al
1303155.0,5.436874866485596,content,massimo
1323441.0,9.184259414672852,content,conoscono
1345491.0,3.0376033782958984,function,il
1351224.0,8.477593421936035,content,tonno
1363131.0,7.023431777954102,function,in
1367982.0,5.508570671081543,content,scatola
1417815.0,10.491958618164062,function,Quindi
1434573.0,5.904213905334473,function,per
1442511.0,11.234376907348633,content,favore
1462356.0,16.253341674804688,content,vendi
1475145.0,23.55970001220703,function,questa
1532034.0,6.876674175262451,function,Gli
1539972.0,7.4632887840271,content,diede
1554084.0,2.98144793510437,function,una
1563345.0,28.015682220458984,content,collanina
1601712.0,5.73800802230835,function,con
1611855.0,2.492556095123291,function,una
1617147.0,16.66098403930664,content,medaglietta
1644489.0,7.295323848724365,function,della
1655514.0,8.4442777633667,content,Madonna
1711962.0,9.943621635437012,content,Giovanni
1730043.0,5.419086456298828,function,era
1735776.0,10.55901336669922,content,disperato
1780758.0,10.819872856140137,function,doveva
1794429.0,15.396001815795898,content,vendersi
1817802.0,3.473170280456543,function,la
1821771.0,7.530606746673584,content,collanina
1843821.0,5.622247695922852,function,di
1850877.0,10.256205558776855,function,sua
1858374.0,1.2989007234573364,content,moglie
1886157.0,5.3809123039245605,function,per
1893654.0,7.158908367156982,content,dare
1905561.0,2.9209771156311035,function,un
1910853.0,5.163914680480957,function,po'
1917027.0,0.2845569849014282,function,di
