BEGIN,Zipf_freq,type_of_words,word
89523.0,3.601700463,content,apocalisse
170226.0,4.975647479,content,cara
182574.0,2.832508913,content,franci
211239.0,6.615643201,function,ti
221823.0,4.016998033,content,scrivo
237258.0,6.912435835,function,per
245196.0,5.591789191,content,sapere
258867.0,6.562704781,function,come
267687.0,6.028325412,content,stai
280917.0,6.414765586,function,tu
288414.0,2.741151583,function,e
290619.0,6.562704781,function,come
300321.0,5.422469274,content,stanno
316638.0,2.094013217,content,eris
336042.0,2.741151583,function,e
337365.0,6.584780852,function,i
340452.0,4.938606872,function,vostri
358092.0,5.134021853,content,figli
369117.0,3.614987755,content,meravigliosi
434826.0,2.741151583,function,e
441882.0,5.853751865,function,poi
446733.0,5.489721743,function,volevo
460845.0,5.591789191,content,sapere
475398.0,6.583110863,function,se
485100.0,5.167341994,function,pure
494361.0,6.577812618,function,da
500535.0,5.827651777,function,voi
509355.0,6.797274494,function,in
512442.0,4.224533931,content,australia
539784.0,7.249521761,function,è
546399.0,4.74383468,content,arrivata
563157.0,6.640107629,function,l
564480.0,3.601700463,content,apocalisse
640332.0,3.350248018,content,manu
653562.0,5.609257672,content,dice
665910.0,7.250456545,function,che
668997.0,7.259198169,function,non
676935.0,7.249521761,function,è
682668.0,6.180297396,content,detto
703836.0,7.250456545,function,che
706923.0,6.060398439,function,sia
716625.0,4.74383468,content,arrivata
733824.0,5.167341994,function,pure
746172.0,4.913927132,function,laggiù
785421.0,5.827651777,function,voi
792477.0,5.565708224,function,siete
806589.0,6.797274494,function,in
810117.0,7.065833912,function,un
815850.0,5.925371002,content,altro
829962.0,3.120342156,content,emisfero
860391.0,2.741151583,function,e
862596.0,7.250456545,function,che
866124.0,6.640107629,function,l
869211.0,4.224533931,content,australia
891702.0,7.249521761,function,è
896112.0,7.065833912,function,un
899640.0,5.055196927,content,paese
917721.0,5.396465909,function,abbastanza
945504.0,4.17881284,content,vergine
969318.0,2.741151583,function,e
970641.0,7.250456545,function,che
976374.0,7.055331658,function,la
983430.0,5.595192339,content,gente
994455.0,5.029342130,function,lì
1003275.0,7.259198169,function,non
1009890.0,5.884100369,function,può
1018710.0,5.517433184,function,aver
1025766.0,4.413639701,content,commesso
1049139.0,6.655915487,function,lo
1053108.0,5.500840703,content,stesso
1069425.0,5.268272964,content,numero
1083096.0,7.232814475,function,di
1087947.0,4.022473082,content,peccati
1108674.0,7.250456545,function,che
1114848.0,6.577812618,function,da
1119699.0,5.985902456,function,noi
1172178.0,5.41963149,function,secondo
1218924.0,6.337855516,function,me
1235241.0,7.259198169,function,non
1241856.0,6.517126939,function,ci
1248030.0,5.884100369,function,può
1253322.0,6.225206681,function,essere
1270521.0,7.065833912,function,un
1273608.0,3.601700463,content,apocalisse
,7.004335738,function,a
1301391.0,4.885703866,content,metà
1348137.0,2.741151583,function,e
1360485.0,5.853751865,function,poi
1371510.0,6.135386161,function,alla
1378125.0,4.290258508,content,televisione
1401057.0,4.074016589,content,dicevano
1425753.0,7.250456545,function,che
1429722.0,6.283626334,function,era
1437219.0,7.065833912,function,un
1438542.0,5.541374776,content,problema
1457505.0,3.834869143,content,globale
1486611.0,6.662005813,function,ma
1491462.0,3.35971525,content,vatti
1502928.0,7.004335738,function,a
1506015.0,4.070305867,content,fidare
1528947.0,5.350189561,function,comunque
1560258.0,5.251545534,content,spero
1579221.0,7.250456545,function,che
1584954.0,6.577812618,function,da
1592010.0,5.827651777,function,voi
1607886.0,7.259198169,function,non
1616706.0,6.060398439,function,sia
1623762.0,4.74383468,content,arrivata
1658160.0,2.741151583,function,e
1659483.0,5.622383493,content,abbia
1668303.0,5.500776874,content,ragione
1683738.0,3.350248018,content,manu
1735335.0,6.577812618,function,da
1740627.0,7.065833912,function,un
1745037.0,5.184227168,content,paio
1755621.0,5.87641417,function,d
1756944.0,5.860848812,content,anni
1767969.0,7.259198169,function,non
1775025.0,6.553884221,function,si
1780317.0,4.31591625,content,parlava
1795311.0,5.87641417,function,d
1797516.0,5.925371002,function,altro
1810305.0,7.250456545,function,che
1815597.0,5.839380824,function,dell
1823535.0,3.601700463,content,apocalisse
1855287.0,7.250456545,function,che
1858374.0,5.666783201,function,sarebbe
1876014.0,4.74383468,content,arrivata
1894977.0,2.741151583,function,e
1897623.0,4.556036662,function,saremmo
1917468.0,4.984853237,content,morti
1933344.0,6.110511188,function,tutti
1974798.0,4.603803588,function,soprattutto
1999494.0,6.227520191,function,gli
2004345.0,3.896786942,content,esperti
2025954.0,6.797274494,function,in
2031246.0,4.290258508,content,televisione
2076669.0,4.853444968,content,avevano
2095632.0,4.57239932,function,ognuno
2111949.0,6.801817508,function,una
2116800.0,4.018292503,content,ricetta
2138850.0,6.000068652,function,su
2145465.0,6.562704781,function,come
2154285.0,5.666783201,function,sarebbe
2172366.0,5.64883539,content,successo
2208087.0,6.662005813,function,ma
2223522.0,6.110511188,function,tutti
2243367.0,1.588863239,content,concordavano
2275119.0,6.000068652,function,su
2280852.0,1.000000000,function,‘sta
2290113.0,5.43885969,content,storia
2304666.0,6.108229139,function,dei
2312604.0,4.498526224,content,cavalli
2330244.0,3.080224933,content,colorati
2396394.0,6.640107629,function,l
2402568.0,1.19092323,content,anticristo
2431233.0,5.666783201,function,sarebbe
2447109.0,5.038063847,content,arrivato
2463426.0,5.153505635,function,sopra
2477538.0,7.065833912,function,un
2480625.0,4.765822219,content,cavallo
2496501.0,4.744381459,content,bianco
2515464.0,5.934389877,function,ad
2518992.0,3.615804867,content,annunciare
2545011.0,7.055331658,function,la
2550523.0,5.383211843,content,fine
2562651.0,6.267030034,function,della
2570148.0,5.30993154,content,terra
2621745.0,5.853751865,function,poi
2647323.0,5.666783201,function,sarebbe
2666727.0,5.038063847,content,arrivato
2679516.0,7.065833912,function,un
2686131.0,4.765822219,content,cavallo
2702448.0,4.705072364,content,rosso
2723616.0,7.250456545,function,che
2727144.0,5.414146516,function,avrebbe
2740815.0,6.237129549,content,fatto
2752281.0,3.756771049,content,scoppiare
2777859.0,6.801817508,function,una
2784033.0,5.181173263,content,guerra
2799027.0,4.397209274,content,totale
2840481.0,5.853751865,function,poi
2849742.0,7.065833912,function,un
2855916.0,4.765822219,content,cavallo
2873115.0,4.823329902,content,nero
2886786.0,7.250456545,function,che
2889432.0,5.414146516,function,avrebbe
2904426.0,5.23152557,content,portato
2923389.0,4.862974884,content,fame
2939265.0,2.741151583,function,e
2940588.0,3.068870182,content,carestia
2980719.0,6.115086172,function,anche
2991303.0,6.797274494,function,in
2997477.0,3.906926574,content,conseguenza
3028788.0,6.267030034,function,della
3038490.0,5.181173263,content,guerra
3082149.0,7.232814475,function,di
3087441.0,5.609000686,function,questi
3100230.0,4.498526224,content,cavalli
3116547.0,7.259198169,function,non
3123603.0,6.166704172,function,c
3125808.0,7.249521761,function,è
3128013.0,5.783216598,content,stata
3141684.0,4.396668771,content,traccia
3182697.0,2.741151583,function,e
3187989.0,7.259198169,function,non
3194163.0,6.517126939,function,ci
3200337.0,6.768130002,function,sono
3207834.0,5.363540754,content,stati
3221064.0,5.368733783,function,nemmeno
3237822.0,3.242075752,content,terremoti
3266487.0,2.741151583,function,e
3269574.0,3.238198097,content,piogge
3284127.0,7.232814475,function,di
3288096.0,3.145165739,content,meteoriti
3329109.0,5.274174947,function,però
3338370.0,6.640107629,function,l
3340575.0,3.601700463,content,apocalisse
3367035.0,6.166704172,function,c
3369240.0,7.249521761,function,è
3371004.0,5.783216598,content,stata
3420837.0,7.249521761,function,è
3426129.0,4.74383468,content,arrivata
3442887.0,6.287788074,function,così
3477285.0,5.710022415,function,senza
3494043.0,3.045229272,content,trombe
3508596.0,6.41186379,function,del
3516534.0,4.261515162,content,giudizio
3535056.0,5.934389877,function,ad
3538143.0,1.844135744,content,annunciarla
3574305.0,6.769601972,function,mi
3578274.0,6.768130002,function,sono
3588417.0,4.250675924,content,svegliato
3607821.0,6.801817508,function,una
3617523.0,4.951684874,content,mattina
3640455.0,2.741151583,function,e
3645747.0,6.720262455,function,ho
3649275.0,4.997916744,content,scoperto
3682350.0,7.250456545,function,che
3686760.0,6.769601972,function,mi
3692934.0,4.910958432,content,faceva
3709251.0,5.670671245,function,male
3719835.0,6.306603623,function,tutto
3763053.0,5.722242451,function,ogni
3773637.0,4.407221117,content,movimento
3801420.0,6.115086172,function,anche
3810681.0,6.359323473,function,solo
3822588.0,3.446195735,content,piegare
3837582.0,7.065833912,function,un
3849048.0,4.477604199,content,dito
3869775.0,6.769601972,function,mi
3876831.0,4.910958432,content,faceva
3893589.0,5.670671245,function,male
3932838.0,4.604725747,function,persino
3951801.0,3.873068306,content,sbattere
3972528.0,6.624997683,function,le
3978261.0,3.399095757,content,palpebre
4015305.0,7.065833912,function,un
4022802.0,4.850934451,content,dolore
4036032.0,3.860704845,content,costante
4063374.0,7.250456545,function,che
4069107.0,7.259198169,function,non
4077927.0,6.615643201,function,ti
4081455.0,3.570228748,content,abbandona
4106151.0,6.144963021,function,mai
4152456.0,4.521134015,content,camminare
4171419.0,7.249521761,function,è
4174506.0,5.341756394,function,quasi
4188618.0,4.834869143,content,impossibile
4218606.0,5.710022415,function,senza
4233600.0,4.239559218,content,urlare
4285197.0,7.249521761,function,è
4288284.0,5.232335655,content,difficile
4312539.0,6.577812618,function,da
4318272.0,4.513968966,content,spiegare
4339440.0,6.662005813,function,ma
4342086.0,5.227971049,function,qualsiasi
4388832.0,4.719003945,content,processo
4410882.0,3.669489726,content,biologico
4439547.0,3.641172338,content,produce
4458510.0,4.850934451,content,dolore
4466007.0,5.167341994,function,pure
4478796.0,7.055331658,function,la
4480119.0,3.807398744,content,crescita
4540977.0,6.267030034,function,della
4552443.0,4.153055699,content,barba
4570524.0,6.108229139,function,dei
4577139.0,4.980151287,content,capelli
4593456.0,2.741151583,function,e
4597425.0,5.949172583,function,delle
4609773.0,4.074016589,content,unghie
4651227.0,3.257249155,content,digerire
4674159.0,5.853751865,function,poi
4681656.0,6.615643201,function,ti
4687389.0,5.246129492,content,lascia
4702824.0,4.561528831,function,praticamente
4731048.0,5.710022415,function,senza
4748467.0,4.149009079,content,fiato
4765887.0,4.092381551,content,cominci
4784850.0,7.004335738,function,a
4787496.0,4.641018306,content,piangere
4858938.0,7.249521761,function,è
4863348.0,6.562704781,function,come
4873932.0,6.583110863,function,se
4886280.0,2.480957841,content,dio
4909653.0,5.039789442,function,avesse
4924647.0,4.382094686,content,tolto
,7.004335738,function,a
4941405.0,6.110511188,function,tutti
4955517.0,6.227520191,function,gli
4959927.0,5.414185477,content,uomini
4978449.0,6.640107629,function,l
4980213.0,3.19092323,content,anestetico
5013288.0,7.250456545,function,che
