TOKEN;BEGIN;ORT
1;89964;l'
2;95697;incantesimo
3;133623;della
4;145530;volpe
5;221699;c'
6;224910;è
7;227997;stato
8;244406;un
9;251370;periodo
10;271215;della
11;280917;mia
12;291060;vita
13;322812;nel
14;336055;quale
15;347949;ho
16;350154;seguito
17;372204;mio
18;380142;padre
19;407484;quando
20;417186;andava
21;429776;a
22;436369;caccia
23;450261;coi
24;459522;suoi
25;465696;amici
26;523467;Non
27;528939;avevo
28;540666;un
29;547722;fucile
30;569772;mio
31;590058;ogni
32;598878;tanto
33;610785;qualcuno
34;629748;ne
35;635040;portava
36;652313;uno
37;660216;in
38;666351;pi√π
39;673407;e
40;675612;me
41;681345;lo
42;686196;passava
43;725886;Io
44;730296;lo
45;736029;prendevo
46;759843;ringraziavo
47;801914;e
48;804384;mi
49;808794;ripromettevo
50;835695;di
51;841428;fare
52;848598;in
53;852894;modo
54;866124;di
55;870093;non
56;878913;tirare
57;890379;un
58;895230;colpo
59;932715;Non
60;937125;mi
61;944181;piaceva
62;960057;ammazzare
63;1014741;Mi
64;1018260;piaceva
65;1033704;sparare
66;1051105;a
67;1052226;bottiglie
68;1074717;vuote
69;1092357;o
70;1095444;barattoli
71;1117180;arrugginiti
72;1180557;Avevo
73;1193654;a
74;1195551;detta
75;1209222;di
76;1215396;tutti
77;1228185;una
78;1233918;buona
79;1245384;mira
80;1299186;cos
81;1305360;era
82;1312416;allora
83;1325205;che
84;1330497;mi
85;1336671;spingeva
86;1358280;ad
87;1362690;alzarmi
88;1383858;dal
89;1392678;letto
90;1415169;quando
91;1430604;ancora
92;1448685;faceva
93;1465002;scuro
94;1521891;Mi
95;1526036;piaceva
96;1546587;vedere
97;1560258;spuntare
98;1584954;il
99;1591569;sole
100;1618805;e
101;1622880;mi
102;1629495;piaceva
103;1647135;l‚Äô
104;1650222;improvviso
105;1688589;accendersi
106;1724310;della
107;1732689;caccia
108;1795311;Dalle
109;1805454;parti
110;1819566;nostre
111;1853082;si
112;1859256;andavano
113;1876455;a
114;1881747;cacciare
115;1899828;allodole
116;1926729;conigli
117;1956148;e
118;1959755;lepri
119;2019780;I
120;2022867;conigli
121;2048886;bisognava
122;2073141;stanarli
123;2098278;col
124;2109303;furetto
125;2170161;La
126;2173689;tana
127;2185155;del
128;2192652;coniglio
129;2218671;aveva
130;2232342;una
131;2241162;buca
132;2253069;d‚Äô
133;2254833;ingresso
134;2288349;ma
135;2292318;il
136;2300697;coniglio
137;2332890;s
138;2338623;approntava
139;2366406;tre
140;2380959;o
141;2386251;quattro
142;2404773;buche
143;2416239;d
144;2418885;uscita
145;2454165;scavandole
146;2486799;a
147;2489004;notevole
148;2511054;distanza
149;2593521;I
150;2595726;cacciatori
151;2631226;una
152;2640267;volta
153;2653056;individuata
154;2682603;la
155;2687013;buca
156;2699361;d‚Äô
157;2702007;entrata
158;2737728;dovevano
159;2759337;scoprire
160;2786238;le
161;2793294;altre
162;2853711;Quando
163;2869146;le
164;2873115;scovavano
165;2911702;si
166;2918979;disponevano
167;2947269;a
168;2948967;guardia
169;2969253;di
170;2973663;queste
171;2988657;uscite
172;3035403;mentre
173;3049515;uno
174;3060099;pigliava
175;3078621;dal
176;3087441;cestino
177;3106845;il
178;3114783;furetto
179;3145710;e
180;3149622;lo
181;3154473;faceva
182;3171672;penetrare
183;3199896;nel
184;3207834;labirinto
185;3229002;conigliesco
186;3315438;Il
187;3321171;furetto
188;3337047;√®
189;3339252;dotato
190;3356451;di
191;3360861;denti
192;3375855;micidiali
193;3415545;nemico
194;3434508;giurato
195;3451266;del
196;3458763;coniglio
197;3517416;Questi
