TOKEN,BEGIN,ORT
0.0,99048.6,Arrabbiato
1.0,144030.6,come
2.0,157128.3,un
3.0,164360.7,orso
4.0,263453.4,Flora
5.0,286650.0,torna
6.0,306230.4,dal
7.0,314080.2,mercato
8.0,379921.5,trascina
9.0,403206.3,le
10.0,412202.7,zampe
11.0,455244.3,e
12.0,458904.6,ha
13.0,464549.4,il
14.0,472619.7,naso
15.0,487349.1,allâ€™ingiÃ¹
16.0,559629.0,Ãˆ
17.0,562451.4,imbronciata
18.0,636230.7,perchÃ©
19.0,650519.1,la
20.0,657663.3,sua
21.0,667012.5,mamma
22.0,698367.6,non
23.0,706746.6,le
25.0,717551.1000000001,comprato
26.0,742423.5,i
27.0,744760.8,lecca-lecca
28.0,774704.7,al
29.0,779688.0,miele
30.0,809720.1,che
31.0,816643.8,desiderava
32.0,845573.4,tanto
33.0,909342.0,Ora
34.0,920058.2999999999,brontola
35.0,941579.1,in
36.0,946518.3,giardino
37.0,1034233.2,Tuttâ€™a
38.0,1045214.1,un
39.0,1052005.5,tratto
40.0,1069425.0,spunta
41.0,1092357.0,Adele
42.0,1135751.4,la
43.0,1144042.2,piccola
44.0,1161064.8,ape
45.0,1208251.8,e
46.0,1211603.4,invita
47.0,1236475.8,lâ€™
48.0,1238857.2,orsetta
49.0,1266243.3,a
50.0,1271314.8,giocare
51.0,1352767.5,Danza
52.0,1378389.6,e
53.0,1386371.7,ronza
54.0,1412434.8,vicino
55.0,1436601.6,allâ€™orecchio
56.0,1468971.0,della
57.0,1478981.7,sua
58.0,1494196.2,amica
59.0,1546322.4,che
60.0,1552628.7,invece
61.0,1593244.8,la
62.0,1600830.0,guarda
63.0,1616617.8,di
64.0,1622835.9,traverso
65.0,1708786.8,Adele
66.0,1725236.1,si
67.0,1733615.1,stufa
68.0,1782345.6,e
69.0,1786887.9,decide
70.0,1808629.2,di
71.0,1812951.0,volare
72.0,1832663.7,via
73.0,1884878.1,Aspettami
74.0,1939077.0,dice
75.0,1952351.1,infine
76.0,1974357.0,Flora
77.0,2016693.0,seguendola
78.0,2053251.9,di
79.0,2061366.3,corsa
80.0,2092897.8,in
81.0,2100438.9,fondo
82.0,2121959.7,al
83.0,2129589.0,giardino
84.0,2216554.2,Ma
85.0,2226917.7,proprio
86.0,2245086.9,lÃ¬
87.0,2289848.4,vede
88.0,2311060.5,lâ€™
89.0,2315073.6,alveare
90.0,2342283.3,di
91.0,2346605.1,Adele
92.0,2384354.7,pieno
93.0,2401597.8,zeppo
94.0,2418311.7,di
95.0,2422280.7,miele
96.0,2487636.9,Flora
97.0,2502366.3,ha
98.0,2508672.6,giÃ 
99.0,2515287.6,lâ€™
100.0,2518859.7,acquolina
101.0,2544217.2,in
102.0,2553742.8,bocca
103.0,2586817.8,e
104.0,2589948.9,senza
105.0,2607103.8,pensarci
106.0,2631711.6,due
107.0,2638326.6,volte
108.0,2669373.0,vi
109.0,2675502.9,tuffa
110.0,2690408.7,dentro
111.0,2703947.4,la
112.0,2711753.1,zampetta
113.0,2791221.3,la
114.0,2798586.0,piccola
115.0,2819577.6,ape
116.0,2828662.2,non
117.0,2839202.1,crede
118.0,2852432.1,alle
119.0,2861119.8,sue
120.0,2870777.7,antenne
121.0,2911217.4,e
122.0,2914304.4,furiosa
123.0,2940632.1,grida
124.0,2977808.4,Non
125.0,2985570.0,hai
126.0,2989715.4,il
127.0,2996109.9,diritto
128.0,3018600.9,di
129.0,3023848.8,prendere
130.0,3041577.0,il
131.0,3045810.6,mio
132.0,3054939.3,miele
133.0,3105918.9,Smettila
134.0,3129997.5,subito
135.0,3149533.8,o
136.0,3153723.3,ti
137.0,3160911.6,pungerÃ²
138.0,3238792.2,Non
139.0,3249993.6,Ã¨
140.0,3256873.2,carino 
141.0,3275395.2,da
142.0,3281569.2,parte
143.0,3297842.1,tua
144.0,3334445.1,piagnucola
145.0,3365535.6,Flora
146.0,3402006.3,mentre
147.0,3419381.7,corre
148.0,3435213.6,via
149.0,3507537.6,Arrivata
150.0,3530954.7,a
151.0,3539466.0,casa
152.0,3582639.9,si
153.0,3591459.9,getta
154.0,3610775.7,tra
155.0,3615759.0,le
156.0,3623167.8,braccia
157.0,3641072.4,della
158.0,3650598.0,mamma
159.0,3682570.5,piangendo
160.0,3706428.6,a
161.0,3710397.6,dirotto
162.0,3783515.4,Mamma
163.0,3798024.3,orsa
164.0,3813944.4,si
165.0,3822411.6,china
166.0,3833745.3,su
167.0,3843050.4,di
168.0,3848077.8,lei
169.0,3860117.1,per
170.0,3870524.7,consolarla
171.0,3944480.4,Cosa
172.0,3957093.0,succede
173.0,3986375.4,piccola
174.0,4036428.9,Ma
175.0,4041103.5,Flora
176.0,4056626.7,non
177.0,4065314.4,si
178.0,4074884.1,calma
179.0,4138520.4,Adele
180.0,4175211.6,Non
181.0,4181738.4,ha
182.0,4185045.9,voluto
183.0,4202289.0,darmi
184.0,4214504.699999999,un
185.0,4221604.8,po
186.0,4228660.8,di
187.0,4232629.8,miele
188.0,4272716.7,si
189.0,4280169.6,lamenta
190.0,4331193.3,Oh
191.0,4341115.8,mi
192.0,4348215.9,dispiace
