TOKEN;BEGIN;ORT
1;89082;Le
2;99225;due
3;112896;Befane
4;224028;La
5;232848;Befana
6;273420;volava
7;;a
8;299880;cavallo
9;325458;della
10;336042;scopa
11;391167;Vola
12;411453;e
13;418509;vola
14;452025;a
15;459081;un
16;466137;certo
17;482895;punto
18;505827;vide
19;519057;una
20;535815;vecchina
21;575064;proprio
22;597996;uguale
23;619605;a
24;623574;lei
25;660177;a
26;666351;cavallo
27;694134;di
28;697662;una
29;704277;scopa
30;789390;chi
31;792477;sei
32;839223;chiese
33;856422;la
34;862155;Befana
35;910224;e
36;915957;quella
37;929187;rispose
38;967995;sono
39;982989;la
40;988722;Befana
41;1046934;Eh
42;1055313;no
43;1080009;La
44;1083537;Befana
45;1099413;sono
46;1109115;io
47;1149246;disse
48;1167768;la
49;1173060;Befana
50;1240533;Non
51;1247589;vedi
52;1263024;che
53;1266552;ho
54;1270080;la
55;1277136;scopa
56;1313739;il
57;1322118;naso
58;1337994;lungo
59;1359162;eccetera
60;1411200;anche
61;1425753;io
62;1438542;ce
63;1444275;li
64;1449567;ho
65;1477350;disse
66;1496754;l’
67;1498518;altra
68;1549233;non
69;1555848;vedi
70;1569078;che
71;1576134;volo
72;1617147;volo
73;1632582;anche
74;1639638;io
75;1681533;disse
76;1698732;la
77;1703583;seconda
78;1773702;Non
79;1782081;vedi
80;1796193;che
81;1799280;ho
82;1802367;il
83;1812069;sacco
84;1829268;pieno
85;1842498;di
86;1849113;doni
87;1897182;anche
88;1906884;io
89;1922319;ce
90;1929816;li
91;1935549;ho
92;1992879;La
93;2000376;Befana
94;2017575;era
95;2025072;confusa
96;2077110;perché
97;2089017;era
98;2096514;sicura
99;2119887;di
100;2125179;essere
101;2142378;lei
102;2153844;la
103;2159136;Befana
104;2178981;ma
105;2204118;anche
106;2222640;l’
107;2224404;altra
108;2238075;sembrava
109;2257920;che
110;2262771;lo
111;2270268;fosse
112;2326275;Forse
113;2343915;c'
114;2346561;erano
115;2358027;due
116;2365965;Befane
117;2384046;nel
118;2394189;mondo
119;2414034;e
120;2425941;lei
121;2437407;non
122;2443581;lo
123;2448432;aveva
124;2462544;mai
125;2469600;saputo
126;2527371;Ma
127;2532663;se
128;2544129;era
129;2549862;così
130;2588670;non
131;2595726;ci
132;2600136;sarebbe
133;2619981;stata
134;2637621;troppa
135;2655261;confusione
136;2686131;per
137;2690982;i
138;2695392;doni
139;2707299;ai
140;2724498;bambini
141;2789766;senti
142;2833866;disse
143;2850624;allora
144;2899134;facciamo
145;2915451;una
146;2925594;gara
147;2970576;chi
148;2980719;vince
149;3002328;sarà
150;3015117;la
151;3021291;Befana
152;3043341;l’
153;3069360;altra
154;3088764;andrà
155;3104199;sulla
156;3119193;terra
157;3130218;a
158;3153591;fare
159;3163293;la
160;3169026;vecchina
161;3225033;D'
162;3228120;accordo
163;3271338;rispose
164;3288096;quella
165;3320289;che
166;3331755;gara
167;3341898;facciamo
168;3402756;un
169;3415545;volo
170;3431421;da
171;3437595;qui
172;3449943;alla
173;3460968;Luna
174;3477726;e
175;3493602;ritorno
176;3550050;Pronta
177;3606498;Vai
178;3658536;Le
179;3665592;due
180;3671325;vecchine
181;3690288;partirono
182;3733947;attaccate
183;3771432;alle
184;3779370;loro
185;3791277;scope
186;3830526;con
187;3838905;i
188;3843756;bianchi
189;3865365;capelli
190;3897117;agitati
191;3924459;dal
192;3936807;vento
193;3994578;vola
194;4013982;e
195;4020156;vola
196;4039560;erano
197;4073076;velocissime
198;4158630;Arrivarono
199;4185972;insieme
200;4210227;alla
201;4219047;Luna
202;4256973;le
203;4266234;girarono
204;4285197;attorno
205;4339440;cominciarono
206;4376043;a
207;4380012;tornare
208;4408236;giù
209;4446603;sempre
210;4469094;vicinissime
211;4505256;l’
212;4507902;una
213;4522014;all'
214;4530393;altra
215;4574052;punta
216;4589928;di
217;4595661;naso
218;4615506;con
219;4624326;punta
220;4642407;di
221;4648581;naso
222;4686066;punta
223;4701942;di
224;4707234;manico
225;4736340;con
226;4751334;punta
227;4766769;di
228;4772061;manico
229;4846590;A
230;4854087;un
231;4856733;certo
232;4873050;punto
233;4913622;la
234;4922001;Befana
235;4962573;guardando
236;4986387;la
237;4991238;rivale
238;5025195;vide
239;5041953;una
240;5053860;cosa
241;5071059;strana
242;5139414;sotto
243;5153085;i
244;5159700;capelli
245;5181309;aveva
246;5195421;dei
247;5205564;bulloni
248;5256720;delle
249;5273478;giunture
250;5312286;delle
251;5327280;cerniere
252;5350653;di
253;5356386;metallo
254;5413716;Allora
255;5432238;capì
256;5483394;quella
257;5497506;era
258;5502357;una
259;5509413;Befana-robot
260;5573799;inventata
261;5609520;da
262;5615253;qualche
263;5630247;malandrino
264;5674347;per
265;5682726;qualche
266;5695515;scopo
267;5718447;dannoso
268;5790330;Allora
269;5814585;gridò
270;5856480;il
271;5863536;traguardo
272;5882940;è
273;5885586;laggiù
274;5932773;la
275;5939388;punta
276;5952618;di
277;5958351;quella
278;5968494;montagna
279;5989221;rossastra
280;6020973;la
281;6026706;vedi
282;6084036;E
283;6092856;puntò
284;6113142;verso
285;6125931;il
286;6131664;Monte
287;6150627;Calamita
288;6192522;tutto
289;6205752;magnetico
290;6269697;e
291;6274107;quando
292;6292188;fu
293;6298803;a
294;6301890;mezzo
295;6318648;chilometro
296;6355692;rallentò
297;6418314;mentre
298;6434631;l’
299;6437718;altra
300;6451830;Befana
301;6472998;strillava
302;6519744;arrivo
303;6536061;prima
304;6554583;Arrivo
305;6570459;prima
306;6618087;E
307;6622056;infatti
308;6648075;arrivò
309;6671448;prima
310;6715989;prima
311;6730101;ancora
312;6751710;di
313;6754797;quando
314;6772878;pensava
315;6825357;perché
316;6836382;il
317;6842556;Monte
318;6858432;Calamita
319;6900327;la
320;6905619;tirò
321;6918849;verso
322;6933402;di
323;6936489;sé
324;6948396;a
325;6952365;una
326;6962949;tale
327;6978825;velocità
328;7025571;che
329;7034832;quando
330;7051590;ci
331;7056441;cadde
332;7069671;sopra
333;7098777;si
334;7107156;sparpagliò
335;7141554;in
336;7146846;mille
337;7168896;pezzi
338;7186536;di
339;7190946;metallo
340;7243425;che
341;7250481;rimasero
342;7276941;appiccicati
343;7308693;per
344;7317072;sempre
345;7338681;lassù
346;7403949;E
347;7409241;la
348;7414974;Befana
349;7430409;in
350;7437906;carne
351;7459956;ed
352;7463484;ossa
353;7504056;se
354;7511994;ne
355;7517286;tornò
356;7537572;a
357;7541541;volare
358;7556976;per
359;7561827;il
360;7571529;mondo
361;7605486;con
362;7613865;il
363;7623126;suo
364;7628859;sacco
365;7649145;di
366;7655319;doni
