TOKEN,BEGIN,ORT
0,94815.0,Il
1,100107.0,paese
2,123039.0,senza
3,143325.0,punta
4,226233.0,Giovannino
5,246519.0,Perdigiorno
6,287973.0,era
7,294588.0,un
8,299439.0,grande
9,313992.0,viaggiatore
10,378819.0,Viaggia
11,396459.0,e
12,398223.0,viaggia
13,429975.0,una
14,439236.0,volta
15,452907.0,capitò
16,470670.0,in
17,473193.0,un
18,480690.0,paese
19,511560.0,dove
20,519498.0,gli
21,528318.0,spigoli
22,550368.0,delle
23,560511.0,case
24,579915.0,erano
25,593586.0,rotondi
26,631071.0,e
27,632394.0,i
28,637245.0,tetti
29,651357.0,non
30,661500.0,finivano
31,681728.0,a
32,690067.0,punta
33,720245.0,ma
34,727209.0,con
35,736029.0,una
36,744408.0,gobba
37,758961.0,dolcissima
38,867888.0,Lungo
39,882882.0,la
40,888615.0,strada
41,932318.0,correva
42,959175.0,una
43,966231.0,siepe
44,982989.0,di
45,990045.0,rose
46,1029735.0,e
47,1035468.0,a
48,1040760.0,Giovannino
49,1065015.0,venne
50,1078245.0,lì
51,1087506.0,per
52,1095003.0,lì
53,1111320.0,l
54,1114848.0,idea
55,1134693.0,di
56,1136457.0,infilarsene
57,1175706.0,una
58,1189818.0,all'occhiello
59,1271751.0,Mentre
60,1286838.0,coglieva
61,1305801.0,la
62,1311093.0,rosa
63,1349901.0,faceva
64,1366218.0,molta
65,1379448.0,attenzione
66,1417374.0,a
67,1420461.0,non
68,1431552.0,pungersi
69,1459269.0,con
70,1465884.0,le
71,1472499.0,spine
72,1523655.0,ma
73,1529829.0,si
74,1536444.0,accorse
75,1558053.0,subito
76,1592010.0,che
77,1597743.0,le
78,1602153.0,spine
79,1620675.0,non
80,1629009.0,pungevano
81,1657719.0,mica
82,1685072.0,non
83,1689400.0,avevano
84,1709757.0,punta
85,1748124.0,e
86,1749888.0,parevano
87,1768851.0,di
88,1773702.0,gomma
89,1807659.0,e
90,1815156.0,facevano
91,1838088.0,il
92,1842498.0,solletico
93,1871163.0,alla
94,1880424.0,mano
95,1943487.0,Guarda
96,1962450.0,guarda
97,2000817.0,disse
98,2020221.0,Giovannino
99,2042712.0,ad
100,2048886.0,alta
101,2062998.0,voce
102,2123415.0,Di
103,2129148.0,dietro
104,2141937.0,la
105,2146788.0,siepe
106,2161782.0,si
107,2167515.0,affacciò
108,2187360.0,una
109,2193534.0,guardia
110,2208528.0,municipale
111,2247777.0,sorridendo
112,2310840.0,Non
113,2315691.0,non
114,2317455.0,lo
115,2320542.0,sapeva
116,2340828.0,che
117,2344356.0,è
118,2346561.0,vietato
119,2365965.0,cogliere
120,2381400.0,le
121,2387133.0,rose
122,2432556.0,Mi
123,2437407.0,dispiace
124,2463867.0,non
125,2470482.0,ci
126,2472687.0,ho
127,2477538.0,pensato
128,2537955.0,Allora
129,2554713.0,pagherà
130,2569266.0,soltanto
131,2594403.0,mezza
132,2609397.0,multa
133,2651733.0,disse
134,2667609.0,la
135,2674224.0,guardia
136,2715678.0,che
137,2720529.0,con
138,2729349.0,quel
139,2737287.0,sorriso
140,2772126.0,avrebbe
141,2786679.0,potuto
142,2801673.0,benissimo
143,2837394.0,essere
144,2853270.0,l’
145,2856798.0,omino
146,2870028.0,di
147,2876202.0,burro
148,2894283.0,che
149,2903985.0,portava
150,2923389.0,Pinocchio
151,2953818.0,al
152,2959992.0,Paese
153,2977191.0,dei
154,2983365.0,Balocchi
155,3045096.0,Giovannino
156,3074943.0,osservò
157,3094497.0,che
158,3101553.0,la
159,3106845.0,guardia
160,3144330.0,scriveva
161,3169467.0,la
162,3173436.0,multa
163,3203693.0,con
164,3210480.0,una
165,3218418.0,matita
166,3237381.0,senza
167,3254580.0,punta
168,3287655.0,e
169,3288978.0,gli
170,3298680.0,scappò
171,3314997.0,di
172,3319120.0,ridere
173,3434296.0,Scusi
174,3473757.0,mi
175,3478167.0,fa
176,3484782.0,vedere
177,3498012.0,la
178,3502863.0,sua
179,3511242.0,sciabola
180,3565926.0,Volentieri
181,3623256.0,disse
182,3638691.0,la
183,3643542.0,guardia
184,3709251.0,E
185,3714102.0,naturalmente
186,3746295.0,nemmeno
187,3761289.0,la
188,3766140.0,sciabola
189,3791277.0,aveva
190,3802743.0,la
191,3808917.0,punta
192,3873369.0,Ma
193,3878595.0,che
194,3885210.0,paese
195,3905937.0,è
196,3907260.0,questo
197,3950037.0,domandò
198,3973851.0,Giovannino
199,4030299.0,Il
200,4038237.0,Paese
201,4059405.0,senza
202,4079250.0,punta
203,4119381.0,rispose
204,4144518.0,la
205,4149810.0,guardia
206,4203171.0,con
207,4213755.0,tanta
208,4229631.0,gentilezza
209,4276778.0,che
210,4282110.0,le
211,4286520.0,sue
212,4294017.0,parole
213,4312098.0,si
214,4319154.0,dovrebbero
215,4340322.0,scrivere
216,4363695.0,tutte
217,4380453.0,con
218,4387950.0,la
219,4394565.0,lettera
220,4415733.0,maiuscola
221,4477914.0,E
222,4484088.0,per
223,4488939.0,i
224,4494231.0,chiodi
225,4505697.0,come
226,4518045.0,fate
227,4561263.0,li
228,4566784.0,abbiamo
229,4578903.0,aboliti
230,4597866.0,da
231,4602518.0,un
232,4605363.0,pezzo
233,4626090.0,facciamo
234,4643289.0,tutto
235,4656078.0,con
236,4661811.0,la
237,4667544.0,colla
238,4714731.0,E
239,4721346.0,adesso
240,4735899.0,per
241,4746042.0,favore
242,4761036.0,mi
243,4767651.0,dia
244,4774266.0,due
245,4780881.0,schiaffi
246,4842621.0,Giovannino
247,4863789.0,spalancò
248,4886721.0,la
249,4892895.0,bocca
250,4923346.0,come
251,4931262.0,se
252,4939641.0,dovesse
253,4956399.0,inghiottire
254,4985505.0,una
255,4992561.0,torta
256,5005791.0,intera
257,5071711.0,Per
258,5077122.0,carità
259,5105898.0,non
260,5110749.0,voglio
261,5120892.0,mica
262,5131035.0,finire
263,5145032.0,in
264,5151321.0,prigione
265,5171166.0,per
266,5178222.0,oltraggio
267,5195469.0,a
268,5199831.0,pubblico
269,5217030.0,ufficiale
270,5363335.0,i
271,5266130.0,due
272,5271714.0,schiaffi
273,5292882.0,semmai
274,5306994.0,dovrei
275,5321988.0,riceverli
276,5351976.0,non
277,5363001.0,darli
278,5410188.0,Ma
279,5415921.0,qui
280,5423418.0,usa
281,5433561.0,così
282,5461344.0,spiegò
283,5479866.0,gentilmente
284,5508090.0,la
285,5513382.0,guardia
286,5554395.0,per
287,5560128.0,una
288,5568507.0,multa
289,5580855.0,intera
290,5595408.0,quattro
291,5610843.0,schiaffi
292,5647887.0,per
293,5654061.0,mezza
294,5668614.0,multa
295,5684049.0,due
296,5690664.0,soli
297,5731236.0,Alla
298,5741379.0,guardia
299,5776218.0,Alla
300,5785479.0,guardia
301,5842368.0,Ma
302,5846822.0,Ã¨
303,5850570.0,ingiusto
304,5873987.0,Ã¨
305,5877515.0,terribile
307,5933478.0,Certo
308,5950016.0,che
309,5952221.0,Ã¨
310,5953852.0,ingiusto
311,5979210.0,certo
312,5995086.0,che
313,5998085.0,Ã¨
314,6005229.0,terribile
316,6044654.0,disse
317,6057752.0,la
318,6063000.0,guardia
319,6130958.0,La
321,6137264.0,cosa
322,6147892.0,Ã¨
323,6154331.0,tanto
324,6171177.0,odiosa
326,6216468.0,che
327,6220966.0,la
328,6227008.0,gente
329,6245971.0,per
330,6251660.0,non
331,6256422.0,essere
332,6271990.0,costretta
333,6298185.0,a
334,6299729.0,schiaffeggiare
335,6330599.0,dei
336,6337699.0,poveretti
337,6354016.0,senza
338,6373552.0,colpa
339,6410905.0,si
340,6416329.0,guarda
341,6430309.0,bene
342,6442172.0,dal
343,6448390.0,fare
344,6460738.0,niente
345,6478157.0,contro
346,6493460.0,la
347,6495312.0,legge
349,6547482.0,Su
350,6556082.0,mi
351,6562212.0,dia
352,6569444.0,quei
353,6576809.0,due
354,6582807.0,schiaffi
356,6622320.0,e
357,6625187.0,un
358,6630831.0,altra
359,6641063.0,volta
360,6653587.0,stia
361,6665406.0,piÃ¹
362,6672815.0,attento
363,6731600.0,Ma
364,6734378.0,io
365,6736892.0,non
367,6742052.0,le
368,6749901.0,voglio
369,6759383.0,dare
370,6767145.0,nemmeno
371,6785358.0,un
372,6788842.0,buffetto
373,6807628.0,sulla
374,6819227.0,guancia
375,6838410.0,le
376,6842644.0,farÃ²
377,6852346.0,una
378,6861607.0,carezza
379,6884803.0,invece
381,6941384.0,Quand'
382,6950115.0,Ã¨
382,6956245.0,cosÃ¬
384,6985836.0,concluse
385,7008283.0,la
386,7014237.0,guardia
388,7051590.0,dovrÃ²
389,7067466.0,riaccompagnarla
390,7107597.0,alla
391,7117740.0,frontiera
393,7193327.0,E
394,7199766.0,Giovannino
396,7233282.0,umiliatissimo
398,7300314.0,fu
399,7306488.0,costretto
400,7331404.0,ad
401,7337490.0,abbandonare
402,7377180.0,il
403,7387411.0,Paese
404,7405713.0,senza
405,7424235.0,punta
406,7480903.0,Ma
407,7485798.0,ancora
408,7501806.0,oggi
409,7513317.0,sogna
410,7530957.0,di
411,7538013.0,poterci
412,7558299.0,tornare
414,7606279.0,per
415,7612762.0,viverci
416,7636973.0,nel
417,7644646.0,piÃ¹
418,7652805.0,gentile
419,7675164.0,dei
420,7682661.0,modi
422,7716353.0,in
423,7721292.0,una
424,7728966.0,bella
425,7740873.0,casetta
426,7768215.0,col
427,7781489.0,tetto
428,7802083.0,senza
429,7820253.0,punta
