TOKEN;BEGIN;ORT
1;93933;Giacomo
2;118629;di
3;124803;cristallo
4;225351;Una
5;237258;volta
6;272979;in
7;276507;una
8;287973;città
9;299880;lontana
10;354564;venne
11;366912;al
12;375291;mondo
13;388842;un
14;394254;bambino
15;413217;trasparente
16;498771;Attraverso
17;522585;le
18;526995;sue
19;537124;membra
20;569772;si
21;579474;poteva
22;595350;vedere
23;626661;come
24;639450;attraverso
25;668556;l
26;671643;aria
27;688842;e
28;691488;l
29;698544;acqua
30;774837;Era
31;782334;di
32;787185;carne
33;810999;e
34;814086;d
35;817614;ossa
36;850248;e
37;857745;pareva
38;872298;di
39;879772;vetro
40;921690;e
41;923013;se
42;932715;cadeva
43;946827;non
44;953883;andava
45;977211;in
46;983871;pezzi
47;1031499;ma
48;1036350;al
49;1042524;più
50;1053549;si
51;1063692;faceva
52;1080009;sulla
53;1096767;fronte
54;1135575;un
55;1143072;bernoccolo
56;1176588;trasparente
57;1280205;Si
58;1287376;vedeva
59;1304919;il
60;1311093;suo
61;1323000;cuore
62;1341522;battere
63;1397881;si
64;1405467;vedevano
65;1425312;i
66;1432368;suoi
67;1442952;pensieri
68;1471617;guizzare
69;1511831;come
70;1524978;pesci
71;1542618;colorati
72;1582749;nella
73;1594656;loro
74;1606122;vasca
75;1704465;Una
76;1715931;volta
77;1737099;per
78;1747242;sbaglio
79;1790019;il
80;1795311;bambino
81;1812951;disse
82;1828386;una
83;1835001;bugia
84;1887921;e
85;1889244;subito
86;1908207;la
87;1915263;gente
88;1944810;poté
89;1956717;vedere
90;1970388;come
91;1982295;una
92;1992438;palla
93;2006550;di
94;2015370;fuoco
95;2047563;dietro
96;2067849;la
97;2072700;sua
98;2084607;fronte
99;2145906;ridisse
100;2167515;la
101;2172807;verità
102;2218671;e
103;2219994;la
104;2226609;palla
105;2237193;di
106;2244690;fuoco
107;2256597;si
108;2263653;dissolse
109;2341269;Per
110;2348766;tutto
111;2361996;il
112;2366847;resto
113;2382723;della
114;2392425;sua
115;2401686;vita
116;2430792;non
117;2440935;disse
118;2456811;più
119;2465631;bugie
120;2554713;un
121;2561442;altra
122;2574999;volta
123;2615130;un
124;2622186;amico
125;2636739;gli
126;2642031;confidò
127;2665845;un
128;2671137;segreto
129;2729349;e
130;2730672;subito
131;2769105;tutti
132;2781828;videro
133;2797263;come
134;2808729;una
135;2819754;palla
136;2833425;nera
137;2848419;che
138;2855916;rotolava
139;2878407;senza
140;2894724;pace
141;2907954;nel
142;2918538;suo
143;2925153;petto
144;2977191;e
145;2978514;il
146;2987334;segreto
147;3010707;non
148;3022173;fu
149;3027465;più
150;3036726;tale
151;3114783;Il
152;3119634;bambino
153;3140361;crebbe
154;3184461;diventò
155;3204747;un
156;3211362;giovanotto
157;3262959;poi
158;3274425;un
159;3280158;uomo
160;3332637;e
161;3334842;ognuno
162;3352041;poteva
163;3367035;leggere
164;3385557;nei
165;3394818;suoi
166;3402315;pensieri
167;3442887;e
168;3445974;indovinare
169;3482047;le
170;3487428;sue
171;3497130;risposte
172;3535056;quando
173;3543876;gli
174;3551373;faceva
175;3568554;una
176;3575628;domanda
177;3624138;prima
178;3643542;che
179;3649716;aprisse
180;3671325;bocca
181;3747618;Egli
182;3760848;si
183;3766140;chiamava
184;3785103;Giacomo
185;3829644;ma
186;3833740;la
187;3839787;gente
188;3853017;lo
189;3858309;chiamava
190;3890502;Giacomo
191;3913875;di
192;3919608;cristallo
193;3971646;e
194;3972969;gli
195;3980025;voleva
196;3995901;bene
197;4009572;per
198;4014864;la
199;4021038;sua
200;4030740;lealtà
201;4079691;e
202;4081014;vicino
203;4099769;a
204;4101300;lui
205;4111443;tutti
206;4129524;diventavano
207;4159512;gentili
208;4248153;Purtroppo
209;4281228;in
210;4288725;quel
211;4298427;paese
212;4348273;salì
213;4364136;al
214;4371192;governo
215;4394565;un
216;4402062;feroce
217;4421466;dittatore
218;4480119;e
219;4481883;cominciò
220;4507461;un
221;4513194;periodo
222;4533921;di
223;4538772;prepotenze
224;4593897;di
225;4606245;ingiustizie
226;4649904;e
227;4651227;di
228;4656519;miseria
229;4679892;per
230;4685625;il
231;4693563;popolo
232;4778526;Chi
233;4783527;osava
234;4798962;protestare
235;4843944;spariva
236;4867758;senza
237;4883634;lasciar
238;4901274;traccia
239;4948902;Chi
240;4959486;si
241;4963455;ribellava
242;5007555;era
243;5016375;fucilato
244;5094873;I
245;5098842;poveri
246;5116482;erano
247;5127948;perseguitati
248;5183955;umiliati
249;5231583;e
250;5232906;offesi
251;5259145;in
252;5267304;cento
253;5287149;modi
254;5348889;La
255;5356827;gente
256;5374908;taceva
257;5398338;e
258;5401809;subiva
259;5437971;per
260;5447232;timore
261;5467077;delle
262;5476779;conseguenze
263;5568066;Ma
264;5574681;Giacomo
265;5590557;non
266;5596290;poteva
267;5615253;tacere
268;5673906;Anche
269;5681844;se
270;5689341;non
271;5695956;apriva
272;5710950;bocca
273;5744466;i
274;5748435;suoi
275;5755932;pensieri
276;5777100;parlavano
277;5800914;per
278;5807529;lui
279;5869710;egli
280;5879412;era
281;5887791;trasparente
282;5936014;e
283;5942034;tutti
284;5955264;leggevano
285;5984370;dietro
286;6002010;la
287;6005097;sua
288;6014799;fronte
289;6049638;pensieri
290;6072129;di
291;6076980;sdegno
292;6099471;e
293;6102117;di
294;6106968;condanna
295;6134751;per
296;6144012;le
297;6147099;ingiustizie
298;6179292;e
299;6180615;le
300;6186348;violenze
301;6209721;del
302;6217218;tiranno
303;6286896;Di
304;6291747;nascosto
305;6319971;poi
306;6349077;la
307;6357897;gente
308;6372891;si
309;6379506;ripeteva
310;6399792;i
311;6405084;pensieri
312;6423165;di
313;6433749;Giacomo
314;6466824;e
315;6472998;prendeva
316;6493725;speranza
317;6577515;Il
318;6581484;tiranno
319;6600006;fece
320;6609708;arrestare
321;6633522;Giacomo
322;6650280;di
323;6654690;cristallo
324;6698790;e
325;6700113;ordinò
326;6715989;di
327;6721281;gettarlo
328;6760530;nella
329;6771555;più
330;6779934;buia
331;6793605;prigione
332;6859314;Ma
333;6864160;allora
334;6887538;successe
335;6912234;una
336;6922377;cosa
337;6938253;straordinaria
338;7026012;I
339;7028217;muri
340;7039242;della
341;7052913;cella
342;7068789;in
343;7075845;cui
344;7084224;Giacomo
345;7103628;era
346;7109361;stato
347;7123032;rinchiuso
348;7165368;diventarono
349;7194033;trasparenti
350;7265475;e
351;7267239;dopo
352;7280028;di
353;7287084;loro
354;7297668;anche
355;7306047;i
356;7309575;muri
357;7321482;del
358;7329861;carcere
359;7375284;e
360;7377930;infine
361;7418943;anche
362;7430409;le
363;7434819;mura
364;7445403;esterne
365;7527429;La
366;7532721;gente
367;7547274;che
368;7553007;passava
369;7568442;accanto
370;7587405;alla
371;7597548;prigione
372;7634151;vedeva
373;7650468;Giacomo
374;7669872;seduto
375;7691040;sul
376;7703388;suo
377;7712649;sgabello
378;7758954;come
379;7769097;se
380;7777917;anche
381;7790265;la
382;7796880;prigione
383;7825986;fosse
384;7839657;di
385;7844949;cristallo
386;7903161;e
387;7909776;continuava
388;;a
389;7940646;leggere
390;7965342;i
391;7970193;suoi
392;7978572;pensieri
393;8061921;Di
394;8069418;notte
395;8083530;la
396;8089263;prigione
397;8107344;spandeva
398;8136009;intorno
399;8161146;una
400;8173494;grande
401;8192457;luce
402;8235675;e
403;8240526;il
404;8251110;tiranno
405;8274042;nel
406;8285067;suo
407;8292564;palazzo
408;8341074;faceva
409;8358714;tirare
410;8376795;tutte
411;8390466;le
412;8397522;tende
413;8416044;per
414;8421777;non
415;8431038;vederla
416;8472051;ma
417;8477784;non
418;8483958;riusciva
419;8507331;ugualmente
420;8539965;a
421;8543052;dormire
422;8624196;Giacomo
423;8648892;di
424;8654625;cristallo
425;8703576;anche
426;8718808;in
427;8726508;catene
428;8767080;era
429;8774577;più
430;8784720;forte
431;8804124;di
432;8811180;lui
433;8843814;perché
434;8855721;la
435;8861013;verità
436;8876007;è
437;8879976;più
438;8891442;forte
439;8907318;di
440;8911728;qualsiasi
441;8944362;cosa
442;8988462;più
443;8997282;luminosa
444;9022419;del
445;9032562;giorno
446;9068283;più
447;9075339;terribile
448;9110178;di
449;9114588;un
450;9121203;uragano
