TOKEN;BEGIN;ORT;;
0;89082;L;;
1;92169;Apollonia;;
2;123921;della;;
3;134505;marmellata;;
4;223146;A;;
5;224910;Sant'Antonio;;
6;239022;Antonio;;
7;275184;sul;;
8;287973;Lago;;
9;297234;Maggiore;;
10;334278;viveva;;
11;354564;una;;
12;365148;donina;;
13;390726;tanto;;
14;408366;brava;;
15;423360;a;;
16;433062;fare;;
17;452025;la;;
18;457317;marmellata;;
19;505112;cos√¨;;
20;523026;brava;;
21;567694;che;;
22;572418;i;;
23;577710;suoi;;
24;588294;servigi;;
25;632835;erano;;
26;647829;richiesti;;
27;676053;in;;
28;680022;Valcuvia;;
29;725445;in;;
30;732501;Valtravaglia;;
31;779247;in;;
32;786744;Val;;
33;793359;Dumentina;;
34;837900;e;;
35;841476;in;;
36;848925;Val;;
37;859950;Poverina;;
38;938448;La;;
39;946827;gente;;
40;972846;quand'era;;
41;986958;era;;
42;994896;la;;
43;1001070;stagione;;
44;1045611;arrivava;;
45;1065456;da;;
46;1071189;tutte;;
47;1085742;le;;
48;1090593;valli;;
49;1130931;si;;
50;1138662;sedeva;;
51;1155420;sul;;
52;1163799;muricciolo;;
53;;a;;
54;1202607;guardare;;
55;1222011;il;;
56;1227744;panorama;;
57;1250676;del;;
58;1256409;lago;;
59;1293453;coglieva;;
60;1318590;qualche;;
61;1333143;lampone;;
62;1355193;dai;;
63;1363131;cespugli;;
64;1408554;poi;;
65;1417374;chiamava;;
66;1438542;la;;
67;1443393;donina;;
68;1464120;della;;
69;1473822;marmellata;;
70;1567755;Apollonia;;
71;1620675;Che;;
72;1628613;c';;
73;1635669;è;;
74;1685061;Me;;
75;1689030;la;;
76;1694322;fareste;;
77;1716813;una;;
78;1722105;marmellata;;
79;1749006;di;;
80;1752534;mirtilli;;
81;1807659;Eccomi;;
82;1868076;Mi;;
83;1871163;aiutereste;;
84;1902474;a;;
85;1905120;fare;;
86;1915263;una;;
87;1921878;buona;;
88;1934667;marmellata;;
89;1961568;di;;
90;1967742;prugne;;
91;2006550;Subito;;
92;2068290;L;;
93;2070936;Apollonia;;
94;2106216;quella;;
95;2118123;donina;;
96;2160900;aveva;;
97;2172366;proprio;;
98;2192211;le;;
99;2196621;mani;;
100;2208969;d;;
101;2211174;oro;;
102;2236752;e;;
103;2241395;faceva;;
104;2258802;le;;
105;2263653;migliori;;
106;2287026;marmellate;;
107;2318778;del;;
108;2324952;Varesotto;;
109;2355822;e;;
110;2358909;del;;
111;2365524;Canton;;
112;2385810;Ticino;;
113;2459898;Una;;
114;2470482;volta;;
115;1500994;capit√≤;;
116;2515905;da;;
117;2521197;lei;;
118;2530017;una;;
119;2538396;donetta;;
120;2561328;di;;
121;2564613;Arcumeggia;;
122;2615130;cos√¨;;
123;2633211;povera;;
124;2653938;che;;
125;2660112;per;;
126;2668050;fare;;
127;2679075;la;;
128;2684367;marmellata;;
129;2727144;non;;
130;2734076;aveva;;
131;2748753;neanche;;
132;2770362;un;;
133;2776977;cartoccio;;
134;2804760;di;;
135;2808729;ghiande;;
136;2826810;di;;
137;2832543;pesca;;
138;2884140;e;;
139;2888109;allora;;
140;2911482;strada;;
141;2928681;facendo;;
142;2971854;si;;
143;2978073;era;;
144;2988216;riempita;;
145;3017763;il;;
146;3023496;grembiule;;
147;3056571;di;;
148;3065391;ricci;;
149;3081267;di;;
150;3085677;castagne;;
151;3178287;Apollonia;;
152;3214449;me;;
153;3218947;la;;
154;3222828;fareste;;
155;3245760;la;;
156;3249729;marmellata;;
157;3303531;Coi;;
158;3314556;ricci;;
159;3354687;Non;;
160;3361743;ho;;
161;3365712;trovato;;
162;3386880;altro;;
163;3435831;Pazienza;;
164;3462732;prover√≤;;
165;3520944;E;;
166;3522267;l;;
167;3525795;Apollonia;;
168;3551373;tanto;;
169;3572982;fece;;
170;3602970;che;;
171;3611349;dai;;
172;3623697;ricci;;
173;3637809;delle;;
174;3647511;castagne;;
175;3690759;cav√≤;;
176;3703077;la;;
177;3711015;meraviglia;;
178;3739680;delle;;
179;3749382;marmellate;;
180;3834054;Un;;
181;3838181;altra;;
182;3851253;volta;;
183;3883494;quella;;
184;3893589;donina;;
185;3912111;di;;
186;3916080;Arcumeggia;;
187;3954888;non;;
188;3961944;trov√≤;;
189;3974733;nemeno;;
190;3998106;i;;
191;4000434;ricci;;
192;4014864;delle;;
193;4024566;castagne;;
194;4069989;perch√©;;
195;4080132;le;;
196;4088070;foglie;;
197;4100859;secche;;
198;4122027;cadendo;;
199;4157377;li;;
200;4161717;avevano;;
201;4180239;ricoperti;;
202;4241097;perci√≤;;
203;4259619;arriv√≤;;
