TOKEN;BEGIN;ORT;;BEGIN;ORT;
0;90405;Il;;90405;Il;VERO
1;97902;Re;;97902;Re;VERO
2;105399;Mida;;105399;Mida;VERO
3;203301;Il;;200655;Il;FALSO
4;210798;re;;210798;re;VERO
5;217854;Mida;;217854;Mida;VERO
6;262395;era;;258867;era;FALSO
7;272538;un;;272538;un;VERO
8;279153;grande;;279153;grande;VERO
9;295470;spendaccione;;295470;spendaccione;VERO
10;371277;tutte;;337365;tutte;FALSO
11;381465;le;;381465;le;VERO
12;387198;sere;;387198;sere;VERO
13;403074;dava;;403074;dava;VERO
14;414981;feste;;414981;feste;VERO
15;440559;e;;440559;e;VERO
16;445410;balli;;445410;balli;VERO
17;474957;finchè;;474957;finché;VERO
18;487746;si;;487746;si;VERO
19;495684;trov√≤;;495684;trov√≤;VERO
20;510678;senza;;510678;senza;VERO
21;525231;un;;525231;un;VERO
22;531405;centesimo;;531405;centesimo;VERO
23;622692;And√≤;;608139;And√≤;FALSO
24;637245;dal;;637245;dal;VERO
25;645624;mago;;645624;mago;VERO
26;657531;Apollo;;657531;Apollo;VERO
27;698544;gli;;698544;gli;VERO
28;706923;raccont√≤;;706923;raccont√≤;VERO
29;730737;i;;730737;i;VERO
30;735147;suoi;;735147;suoi;VERO
31;743526;guai;;743526;guai;VERO
32;793359;e;;787626;e;FALSO
33;794682;Apollo;;794682;Apollo;VERO
34;815850;gli;;815850;gli;VERO
35;826434;fece;;826434;fece;VERO
36;842751;questo;;842751;questo;VERO
37;858627;incantesimo;;858627;incantesimo;VERO
38;948934;Tutto;;903168;Tutto;FALSO
39;961380;quello;;961380;quello;VERO
40;980784;che;;980784;che;VERO
41;985194;le;;985194;le;VERO
42;990486;tue;;990486;tue;VERO
43;997542;mani;;997542;mani;VERO
44;1009449;toccano;;1009449;toccano;VERO
45;1042524;deve;;1042524;deve;VERO
46;1053549;diventare;;1053549;diventare;VERO
47;1091695;oro;;1091695;oro;VERO
48;1172178;Il;;1155861;Il;FALSO
49;1177470;re;;1177470;re;VERO
50;1181880;Mida;;1181880;Mida;VERO
51;1194669;fece;;1194669;fece;VERO
52;1205253;un;;1205253;un;VERO
53;1210986;salto;;1210986;salto;VERO
54;1230831;per;;1230831;per;VERO
55;1237446;la;;1237446;la;VERO
56;1244061;contentezza;;1244061;contentezza;VERO
57;1301391;e;;1298304;e;FALSO
58;1302714;torn√≤;;1302714;torn√≤;VERO
59;1322559;di;;1322559;di;VERO
60;1327851;corsa;;1327851;corsa;VERO
61;1348578;alla;;1348578;alla;VERO
62;1360044;sua;;1360044;sua;VERO
63;1368864;automobile;;1368864;automobile;VERO
64;1435455;ma;;1435455;ma;VERO
65;1439865;non;;1439865;non;VERO
66;1450449;fece;;1450449;fece;VERO
67;1465884;in;;1465884;in;VERO
68;1475145;tempo;;1475145;tempo;VERO
69;1496754;a;;1496754;a;VERO
70;1498959;toccare;;1498959;toccare;VERO
71;1529388;la;;1529388;la;VERO
72;1533798;maniglia;;1533798;maniglia;VERO
73;1554966;della;;1554966;della;VERO
74;1565550;portiera;;1565550;portiera;VERO
75;1621998;che;;1621998;che;VERO
76;1626849;subito;;1626849;subito;VERO
77;1645812;la;;1645812;la;VERO
78;1651986;macchina;;1651986;macchina;VERO
79;1670949;divent√≤;;1670949;divent√≤;VERO
80;1691676;tutta;;1691676;tutta;VERO
81;1706670;d;;1705347;d;FALSO
82;1712844;oro;;1706670;oro;FALSO
83;1741950;ruote;;1741950;ruote;VERO
84;1758708;d;;1758708;d;VERO
85;1760472;oro;;1760472;oro;VERO
86;1786050;vetri;;1786050;vetri;VERO
87;1804572;d;;1804572;d;VERO
88;1806777;oro;;1806777;oro;VERO
89;1833678;motore;;1833678;motore;VERO
90;1859256;d;;1859256;d;VERO
91;1861461;oro;;1861461;oro;VERO
92;1921437;Era;;1917027;Era;FALSO
93;1928493;diventata;;1928493;diventata;VERO
94;1951425;d;;1951425;d;VERO
95;1952748;oro;;1952748;oro;VERO
96;1965096;anche;;1965096;anche;VERO
97;1976121;la;;1976121;la;VERO
98;1981854;benzina;;1981854;benzina;VERO
99;2029482;cos√¨;;2029482;cos√¨;VERO
100;2041389;la;;2041389;la;VERO
101;2046240;macchina;;2046240;macchina;VERO
102;2064321;non;;2064321;non;VERO
103;2074905;caminava;;2074905;camminava;VERO
104;2100483;pi√π;;2100483;pi√π;VERO
105;2122974;e;;2119446;e;FALSO
106;2125620;bisogn√≤;;2125620;bisogn√≤;VERO
107;2146788;far;;2146788;far;VERO
108;2155167;venire;;2155167;venire;VERO
109;2170602;un;;2168397;un;FALSO
110;2179422;carro;;2179422;carro;VERO
111;2199267;coi;;2199267;coi;VERO
112;2212497;buoi;;2212497;buoi;VERO
113;2244249;per;;2244249;per;VERO
