TOKEN;BEGIN;ORT
1;89082;Racconto
2;130536;per
3;138033;bambini
4;156114;cattivi
5;203742;Questa
6;233289;√®
7;237699;la
8;243873;storia
9;259308;di
10;264600;una
11;272538;famiglia
12;299880;che
13;309582;non
14;315756;aveva
15;334278;un
16;336483;soldo
17;371763;Erano
18;387198;delle
19;398664;brave
20;411012;persone
21;444969;stringevano
22;471429;i
23;474516;denti
24;490833;e
25;492156;andavano
26;508914;avanti
27;556542;I
28;571536;due
29;579694;figli
30;597555;Mario
31;609462;e
32;610785;Luisina
33;640332;i
34;650475;giocattoli
35;671643;se
36;678699;li
37;683109;costruivano
38;713538;da
39;718389;soli
40;756315;Quando
41;779247;Natale
42;795123;si
43;802620;fece
44;812763;vicino
45;833931;la
46;838782;mamma
47;851571;di
48;855981;Mario
49;869652;e
50;872298;Luisina
51;903168;parl√≤
52;916398;con
53;925659;suo
54;935802;marito
55;954765;Senti
56;1005921;Giovanni
57;1027089;i
58;1033704;bambini
59;1049139;non
60;1057518;chiedono
61;1073394;mai
62;1081332;niente
63;1113084;per√≤
64;1123227;la
65;1128078;vigilia
66;1147041;dobbiamo
67;1165563;fare
68;1175706;una
69;1183203;bella
70;1197315;cena
71;1208781;di
72;1214073;pesce
73;1248912;Quei
74;1268757;due
75;1273167;ragazzini
76;1297863;al
77;1303155;massimo
78;1323441;conoscono
79;1345491;il
80;1351224;tonno
81;1363131;in
82;1367982;scatola
83;1417815;Quindi
84;1434573;per
85;1442511;favore
86;1462356;vendi
87;1475145;questa
88;1532034;Gli
89;1539972;diede
90;1554084;una
91;1563345;collanina
92;1601712;con
93;1611855;una
94;1617147;medaglietta
95;1644489;della
96;1655514;Madonna
97;1711962;Giovanni
98;1730043;era
99;1735776;disperato
100;1780758;doveva
101;1794429;vendersi
102;1817802;la
103;1821771;collanina
104;1843821;di
105;1850877;sua
106;1858374;moglie
107;1886157;per
108;1893654;dare
109;1903356;un
110;1910853;po
111;1917027;di
112;1924524;gioia
113;1941282;ai
114;1971270;suoi
115;2005668;cari
116;2015370;Ma
117;2018016;alla
118;2023308;fine
119;2033451;che
120;2037861;c‚Äô√®
121;2045358;è
122;2051091;di
123;2056383;pi√π
124;2065203;bello
125;2085489;di
126;2089899;una
127;2095852;famiglia
128;2112390;che
129;2119887;festeggia
130;2142378;il
131;2151198;Santo
132;2165751;Natale
133;2234106;Usc√¨
134;2249541;di
135;2255274;casa
136;2289231;ma
137;2293200;sulla
138;2305107;strada
139;2320983;incontr√≤
140;2343033;due
141;2350089;ladri
142;2381400;Cominci√≤
143;;a
144;2410506;scappare
145;2439612;ma
146;2443581;i
147;2446668;due
148;2452842;erano
149;2466072;giovani
150;2488563;e
151;2489886;lui
152;2497383;aveva
153;2510613;una
154;2517228;gamba
155;2529576;che
156;2535309;non
157;2544129;funzionava
158;2570589;bene
159;2605428;Lo
160;2610720;acchiapparono
161;2644236;e
162;2655261;gli
163;2660112;rubarono
164;2679516;la
165;2684367;collana
166;2747871;Quando
167;2765070;si
168;2771685;rialz√≤
169;2786238;da
170;2791089;terra
171;2802996;inizi√≤
172;2819754;a
173;2824164;piangere
174;2862090;Come
175;2885463;poteva
176;2900457;presentarsi
177;2929122;a
178;2944998;casa
179;2952495;senza
180;2968371;niente
181;3014235;And√≤
182;3027465;lo
183;3031875;stesso
184;3059217;al
185;3069360;mercato
186;3090528;del
187;3100671;pesce
188;3150063;Giovanni
189;3166821;preg√≤
190;3177846;i
191;3179610;pescivendoli
192;3209157;di
193;3217977;dargli
194;3230766;qualcosa
195;3267810;Gli
196;3293388;andavano
197;3314997;bene
198;3326463;pure
199;3333960;le
200;3337488;interiora
201;3364389;e
202;3366594;le
203;3371886;teste
204;3382911;dei
205;3392613;pesci
206;3405843;che
207;3410694;non
208;3415986;mangia
209;3432303;nessuno
210;3466701;ma
211;3470670;lo
212;3476403;cacciarono
213;3507273;come
214;3518739;fosse
215;3532410;un
216;3537702;barbone
217;3605616;Il
218;3614877;pover‚Äôuomo
219;3625461;uomo 
220;3636486;vide
221;3643101;allora
222;3658536;un
223;3662064;enorme
224;3678822;pesce
225;3690729;spada
226;3711456;Era
227;3732183;bellissimo
228;3757761;con
229;3764376;la
230;3769227;sua
231;3775401;spada
232;3786867;affilata
233;3812445;la
234;3819060;pelle
235;3833613;azzurra
236;3846843;e
237;3851253;un
238;3856545;occhio
239;3868011;grande
240;3883005;come
241;3893148;un
242;3901527;uovo
243;3915639;Sarebbe
244;3953124;stata
245;3968118;una
246;3972087;sorpresa
247;3994137;meravigliosa
248;4024125;portarlo
249;4043970;a
250;4060728;casa
