sentence_id;token_position;token;lemma;pos;morphology;dependency_relation;head_token;entity_type
0;0;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;re;O
0;1;re;re;NOUN;{'Gender': 'Masc'};nsubj;perduto;O
0;2;aveva;avere;AUX;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};aux;perduto;O
0;3;perduto;perdere;VERB;{'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'};ROOT;perduto;O
0;4;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;anello;O
0;5;anello;anello;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obj;perduto;O
0;6;prezioso;prezioso;ADJ;{'Gender': 'Masc', 'Number': 'Sing'};amod;anello;O
1;0;cerca;cercare;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'};ROOT;cerca;O
1;1;qua;qua;ADV;{};advmod;cerca;O
1;3;cerca;cercare;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'};conj;cerca;O
1;4;là;là;ADV;{};advmod;cerca;O
1;6;non;non;ADV;{'PronType': 'Neg'};advmod;trova;O
1;7;si;si;PRON;{'Clitic': 'Yes', 'Person': '3', 'PronType': 'Prs'};expl;trova;O
1;8;trova;trovare;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'};conj;cerca;O
2;0;mise;mise;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};ROOT;mise;O
2;1;fuori;fuori;ADV;{};advmod;mise;O
2;2;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;bando;O
2;3;bando;bando;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obj;mise;O
2;4;che;che;SCONJ;{};mark;fa;O
2;5;se;se;SCONJ;{};mark;dire;O
2;6;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;astrologo;O
2;7;astrologo;astrologo;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};nsubj;dire;O
2;8;gli;lo;PRON;{'Clitic': 'Yes', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs'};iobj;dire;O
