sentence_ids,tokens,lemma,PoS,depparse,head,constituency
0,Un,uno,DET,det,re,(ROOT (f (sn (DET Un) (NOUN re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .))))
0,re,re,NOUN,nsubj,perduto,(ROOT (f (sn (DET Un) (NOUN re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .))))
0,aveva,avere,AUX,aux,perduto,(ROOT (f (sn (DET Un) (NOUN re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .))))
0,perduto,perdere,VERB,root,ROOT,(ROOT (f (sn (DET Un) (NOUN re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .))))
0,un,uno,DET,det,anello,(ROOT (f (sn (DET Un) (NOUN re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .))))
0,anello,anello,NOUN,obj,perduto,(ROOT (f (sn (DET Un) (NOUN re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .))))
0,prezioso,prezioso,ADJ,amod,anello,(ROOT (f (sn (DET Un) (NOUN re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .))))
0,.,.,PUNCT,punct,perduto,(ROOT (f (sn (DET Un) (NOUN re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .))))
1,Cerca,cercare,VERB,root,ROOT,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
1,qua,qua,ADV,advmod,Cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
1,",",",",PUNCT,punct,cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
1,cerca,cercare,VERB,conj,Cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
1,là,là,ADV,advmod,cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
1,",",",",PUNCT,punct,trova,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
1,non,non,ADV,advmod,trova,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
1,si,si,PRON,expl,trova,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
1,trova,trovare,VERB,conj,Cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
1,.,.,PUNCT,punct,Cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))"
2,Mise,mettere,VERB,root,ROOT,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
