token_id;sentence_ids;tokens_no_punct;lemma_no_punct;PoS;depparse;head;constituency;AoA(m+sd);Zipf_freq;type_of_words
1;0;cinque;cinque;NUM;nummod;minuti;(ROOT (f3 (sn (NUM Cinque) (NOUN minuti) (spd (ADP di) (sn (NOUN pace) (PUNCT .))))));;5,222170066;NaN
2;0;minuti;minuto;NOUN;root;ROOT;(ROOT (f3 (sn (NUM Cinque) (NOUN minuti) (spd (ADP di) (sn (NOUN pace) (PUNCT .))))));;5,327738888;content
3;0;di;di;ADP;case;pace;(ROOT (f3 (sn (NUM Cinque) (NOUN minuti) (spd (ADP di) (sn (NOUN pace) (PUNCT .))))));;7,232814475;function
4;0;pace;pace;NOUN;nmod;minuti;(ROOT (f3 (sn (NUM Cinque) (NOUN minuti) (spd (ADP di) (sn (NOUN pace) (PUNCT .))))));5.04 ± 1.72;5,057358263;content
5;1;gli;il;DET;det;elefantini;(ROOT (f (sn (DET Gli) (NOUN elefantini)) (ibar (AUX stanno) (VERB facendo)) (compt (sn (NOUN colazione) (PUNCT .)))));;6,227520191;function
6;1;elefantini;elefantino;NOUN;nsubj;facendo;(ROOT (f (sn (DET Gli) (NOUN elefantini)) (ibar (AUX stanno) (VERB facendo)) (compt (sn (NOUN colazione) (PUNCT .)))));;1,668044485;content
7;1;stanno;stare;AUX;aux;facendo;(ROOT (f (sn (DET Gli) (NOUN elefantini)) (ibar (AUX stanno) (VERB facendo)) (compt (sn (NOUN colazione) (PUNCT .)))));4.60 ± 2.35;5,422469274;function
8;1;facendo;fare;VERB;root;ROOT;(ROOT (f (sn (DET Gli) (NOUN elefantini)) (ibar (AUX stanno) (VERB facendo)) (compt (sn (NOUN colazione) (PUNCT .)))));4.40 ± 2.22;5,643093149;content
9;1;colazione;colazione;NOUN;obj;facendo;(ROOT (f (sn (DET Gli) (NOUN elefantini)) (ibar (AUX stanno) (VERB facendo)) (compt (sn (NOUN colazione) (PUNCT .)))));;4,628118682;content
10;2;mamma;mamma;NOUN;nsubj;prende;(ROOT (cp (sn (NOUN Mamma) (sn (PROPN Elefante))) (PUNCT ,) (fc (f (ibar (VERB prende)) (compt (sn (DET un) (NOUN vassoio)))) (CCONJ e) (f (ibar (PRON ci) (VERB dispone)) (compt (coord (sn (DET una) (NOUN teiera)) (PUNCT ,) (sn (DET la) (sa (DET sua)) (NOUN tazza) (sa (ADJ preferita))) (PUNCT ,) (sn (DET un) (NOUN piatto) (spd (ADP di) (sn (NOUN toast))) (sp (ADP con) (sn (DET la) (NOUN marmellata)))) (CCONJ e) (sn (DET una) (NOUN tortina) (PUNCT .))))))));1.88 ± 1.27;5,66327005;content
11;2;elefante;Elefante;PROPN;flat:name;Mamma;(ROOT (cp (sn (NOUN Mamma) (sn (PROPN Elefante))) (PUNCT ,) (fc (f (ibar (VERB prende)) (compt (sn (DET un) (NOUN vassoio)))) (CCONJ e) (f (ibar (PRON ci) (VERB dispone)) (compt (coord (sn (DET una) (NOUN teiera)) (PUNCT ,) (sn (DET la) (sa (DET sua)) (NOUN tazza) (sa (ADJ preferita))) (PUNCT ,) (sn (DET un) (NOUN piatto) (spd (ADP di) (sn (NOUN toast))) (sp (ADP con) (sn (DET la) (NOUN marmellata)))) (CCONJ e) (sn (DET una) (NOUN tortina) (PUNCT .))))))));;3,8254005;content
12;2;prende;prendere;VERB;root;ROOT;(ROOT (cp (sn (NOUN Mamma) (sn (PROPN Elefante))) (PUNCT ,) (fc (f (ibar (VERB prende)) (compt (sn (DET un) (NOUN vassoio)))) (CCONJ e) (f (ibar (PRON ci) (VERB dispone)) (compt (coord (sn (DET una) (NOUN teiera)) (PUNCT ,) (sn (DET la) (sa (DET sua)) (NOUN tazza) (sa (ADJ preferita))) (PUNCT ,) (sn (DET un) (NOUN piatto) (spd (ADP di) (sn (NOUN toast))) (sp (ADP con) (sn (DET la) (NOUN marmellata)))) (CCONJ e) (sn (DET una) (NOUN tortina) (PUNCT .))))))));4.36 ± 1.89;4,869987548;content
13;2;un;uno;DET;det;vassoio;(ROOT (cp (sn (NOUN Mamma) (sn (PROPN Elefante))) (PUNCT ,) (fc (f (ibar (VERB prende)) (compt (sn (DET un) (NOUN vassoio)))) (CCONJ e) (f (ibar (PRON ci) (VERB dispone)) (compt (coord (sn (DET una) (NOUN teiera)) (PUNCT ,) (sn (DET la) (sa (DET sua)) (NOUN tazza) (sa (ADJ preferita))) (PUNCT ,) (sn (DET un) (NOUN piatto) (spd (ADP di) (sn (NOUN toast))) (sp (ADP con) (sn (DET la) (NOUN marmellata)))) (CCONJ e) (sn (DET una) (NOUN tortina) (PUNCT .))))))));;7,065833912;function
14;2;vassoio;vassoio;NOUN;obj;prende;(ROOT (cp (sn (NOUN Mamma) (sn (PROPN Elefante))) (PUNCT ,) (fc (f (ibar (VERB prende)) (compt (sn (DET un) (NOUN vassoio)))) (CCONJ e) (f (ibar (PRON ci) (VERB dispone)) (compt (coord (sn (DET una) (NOUN teiera)) (PUNCT ,) (sn (DET la) (sa (DET sua)) (NOUN tazza) (sa (ADJ preferita))) (PUNCT ,) (sn (DET un) (NOUN piatto) (spd (ADP di) (sn (NOUN toast))) (sp (ADP con) (sn (DET la) (NOUN marmellata)))) (CCONJ e) (sn (DET una) (NOUN tortina) (PUNCT .))))))));6.36 ± 2.33;3,540200757;content
