word,semantic_dissimilarity
Apocalisse,0.5585190057754517
Cara,0.32730817794799805
Franci,0.2893451452255249
ti,0.2366674542427063
scrivo,0.2986467480659485
per,0.28099387884140015
sapere,0.31855183839797974
come,0.33760881423950195
stai,0.3650406002998352
tu,0.1893233060836792
e,0.21831685304641724
come,0.2502782344818115
stanno,0.30395060777664185
Eris,0.34466618299484253
e,0.23131704330444336
i,0.24468994140625
vostri,0.2595229744911194
figli,0.26941168308258057
meravigliosi,0.2818434238433838
E,0.2741853594779968
poi,0.2367171049118042
volevo,0.2904089689254761
sapere,0.2670786380767822
se,0.24255776405334473
pure,0.30333900451660156
da,0.3019399642944336
voi,0.21572375297546387
in,0.22880572080612183
Australia,0.2425563931465149
è,0.23227113485336304
arrivata,0.3427831530570984
l',0.4852244257926941
Apocalisse,0.3168707489967346
Manu,0.319296658039093
dice,0.185960590839386
che,0.15732860565185547
non,0.1789933443069458
è,0.24541312456130981
detto,0.36582642793655396
che,0.21170669794082642
sia,0.2567370533943176
arrivata,0.2694846987724304
pure,0.33435577154159546
laggiù,0.3278886079788208
voi,0.19256168603897095
siete,0.21751469373703003
in,0.2470306158065796
un,0.2698577642440796
altro,0.2231898307800293
emisfero,0.45900750160217285
e,0.24012458324432373
che,0.17958641052246094
l',0.3776671290397644
Australia,0.30047792196273804
è,0.1458451747894287
un,0.1854742169380188
Paese,0.28469419479370117
abbastanza,0.24216878414154053
vergine,0.32215118408203125
e,0.18210577964782715
che,0.16298139095306396
la,0.22036516666412354
gente,0.18125879764556885
lì,0.24855464696884155
non,0.13662230968475342
può,0.2171480655670166
aver,0.2867187261581421
commesso,0.3268164396286011
lo,0.31843817234039307
stesso,0.32375991344451904
numero,0.24425160884857178
di,0.28783971071243286
peccati,0.2587633728981018
che,0.2780434489250183
da,0.3851494789123535
noi,0.27196207642555237
Secondo,0.3902595639228821
me,0.21192717552185059
non,0.15674901008605957
ci,0.2804708480834961
può,0.29006510972976685
essere,0.23739361763000488
un',0.48100411891937256
Apocalisse,0.38761106133461
a,0.28363823890686035
metà,0.27002376317977905
E,0.2726207375526428
poi,0.2389082908630371
alla,0.26119011640548706
televisione,0.3508228063583374
dicevano,0.3113466501235962
che,0.1820557713508606
era,0.17757189273834229
un,0.1812669038772583
problema,0.20040243864059448
globale,0.243257075548172
Ma,0.2034912109375
vatti,0.37079375982284546
a,0.307007372379303
fidare,0.27896103262901306
Comunque,0.22968444228172302
spero,0.2941763997077942
che,0.20662754774093628
da,0.3148338198661804
voi,0.25244688987731934
non,0.19683837890625
sia,0.30160611867904663
arrivata,0.3576626181602478
e,0.20874667167663574
abbia,0.31274014711380005
ragione,0.2881535291671753
Manu,0.2431786060333252
Da,0.3931516408920288
un,0.4093995690345764
paio,0.43039470911026
d',0.7005346417427063
anni,0.36405837535858154
non,0.18673062324523926
si,0.23866355419158936
parlava,0.36065441370010376
d',0.4707931876182556
altro,0.4232632517814636
che,0.27031463384628296
dell',0.43496787548065186
Apocalisse,0.34452295303344727
che,0.22920334339141846
sarebbe,0.3839603662490845
arrivata,0.343394935131073
e,0.2712061405181885
saremmo,0.34846580028533936
morti,0.3560534715652466
tutti,0.22311565279960632
Soprattutto,0.3558310270309448
gli,0.19587570428848267
esperti,0.24039563536643982
in,0.28950434923171997
televisione,0.2226884365081787
avevano,0.2003164291381836
ognuno,0.2750084400177002
una,0.2094200849533081
ricetta,0.218197762966156
su,0.2186574935913086
come,0.30740463733673096
sarebbe,0.3879939913749695
successo,0.2885943055152893
Ma,0.20170480012893677
tutti,0.15690237283706665
concordavano,0.32059648633003235
su,0.23273557424545288
'sta,0.4497142434120178
storia,0.2298259735107422
dei,0.25181734561920166
cavalli,0.30743515491485596
colorati,0.2385857105255127
L',0.5240254998207092
Anticristo,0.42790576815605164
sarebbe,0.29582637548446655
arrivato,0.2533852458000183
sopra,0.2680094838142395
un,0.25845080614089966
cavallo,0.23963326215744019
bianco,0.21013522148132324
ad,0.3681148290634155
annunciare,0.333279550075531
la,0.2362673282623291
fine,0.23115622997283936
della,0.28314703702926636
Terra,0.24970802664756775
Poi,0.27579617500305176
sarebbe,0.3258475661277771
