text_id,num_tokens,num_sentences,num_types,TTR,TTR_lemmas,avg_sentence_length,Zipf_mean,percent_rare_words,Gulpease_index,num_function_words,num_content_words,num_verbs,num_adjectives,num_nouns,top_lemmas,top_bigrams
01_1115,519,41,261,0.503,0.374,15.24,5.29,12.75,70.37,250 (48.2%),266 (51.3%),102 (19.7%),22 (4.2%),105 (20.2%),"['il (7.1%)', 'e (5.2%)', 'essere (4.4%)', 'uno (3.5%)', 'che (3.5%)', 'a (3.3%)', 'di (3.3%)', 'si (2.3%)', 'astrologo (1.9%)', 'dire (1.9%)', 'fare (1.7%)', 'in (1.7%)', 'avere (1.5%)', 'non (1.5%)', 'Gàmbara (1.5%)', 'sapere (1.3%)', 'Re (1.3%)', 'servo (1.3%)', 'anello (1.0%)', 'ci (1.0%)']","['l anello (0.8%)', 'e si (0.6%)', 'l astrologo (0.6%)', 'i servi (0.6%)', 'anello e (0.6%)', 'entrò il (0.6%)', 'al re (0.6%)', 'il re (0.6%)', 'un re (0.4%)', 'che se (0.4%)']"
02_1115,605,54,305,0.504,0.388,14.46,5.41,9.47,73.28,283 (46.8%),322 (53.2%),109 (18.0%),32 (5.3%),130 (21.5%),"['il (7.6%)', 'e (4.1%)', 'uno (3.5%)', 'di (3.0%)', 'a (2.8%)', 'essere (2.3%)', 'Re (2.3%)', 'che (2.1%)', 'non (1.8%)', 'contento (1.7%)', 'avere (1.7%)', 'tutto (1.7%)', 'ma (1.3%)', 'in (1.3%)', 'uomo (1.2%)', 'gli (1.2%)', 'si (1.2%)', 'Maestà (1.2%)', 'figlio (1.0%)', 'suo (1.0%)']","['il re (2.2%)', 'la camicia (0.7%)', 'e il (0.7%)', 'gli ambasciatori (0.7%)', 'uomo contento (0.5%)', 'un uomo (0.5%)', 'e gli (0.3%)', 're che (0.3%)', 'non lo (0.3%)', 'lo so (0.3%)']"
03_1115,541,59,281,0.519,0.416,10.92,5.29,12.67,75.88,266 (49.2%),272 (50.3%),98 (18.1%),23 (4.3%),119 (22.0%),"['il (6.5%)', 'a (4.6%)', 'uno (3.7%)', 'essere (3.1%)', 'che (3.1%)', 'di (2.6%)', 'e (2.4%)', 'in (2.4%)', 'cardellino (2.0%)', 'mio (1.8%)', 'con (1.7%)', 'mi (1.3%)', 'stare (1.3%)', 'si (1.3%)', 'gabbia (1.3%)', 'non (1.1%)', 'da (1.1%)', 'voce (0.9%)', 'ne (0.7%)', 'figlio (0.7%)']","['il cardellino (1.5%)', 'mia figlia (0.7%)', 'con le (0.6%)', 'se ne (0.6%)', 'gli parlavo (0.6%)', 'con la (0.6%)', 'mia moglie (0.6%)', 'cardellino era (0.4%)', 'e io (0.4%)', 'nella casa (0.4%)']"
04_1115,571,43,275,0.482,0.392,16.07,5.37,10.0,66.71,276 (48.3%),294 (51.5%),114 (20.0%),28 (4.9%),104 (18.2%),"['il (6.8%)', 'e (4.4%)', 'uno (3.2%)', 'a (3.2%)', 'in (2.8%)', 'che (2.5%)', 'essere (2.3%)', 'avere (2.3%)', 'non (1.8%)', 'dire (1.8%)', 'imparare (1.6%)', 'di (1.6%)', 'padre (1.4%)', 'andare (1.4%)', 'questo (1.4%)', 'figlio (1.1%)', 'giovane (1.1%)', 'cane (1.1%)', 'per (0.9%)', 'fare (0.9%)']","['il padre (1.2%)', 'il giovane (1.1%)', 'che cosa (0.7%)', 'i cani (0.7%)', 'allora il (0.5%)', 'ebbene che (0.5%)', 'cosa hai (0.5%)', 'hai imparato (0.5%)', 'ho imparato (0.5%)', 'imparato quello (0.5%)']"
05_1115,508,53,291,0.573,0.467,11.6,5.41,7.13,74.47,229 (45.1%),278 (54.7%),87 (17.1%),23 (4.5%),108 (21.3%),"['il (7.9%)', 'essere (3.9%)', 'a (3.5%)', 'uno (3.1%)', 'di (2.8%)', 'che (2.8%)', 'goccia (2.6%)', 'in (2.4%)', 'non (2.4%)', 'si (2.0%)', 'e (1.8%)', 'scala (1.4%)', 'per (1.2%)', 'notte (1.2%)', 'se (1.2%)', 'cosa (1.0%)', 'salire (0.8%)', 'tutto (0.8%)', 'da (0.8%)', 'signore (0.8%)']","['una goccia (1.6%)', 'la goccia (0.8%)', 'le scale (0.8%)', 'che cosa (0.8%)', 'la padrona (0.6%)', 'su per (0.6%)', 'per le (0.6%)', 'al mattino (0.6%)', 'goccia d (0.4%)', 'd acqua (0.4%)']"
06_1115,479,39,267,0.557,0.474,15.79,5.18,10.49,64.7,206 (43.0%),261 (54.5%),83 (17.3%),28 (5.8%),120 (25.1%),"['il (10.6%)', 'uno (4.2%)', 'a (3.8%)', 'di (3.5%)', 'essere (2.1%)', 'e (2.1%)', 'per (1.7%)', 'Bussi (1.5%)', 'da (1.5%)', 'lo (1.5%)', 'in (1.3%)', 'assegno (1.3%)', 'impiegato (1.3%)', 'con (1.0%)', 'non (0.8%)', 'dire (0.8%)', 'prendere (0.8%)', 'si (0.8%)', 'nuovo (0.8%)', 'passaporto (0.8%)']","['il bussi (1.3%)', 'l impiegato (1.0%)', 'l assegno (0.8%)', 'di nuovo (0.6%)', 'un assegno (0.4%)', '4000 lire (0.4%)', 'il foglietto (0.4%)', 'in mano (0.4%)', 'si accomodi (0.4%)', 'la faccia (0.4%)']"
07_1115,528,43,303,0.574,0.458,14.16,5.22,10.54,66.8,259 (49.1%),266 (50.4%),98 (18.6%),24 (4.5%),106 (20.1%),"['il (5.7%)', 'di (4.9%)', 'uno (4.2%)', 'a (3.0%)', 'e (2.8%)', 'essere (2.7%)', 'non (2.1%)', 'mi (2.1%)', 'da (1.9%)', 'che (1.7%)', 'si (1.7%)', 'in (1.5%)', 'avere (1.5%)', 'coniglio (1.5%)', 'mio (1.3%)', 'suo (1.1%)', 'vedere (1.1%)', 'lo (0.9%)', 'ma (0.9%)', 'uscita (0.9%)']","['mi piaceva (0.8%)', 'mio padre (0.6%)', 'e mi (0.6%)', 'del coniglio (0.6%)', 'il coniglio (0.6%)', 'non mi (0.4%)', 'che mi (0.4%)', 'il sole (0.4%)', 'la tana (0.4%)', 'tana del (0.4%)']"
08_1115,489,24,289,0.591,0.483,23.33,5.22,11.06,52.91,217 (44.4%),268 (54.8%),70 (14.3%),34 (7.0%),121 (24.7%),"['di (8.6%)', 'il (5.5%)', 'essere (3.7%)', 'a (3.3%)', 'che (2.5%)', 'tacchino (2.2%)', 'in (2.2%)', 'non (2.0%)', 'e (1.8%)', 'uno (1.6%)', 'quello (1.4%)', 'da (1.4%)', 'ringraziare (1.2%)', 'si (1.2%)', 'loro (1.2%)', 'americano (1.0%)', 'ogni (0.8%)', 'giorno (0.8%)', 'ma (0.8%)', 'avere (0.8%)']","['i tacchini (0.6%)', 'non si (0.6%)', 'dei tacchini (0.6%)', 'tacchini non (0.4%)', 'non ringraziano (0.4%)', 'ogni quarto (0.4%)', 'di novembre (0.4%)', 'di ringraziare (0.4%)', 'quel giorno (0.4%)', 'degli americani (0.4%)']"
09_1115,598,52,309,0.517,0.425,13.17,5.3,10.77,69.45,289 (48.3%),302 (50.5%),107 (17.9%),29 (4.8%),129 (21.6%),"['il (7.9%)', 'uno (4.7%)', 'e (4.0%)', 'di (3.7%)', 'essere (3.0%)', 'a (2.7%)', 'che (2.2%)', 'si (2.0%)', 'pesce (2.0%)', 'gli (1.5%)', 'in (1.3%)', 'non (1.2%)', 'avere (1.2%)', 'ma (1.2%)', 'per (1.0%)', 'fare (1.0%)', 'con (1.0%)', 'Giovanni (1.0%)', 'lo (1.0%)', 'come (1.0%)']","['il pesce (1.3%)', 'che non (0.8%)', 'a casa (0.5%)', 'sulla spalla (0.5%)', 'in un (0.5%)', 'di una (0.3%)', 'una famiglia (0.3%)', 'famiglia che (0.3%)', 'non aveva (0.3%)', 'aveva un (0.3%)']"
10_1115,554,47,294,0.531,0.422,13.43,5.5,7.2,67.95,270 (48.7%),284 (51.3%),97 (17.5%),32 (5.8%),92 (16.6%),"['essere (5.8%)', 'che (5.1%)', 'il (4.5%)', 'di (4.3%)', 'e (3.4%)', 'non (3.1%)', 'uno (3.1%)', 'avere (2.3%)', 'a (2.3%)', 'da (1.4%)', 'arrivare (1.3%)', 'ci (1.3%)', 'ti (1.1%)', 'tutto (1.1%)', 'mi (1.1%)', 'Apocalisse (0.9%)', 'poi (0.9%)', 'voi (0.9%)', 'dire (0.9%)', 'cavallo (0.9%)']","['da voi (0.5%)', 'e che (0.5%)', 'che la (0.5%)', 'voi non (0.5%)', 'un cavallo (0.5%)', 'e poi (0.4%)', 'australia è (0.4%)', 'è arrivata (0.4%)', 'l apocalisse (0.4%)', 'che non (0.4%)']"
