text_id,num_tokens,num_sentences,num_types,TTR,TTR_lemmas,avg_sentence_length,Zipf_mean,percent_rare_words,Gulpease_index,num_function_words,num_content_words,num_verbs,num_adjectives,num_nouns,top_lemmas,top_bigrams
01_03,311,22,153,0.492,0.405,17.27,5.18,14.79,66.11,167 (53.7%),144 (46.3%),56 (18.0%),14 (4.5%),74 (23.8%),"['il (13.8%)', 'che (5.1%)', 'a (3.9%)', 'e (3.5%)', 'spingere (3.5%)', 'di (2.9%)', 'essere (2.6%)', 'paperetta (2.3%)', 'non (2.3%)', 'in (2.3%)', 'anatra (2.3%)', 'si (1.9%)', 'gatto (1.9%)', 'lupo (1.9%)', 'fatto (1.3%)', 'stagno (1.3%)', 'acqua (1.3%)', 'cane (1.3%)', 'tacchino (1.3%)', 'uno (1.3%)']","['l anatra (2.3%)', 'la paperetta (1.9%)', 'il gatto (1.9%)', 'che spingeva (1.9%)', 'il fatto (1.3%)', 'fatto è (1.3%)', 'il cane (1.3%)', 'il tacchino (1.3%)', 'che la (1.0%)', 'non si (1.0%)']"
02_03,274,41,115,0.42,0.369,8.63,4.94,20.53,93.49,138 (50.4%),135 (49.3%),66 (24.1%),19 (6.9%),50 (18.2%),"['il (11.3%)', 'e (8.8%)', 'piccolo (4.7%)', 'ragno (4.7%)', 'tacere (3.6%)', 'arrivare (3.6%)', 'dire (3.6%)', 'tessere (3.3%)', 'gli (3.3%)', 'di (2.9%)', 'a (2.6%)', 'uno (2.2%)', 'andare (1.8%)', 'già (1.1%)', 'con (1.1%)', 'venire (1.1%)', 'fare (1.1%)', 'avere (1.1%)', 'essere (1.1%)', 'soffiare (0.7%)']","['il piccolo (4.8%)', 'piccolo ragno (4.8%)', 'e gli (3.3%)', 'gli dice (3.3%)', 'ragno tesse (2.9%)', 'tesse e (2.9%)', 'e tace (2.9%)', 'tace arriva (2.6%)', 'arriva il (1.8%)', 'arriva la (1.5%)']"
03_03,422,40,231,0.547,0.488,12.97,5.33,10.05,75.04,213 (50.5%),208 (49.3%),87 (20.6%),18 (4.3%),103 (24.4%),"['il (6.6%)', 'a (4.5%)', 'di (4.3%)', 'e (3.3%)', 'mamma (2.6%)', 'non (2.1%)', 'uno (1.9%)', 'avere (1.9%)', 'flora (1.7%)', 'essere (1.7%)', 'suo (1.7%)', 'miele (1.7%)', 'Adele (1.7%)', 'si (1.7%)', 'che (1.2%)', 'in (1.2%)', 'Flora (1.2%)', 'da (0.9%)', 'ora (0.9%)', 'piccolo (0.9%)']","['la mamma (1.2%)', 'al miele (0.7%)', 'mamma orsa (0.7%)', 'adele non (0.7%)', 'la sua (0.5%)', 'la piccola (0.5%)', 'piccola ape (0.5%)', 'l orsetta (0.5%)', 'sua amica (0.5%)', 'vede l (0.5%)']"
04_03,325,25,159,0.489,0.428,16.96,5.3,14.2,67.65,175 (53.8%),150 (46.2%),58 (17.8%),10 (3.1%),82 (25.2%),"['il (12.9%)', 'e (4.0%)', 'Lupetto (3.7%)', 'non (3.1%)', 'piacere (3.1%)', 'di (2.8%)', 'essere (2.5%)', 'uno (2.2%)', 'pastasciutta (1.8%)', 'che (1.8%)', 'dire (1.8%)', 'papà (1.8%)', 'mamma (1.5%)', 'fare (1.5%)', 'mangiare (1.2%)', 'giorno (1.2%)', 'a (1.2%)', 'volere (1.2%)', 'in (1.2%)', 'gli (1.2%)']","['il papà (1.9%)', 'la mamma (1.5%)', 'la pastasciutta (1.5%)', 'le lasagne (1.2%)', 'non mi (0.9%)', 'lupetto e (0.9%)', 'lupetto non (0.9%)', 'gli dice (0.9%)', 'le verdure (0.9%)', 'lasagne sono (0.9%)']"
05_03,355,40,190,0.535,0.448,12.25,5.48,7.72,77.25,183 (51.5%),164 (46.2%),63 (17.7%),10 (2.8%),91 (25.6%),"['il (6.5%)', 'di (4.2%)', 'mamma (3.7%)', 'e (3.7%)', 'uno (2.8%)', 'si (2.3%)', 'in (2.0%)', 'andare (2.0%)', 'potere (2.0%)', 'Eleonora (1.7%)', 'a (1.7%)', 'minuto (1.4%)', 'chiedere (1.4%)', 'perché (1.4%)', 'Eliseo (1.4%)', 'essere (1.4%)', 'pace (1.1%)', 'elefantino (1.1%)', 'con (1.1%)', 'dire (1.1%)']","['la mamma (2.3%)', 'di pace (1.1%)', 'nella vasca (1.1%)', 'cinque minuti (0.8%)', 'minuti di (0.8%)', 'si mette (0.8%)', 'dice la (0.8%)', 'al piano (0.8%)', 'piano di (0.8%)', 'di sotto (0.8%)']"
06_03,317,18,168,0.53,0.464,20.89,5.21,9.18,60.77,173 (54.6%),139 (43.8%),34 (10.7%),37 (11.7%),68 (21.5%),"['uno (8.2%)', 'il (4.7%)', 'di (4.1%)', 'essere (4.1%)', 'e (3.5%)', 'mangiare (2.5%)', 'bruco (2.2%)', 'affamato (2.2%)', 'a (1.9%)', 'piccolo (1.9%)', 'ma (1.9%)', 'bello (1.6%)', 'non (1.6%)', 'ancora (1.6%)', 'si (1.6%)', 'dopo (1.3%)', 'più (1.3%)', 'fetta (1.3%)', 'molto (0.9%)', 'uovo (0.9%)']","['piccolo bruco (1.3%)', 'era ancora (1.3%)', 'ancora affamato (1.3%)', 'affamato il (1.3%)', 'una fetta (1.3%)', 'fetta di (1.3%)', 'un piccolo (0.9%)', 'una bella (0.9%)', 'mangiò attraverso (0.9%)', 'il bruco (0.6%)']"
07_03,358,42,179,0.5,0.427,11.69,5.24,14.16,79.34,186 (52.0%),172 (48.0%),70 (19.6%),25 (7.0%),77 (21.5%),"['il (6.4%)', 'Nina (4.5%)', 'a (3.9%)', 'e (3.4%)', 'essere (3.1%)', 'ciuccio (2.5%)', 'di (2.5%)', 'uno (2.5%)', 'lupo (2.2%)', 'quando (2.0%)', 'mamma (2.0%)', 'non (2.0%)', 'avere (2.0%)', 'chiedere (1.7%)', 'rispondere (1.4%)', 'le (1.4%)', 'andare (1.4%)', 'stare (1.4%)', 'dire (1.1%)', 'cattivo (1.1%)']","['la mamma (1.7%)', 'il lupo (1.7%)', 'il ciuccio (1.1%)', 'risponde nina (1.1%)', 'ciuccio di (0.8%)', 'chiede la (0.8%)', 'il mio (0.8%)', 'le dice (0.8%)', 'anche quando (0.8%)', 'nina quando (0.6%)']"
08_03,317,24,141,0.445,0.366,16.67,5.46,9.81,68.91,177 (55.8%),140 (44.2%),50 (15.8%),12 (3.8%),78 (24.6%),"['il (11.7%)', 'mostro (5.7%)', 'uno (4.1%)', 'e (3.5%)', 'di (3.2%)', 'bambino (2.5%)', 'si (2.5%)', 'essere (2.5%)', 'a (2.5%)', 'ma (2.2%)', 'nascondere (1.9%)', 'sotto (1.6%)', 'mamma (1.6%)', 'in (1.3%)', 'letto (1.3%)', 'da (1.3%)', 'ci (1.3%)', 'allora (1.3%)', 'dentro (1.3%)', 'gli (1.3%)']","['il mostro (1.9%)', 'un mostro (1.6%)', 'il bambino (1.6%)', 'si nascose (1.3%)', 'sotto il (0.9%)', 'allora il (0.9%)', 'la mamma (0.9%)', 'dentro a (0.9%)', 'bambino e (0.6%)', 'nascose sotto (0.6%)']"
09_03,371,38,190,0.512,0.431,13.0,5.34,11.11,77.06,210 (56.6%),155 (41.8%),53 (14.3%),30 (8.1%),72 (19.4%),"['il (5.4%)', 'essere (3.8%)', 'fare (3.5%)', 'testa (3.5%)', 'che (3.5%)', 'e (3.2%)', 'in (3.0%)', 'piccolo (3.0%)', 'uno (2.7%)', 'Talpa (2.7%)', 'avere (2.4%)', 'io (2.2%)', 'me (1.9%)', 'lo (1.9%)', 'ma (1.6%)', 'così (1.3%)', 'si (1.3%)', 'chi (1.1%)', 'a (1.1%)', 'non (1.1%)']","['in testa (3.0%)', 'piccola talpa (3.0%)', 'la piccola (2.7%)', 'fatta in (2.2%)', 'me l (1.6%)', 'che me (1.4%)', 'sei tu (1.1%)', 'tu che (1.1%)', 'l hai (1.1%)', 'hai fatta (1.1%)']"
10_03,322,26,121,0.376,0.335,15.73,5.0,10.42,68.04,155 (48.1%),167 (51.9%),46 (14.3%),11 (3.4%),110 (34.2%),"['e (6.5%)', 'a (5.3%)', 'di (5.3%)', 'Orso (4.7%)', 'il (4.7%)', 'in (3.4%)', 'tana (3.4%)', 'essere (2.8%)', 'uno (2.5%)', 'Volpe (2.5%)', 'buco (2.2%)', 'Talpa (2.2%)', 'si (1.9%)', 'improvviso (1.9%)', 'Rospo (1.9%)', 'Formica (1.9%)', 'ma (1.6%)', 'elefante (1.6%)', 'tutto (1.6%)', 'cascare (1.2%)']","['tana di (2.8%)', 'all improvviso (1.9%)', 'di orso (1.9%)', 'orso volpe (1.9%)', 'e all (1.6%)', 'buco ma (1.6%)', 'la tana (1.6%)', 'volpe talpa (1.6%)', 'e formica (1.6%)', 'improvviso badabum (1.2%)']"
