token_id;sentence_ids;tokens_no_punct;lemma_no_punct;PoS;depparse;head;constituency;AoA(m+sd);Zipf_freq;type_of_words
1;0;una;uno;DET;det;bambina;(ROOT (f3 (sn (DET Una) (NOUN bambina) (sp (ADP senza) (sn (NOUN nome) (PUNCT .))))));;6,801817508;function
2;0;bambina;bambino;NOUN;root;ROOT;(ROOT (f3 (sn (DET Una) (NOUN bambina) (sp (ADP senza) (sn (NOUN nome) (PUNCT .))))));3.20 ± 1.12;4,98282431;content
3;0;senza;senza;ADP;case;nome;(ROOT (f3 (sn (DET Una) (NOUN bambina) (sp (ADP senza) (sn (NOUN nome) (PUNCT .))))));;5,710022415;function
4;0;nome;nome;NOUN;nmod;bambina;(ROOT (f3 (sn (DET Una) (NOUN bambina) (sp (ADP senza) (sn (NOUN nome) (PUNCT .))))));3.64 ± 1.75;5,545943498;content
5;1;c;ci;PRON;expl;era;(ROOT (dirsp (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))));;6,166704172;function
6;1;era;essere;VERB;root;ROOT;(ROOT (dirsp (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))));;6,283626334;content
7;1;una;uno;DET;det;bambina;(ROOT (dirsp (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))));;6,801817508;function
8;1;bambina;bambino;NOUN;nsubj;era;(ROOT (dirsp (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))));3.20 ± 1.12;4,98282431;content
9;1;che;che;PRON;nsubj;aveva;(ROOT (dirsp (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))));;7,250456545;function
10;1;aveva;avere;VERB;acl:relcl;bambina;(ROOT (dirsp (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))));;5,632280537;content
