token_id,target_word,prefix_length,phoneme,filtered_cohort_size,phoneme_surprisal,word_phoneme_length,length_group
0,una,1,u,314,7.765513016647858,3,1-3 phonemes
0,una,2,n,76,0.7112420013989139,3,1-3 phonemes
0,una,3,a,1,2.8901039564572875,3,1-3 phonemes
1,viola,1,v,1289,5.722400732873497,5,4-6 phonemes
1,viola,2,j,53,4.498394206456238,5,4-6 phonemes
1,viola,3,O,2,4.500243102746191,5,4-6 phonemes
1,viola,4,l,2,-0.0,5,4-6 phonemes
1,viola,5,a,1,0.0102308520012233,5,4-6 phonemes
2,al,1,a,3439,4.0028923808571975,2,1-3 phonemes
2,al,2,l,1,3.171134131063312,2,1-3 phonemes
3,polo,1,p,2607,2.688776487507722,4,4-6 phonemes
3,polo,2,O,87,2.660921704474627,4,4-6 phonemes
3,polo,3,l,11,3.840383240638802,4,4-6 phonemes
3,polo,4,o,1,1.883730111702337,4,4-6 phonemes
4,nord,1,n,499,2.32792654112216,4,4-6 phonemes
4,nord,2,O,56,0.085952501210988,4,4-6 phonemes
4,nord,3,r,18,0.0120265307525582,4,4-6 phonemes
4,nord,4,d,1,0.0269577728007057,4,4-6 phonemes
5,una,1,u,229,9.640358229215176,3,1-3 phonemes
5,una,2,n,58,0.3985373645111323,3,1-3 phonemes
5,una,3,a,1,1.8633384936076385,3,1-3 phonemes
6,mattina,1,m,2005,4.3503345131201545,6,4-6 phonemes
6,mattina,2,a,809,1.0123118266348292,6,4-6 phonemes
6,mattina,3,tt,25,5.1861039387893655,6,4-6 phonemes
6,mattina,4,i,8,0.5137970094495895,6,4-6 phonemes
6,mattina,5,n,6,0.0398922411938053,6,4-6 phonemes
6,mattina,6,a,1,0.2418773353024254,6,4-6 phonemes
7,al,1,a,3026,3.4375630033363955,2,1-3 phonemes
7,al,2,l,1,2.9531251856014347,2,1-3 phonemes
8,polo,1,p,2193,3.465360237170489,4,4-6 phonemes
8,polo,2,O,88,1.9674454610066587,4,4-6 phonemes
8,polo,3,l,11,1.1287706783510545,4,4-6 phonemes
8,polo,4,o,1,0.0883460775693636,4,4-6 phonemes
9,nord,1,n,208,2.2985446732449093,4,4-6 phonemes
9,nord,2,O,39,0.0089807542008993,4,4-6 phonemes
9,nord,3,r,16,0.0022855389512295,4,4-6 phonemes
9,nord,4,d,1,0.0035730737784282,4,4-6 phonemes
10,l',1,l,1,6.115956223143545,1,1-3 phonemes
11,orso,1,o,45,14.193098509413096,4,4-6 phonemes
11,orso,2,r,20,1.3378734878848224,4,4-6 phonemes
11,orso,3,s,1,7.028044599102553,4,4-6 phonemes
11,orso,4,o,1,-0.0,4,4-6 phonemes
12,bianco,1,b,1312,4.030928552796142,6,4-6 phonemes
12,bianco,2,j,52,1.2006096264147943,6,4-6 phonemes
12,bianco,3,a,30,0.0030504796136025,6,4-6 phonemes
12,bianco,4,N,27,4.498030893026281e-05,6,4-6 phonemes
12,bianco,5,k,27,-0.0,6,4-6 phonemes
12,bianco,6,o,1,0.1247530166688919,6,4-6 phonemes
13,fiutò,1,f,1261,6.72611922984819,5,4-6 phonemes
13,fiutò,2,j,83,3.84238371110916,5,4-6 phonemes
13,fiutò,3,u,8,4.352728999842539,5,4-6 phonemes
13,fiutò,4,t,4,3.758283754795105,5,4-6 phonemes
13,fiutò,5,O,1,14.254507034698372,5,4-6 phonemes
14,nell,1,n,575,6.461746928879956,3,1-3 phonemes
14,nell,2,e,111,1.7396657290918922,3,1-3 phonemes
14,nell,3,ll,1,4.0727662445912864,3,1-3 phonemes
15,aria,1,a,1103,7.870130706658032,4,4-6 phonemes
15,aria,2,r,129,1.8209593219402669,4,4-6 phonemes
15,aria,3,j,3,4.1430552120470825,4,4-6 phonemes
15,aria,4,a,1,0.0067103078831116,4,4-6 phonemes
16,un,1,u,317,6.171314038397484,2,1-3 phonemes
16,un,2,n,1,1.0985164410820585,2,1-3 phonemes
17,odore,1,o,536,5.047207850501211,5,4-6 phonemes
17,odore,2,d,14,4.742556511328875,5,4-6 phonemes
17,odore,3,o,5,0.0381502574362534,5,4-6 phonemes
17,odore,4,r,4,0.0001447102822235,5,4-6 phonemes
17,odore,5,e,1,0.0172072190179181,5,4-6 phonemes
18,insolito,1,i,2413,4.062461545410478,8,7+ phonemes
18,insolito,2,n,1168,0.3975232316940604,8,7+ phonemes
18,insolito,3,s,153,3.2722599074998207,8,7+ phonemes
18,insolito,4,O,7,3.1282296893366914,8,7+ phonemes
18,insolito,5,l,4,0.0506417955455595,8,7+ phonemes
18,insolito,6,i,4,-0.0,8,7+ phonemes
18,insolito,7,t,4,-0.0,8,7+ phonemes
18,insolito,8,o,1,0.7981011008534035,8,7+ phonemes
19,è,1,E,1,7.027502796830224,1,1-3 phonemes
20,lo,1,l,1046,3.823244488751609,2,1-3 phonemes
20,lo,2,o,1,4.878009976609952,2,1-3 phonemes
21,fece,1,f,1187,5.59205690067203,4,4-6 phonemes
21,fece,2,e,128,3.993182805664605,4,4-6 phonemes
21,fece,3,tS,3,1.1617369631673522,4,4-6 phonemes
21,fece,4,e,1,0.3550125123368641,4,4-6 phonemes
22,notare,1,n,428,6.300531976288085,6,4-6 phonemes
22,notare,2,o,75,1.1628348107999935,6,4-6 phonemes
22,notare,3,t,21,0.7980561697733909,6,4-6 phonemes
22,notare,4,a,12,0.0094526401834611,6,4-6 phonemes
22,notare,5,r,6,0.0106842855661752,6,4-6 phonemes
22,notare,6,e,1,0.0026655474934885,6,4-6 phonemes
23,all,1,a,2660,2.6762186997554465,2,1-3 phonemes
23,all,2,ll,1,4.041330084383789,2,1-3 phonemes
24,orsa,1,o,487,7.048912642660145,4,4-6 phonemes
24,orsa,2,r,107,0.6630112911085477,4,4-6 phonemes
24,orsa,3,s,5,1.1299625495797765,4,4-6 phonemes
24,orsa,4,a,1,10.82046897626713,4,4-6 phonemes
25,maggiore,1,m,1844,4.889645428138082,6,4-6 phonemes
25,maggiore,2,a,712,0.8927617366836496,6,4-6 phonemes
25,maggiore,3,ddZ,12,6.331954532949599,6,4-6 phonemes
25,maggiore,4,o,11,0.0468834468204301,6,4-6 phonemes
25,maggiore,5,r,10,0.1024868989676481,6,4-6 phonemes
25,maggiore,6,e,1,1.5996656149829749,6,4-6 phonemes
26,la,1,l,827,4.293910554118023,2,1-3 phonemes
26,la,2,a,1,0.910499095338843,2,1-3 phonemes
27,minore,1,m,2111,3.705475225707039,6,4-6 phonemes
27,minore,2,i,290,2.71785967574779,6,4-6 phonemes
27,minore,3,n,63,3.113430222541232,6,4-6 phonemes
27,minore,4,o,7,2.44478626488145,6,4-6 phonemes
27,minore,5,r,6,0.0300281621816403,6,4-6 phonemes
27,minore,6,e,1,0.5218336166637186,6,4-6 phonemes
28,era,1,E,154,6.749688984421782,3,1-3 phonemes
28,era,2,r,26,1.6154187100375914,3,1-3 phonemes
28,era,3,a,1,0.8489797737181857,3,1-3 phonemes
29,sua,1,s,3912,2.921947639045498,3,1-3 phonemes
29,sua,2,u,241,3.752839404433089,3,1-3 phonemes
29,sua,3,a,1,1.834859486764908,3,1-3 phonemes
30,figlia,1,f,1313,4.21876216766252,4,4-6 phonemes
30,figlia,2,i,208,0.79715095964051,4,4-6 phonemes
30,figlia,3,LL,16,0.1612099148069646,4,4-6 phonemes
30,figlia,4,a,1,0.0836418823815962,4,4-6 phonemes
31,che,1,k,2718,4.477603433452979,2,1-3 phonemes
31,che,2,e,1,0.9155963873702162,2,1-3 phonemes
