word,phoneme,phoneme_surprisal
il,i,6.369590031671549
il,l,3.238984361749086
paese,p,4.23201894162515
paese,a,2.634519527903925
paese,e,3.438521176416472
paese,z,-0.0
paese,e,0.30663864309319516
day,d,2.1434600928181586
day,e,1.3238626314779178
day,i,18.285813439107823
cani,k,3.2887402106332138
cani,a,1.486579209309727
cani,n,2.5218655333897386
cani,i,2.0239775374108584
c',tS,13.213022562594759
era,E,11.804018133728421
era,r,1.958341380362887
era,a,0.123580254464964
una,u,2.9785064791022755
una,n,0.037826427185064106
una,a,1.655519394091374
volta,v,3.782858337732936
volta,O,2.121285654837975
volta,l,0.013888535593208958
volta,t,0.01609350487696383
volta,a,8.442811547306854e-05
uno,u,2.7442945794971965
uno,n,0.06283104157956615
uno,o,5.082612883784756
strano,s,2.262137230777005
strano,t,1.2731001211540813
strano,r,1.8566718752086298
strano,a,0.6188930102283207
strano,n,0.7555275197667318
strano,o,0.41333228228921376
piccolo,p,2.756680160733647
piccolo,i,5.361415575667121
piccolo,kk,0.5650403595143738
piccolo,o,0.03901261638502373
piccolo,l,0.0732346060367656
piccolo,o,0.0805724996322776
paese,p,2.5089360491846833
paese,a,0.3987799952255785
paese,e,0.25440121745449573
paese,z,-0.0
paese,e,0.2220170039704867
era,E,9.562936947030742
era,r,1.4414010223564537
era,a,0.6950171278217417
composto,k,3.845625537249659
composto,o,2.3025068964110487
composto,m,1.0141034021920765
composto,p,1.7109378706349119
composto,o,3.5197626547117604
composto,s,0.08547490485668012
composto,t,0.0032884234346677475
composto,o,0.2996766883848558
in,i,6.40811764450538
in,n,0.37705746967552634
tutto,t,3.1055032979639847
tutto,u,1.657171335693061
tutto,tt,0.027748930945841698
tutto,o,0.45343477737828636
di,d,1.7841953002056443
di,i,5.372924629204448
novantanove,n,4.89977013208708
novantanove,o,2.6524769090989313
novantanove,v,4.682916386104303
novantanove,a,0.8479577872584024
novantanove,n,0.033894445153134736
novantanove,t,-0.0
novantanove,a,0.005118295322983452
novantanove,n,6.528950449583818
novantanove,O,-0.0
novantanove,v,-0.0
novantanove,e,-0.0
casette,k,2.138351684765722
casette,a,0.3200806135839275
casette,z,2.9299281171220506
casette,e,0.12172340418972957
casette,tt,5.763933023974654
casette,e,0.4056139073107002
è,E,11.631728767167267
ogni,o,5.104809290260404
ogni,JJ,0.5820336843908211
ogni,i,1.2110426895991309
casetta,k,1.149118703880655
casetta,a,0.14179170347981368
casetta,z,0.1762792629921449
casetta,e,0.14056674549857517
casetta,tt,0.0027009933085471844
casetta,a,0.0003128367644329367
aveva,a,2.4796719071064985
aveva,v,0.4054447656941311
aveva,e,0.050063815806148125
aveva,v,0.005925135911383427
aveva,a,0.020364078556644846
un,u,1.1148677189431293
un,n,0.6842744365404706
giardinetto,dZ,6.228799486225809
giardinetto,a,1.1438151059424058
giardinetto,r,0.04456920001598107
giardinetto,d,-0.0
giardinetto,i,-0.0
giardinetto,n,-0.0
giardinetto,e,4.552657012307876
giardinetto,tt,-0.0
giardinetto,o,0.032688061380239115
con,k,2.5285024703416425
con,o,0.5304028747148751
con,n,0.28578022825441907
un,u,2.2346537996784313
un,n,0.8338909259623521
cancelletto,k,2.6409699093649412
cancelletto,a,0.676390136046301
cancelletto,n,1.307008025120931
cancelletto,tS,0.892638652157657
cancelletto,e,7.858632348973875
cancelletto,ll,0.8731585749240334
cancelletto,e,3.9736687125370898
cancelletto,tt,0.7308692964601348
cancelletto,o,-0.0
è,E,11.03436285179918
dietro,d,3.5145040585026215
dietro,j,4.91953837275826
dietro,E,0.021193509663243345
dietro,t,0.8145931990228655
dietro,r,0.0004866777294022923
dietro,o,0.00012692553589135642
il,i,3.1559761520202305
il,l,0.3803173564087717
cancelletto,k,1.7808368386750193
cancelletto,a,0.3886285739012545
cancelletto,n,0.8407717830676694
cancelletto,tS,0.1378570159851691
cancelletto,e,2.194042184632747
cancelletto,ll,0.027072345219331027
cancelletto,e,0.006195900187808667
cancelletto,tt,0.01648707300674248
cancelletto,o,0.0035755254164293905
un,u,3.303624789385053
un,n,0.7905859418877282
cane,k,2.0754790598218973
cane,a,0.4860271927785094
cane,n,2.3326112103805445
cane,e,2.0939366413249654
che,k,2.624386955691619
che,e,0.948537481509954
abbaiava,a,2.8158843352917406
abbaiava,bb,7.700883564875395
abbaiava,a,0.2910591396830826
abbaiava,j,2.4682283480331493
abbaiava,a,-0.0
abbaiava,v,1.047239626929269
abbaiava,a,0.009700583980041982
facciamo,f,5.854961878031114
facciamo,a,2.5277975732258278
facciamo,ttS,4.8551052827786725
facciamo,a,0.7378418102097427
facciamo,m,9.287750990089178
facciamo,o,-0.0
un,u,3.2640071784105933
un,n,0.6949508927788473
esempio,e,6.545813807223653
esempio,z,1.6391784260601514
esempio,e,1.109485195287105
esempio,m,0.9453812566449563
esempio,p,-0.0
esempio,j,0.10133428365619619
esempio,o,-0.0
fido,f,6.685421720150933
fido,i,2.1053314722484826
fido,d,6.621519047626178
fido,o,2.5791493148104045
era,E,7.130092839504674
era,r,2.738558710197975
era,a,0.29220453905829236
il,i,3.3304020852391796
il,l,0.541205309646437
cane,k,1.3324398580593193
cane,a,0.2389948244467059
cane,n,0.16155851969049076
cane,e,0.060513425783611324
della,d,2.479681634202346
della,e,1.9002260697879783
della,ll,0.8137769030319664
della,a,1.366069407019715
casetta,k,2.523759732115739
casetta,a,0.7367915824252412
casetta,z,0.8075536200820145
casetta,e,2.2533860478551024
casetta,tt,0.01250082019949536
casetta,a,0.004875949763463052
numero,n,6.129371271585753
numero,u,3.78265595789166
numero,m,0.5242358236574535
numero,e,0.008878839557344177
