text_id,num_tokens,num_sentences,num_types,TTR,TTR_lemmas,avg_sentence_length,Zipf_mean,percent_rare_words,Gulpease_index,num_function_words,num_content_words,num_verbs,num_adjectives,num_nouns,top_lemmas,top_bigrams
01_711,411,48,202,0.491,0.394,11.23,5.57,5.88,80.95,190 (46.2%),220 (53.5%),61 (14.8%),28 (6.8%),83 (20.2%),"['uno (5.4%)', 'il (5.1%)', 'essere (5.1%)', 'e (3.6%)', 'di (2.9%)', 'mamma (2.4%)', 'Giovanni (2.2%)', 'si (2.2%)', 'a (1.9%)', 'ma (1.9%)', 'distratto (1.7%)', 'che (1.7%)', 'tutto (1.5%)', 'non (1.5%)', 'cosa (1.2%)', 'suo (1.2%)', 'fare (1.0%)', 'sì (1.0%)', 'così (1.0%)', 'poi (1.0%)']","['e cosa (0.7%)', 'i bambini (0.7%)', 'bambini sono (0.7%)', 'sono tutti (0.7%)', 'tutti così (0.7%)', 'giovanni ma (0.5%)', 'mamma ciao (0.5%)', 'ciao mamma (0.5%)', 'e per (0.5%)', 'si mette (0.5%)']"
02_711,416,33,227,0.546,0.438,15.73,5.3,11.58,65.47,187 (45.0%),224 (53.8%),67 (16.1%),23 (5.5%),95 (22.8%),"['il (8.2%)', 'uno (3.6%)', 'essere (3.1%)', 'a (3.1%)', 'e (2.6%)', 'di (2.6%)', 'non (2.4%)', 'che (2.4%)', 'guardia (2.4%)', 'per (2.2%)', 'punta (1.9%)', 'Giovannino (1.7%)', 'ma (1.7%)', 'con (1.7%)', 'fare (1.7%)', 'paese (1.4%)', 'senza (1.4%)', 'avere (1.2%)', 'in (1.0%)', 'si (1.0%)']","['la guardia (1.7%)', 'senza punta (1.2%)', 'il paese (0.7%)', 'paese senza (0.7%)', 'punta ma (0.7%)', 'che è (0.7%)', 'disse la (0.7%)', 'due schiaffi (0.7%)', 'con una (0.5%)', 'le spine (0.5%)']"
03_711,415,28,218,0.525,0.427,17.61,4.99,18.83,60.28,193 (46.5%),217 (52.3%),57 (13.7%),18 (4.3%),119 (28.7%),"['il (10.8%)', 'di (5.1%)', 'e (4.6%)', 'uno (4.3%)', 'per (2.7%)', 'campana (1.9%)', 'ci (1.9%)', 'da (1.9%)', 'cannone (1.9%)', 'essere (1.7%)', 'che (1.4%)', 'a (1.4%)', 'Stragenerale (1.4%)', 'guerra (1.2%)', 'nemico (1.2%)', 'tutto (1.2%)', 'si (1.2%)', 'Din (1.2%)', 'Don (1.2%)', 'Dan (1.2%)']","['lo stragenerale (1.4%)', 'le campane (1.2%)', 'din don (1.0%)', 'don dan (1.0%)', 'la guerra (0.7%)', 'per la (0.7%)', 'delle campane (0.5%)', 'dall altra (0.5%)', 'e i (0.5%)', 'il nostro (0.5%)']"
04_711,409,28,241,0.589,0.467,17.79,5.18,14.6,62.77,191 (46.7%),218 (53.3%),64 (15.6%),34 (8.3%),85 (20.8%),"['il (7.8%)', 'essere (3.9%)', 'uno (3.7%)', 'e (3.2%)', 'a (2.7%)', 'che (2.4%)', 'in (2.2%)', 'di (1.7%)', 'si (1.7%)', 'viola (1.5%)', 'suo (1.5%)', 'per (1.5%)', 'bianco (1.2%)', 'tutto (1.2%)', 'ne (1.2%)', 'come (1.2%)', 'dire (1.2%)', 'avere (1.2%)', 'orso (1.0%)', 'ma (1.0%)']","['l orso (1.0%)', 'orso bianco (1.0%)', 'il suo (1.0%)', 'tutto il (0.7%)', 'al polo (0.5%)', 'polo nord (0.5%)', 'la viola (0.5%)', 'per tutto (0.5%)', 'il polo (0.5%)', 'la notizia (0.5%)']"
05_711,450,24,219,0.487,0.402,21.46,5.23,11.8,59.02,217 (48.2%),232 (51.6%),65 (14.4%),19 (4.2%),112 (24.9%),"['il (8.0%)', 'di (6.4%)', 'e (5.6%)', 'uno (4.2%)', 'suo (3.1%)', 'in (2.4%)', 'essere (2.2%)', 'Giacomo (2.0%)', 'si (1.8%)', 'più (1.8%)', 'per (1.8%)', 'a (1.6%)', 'vedere (1.6%)', 'non (1.6%)', 'pensiero (1.3%)', 'cristallo (1.1%)', 'come (1.1%)', 'ma (1.1%)', 'gente (1.1%)', 'tutto (1.1%)']","['di cristallo (1.1%)', 'la gente (1.1%)', 'giacomo di (0.9%)', 'suoi pensieri (0.9%)', 'i suoi (0.7%)', 'la sua (0.7%)', 'cristallo e (0.7%)', 'pensieri di (0.7%)', 'una volta (0.4%)', 'le sue (0.4%)']"
06_711,357,32,201,0.563,0.501,14.31,5.47,9.01,71.07,165 (46.2%),176 (49.3%),61 (17.1%),23 (6.4%),65 (18.2%),"['il (7.3%)', 'uno (6.4%)', 'essere (4.8%)', 'di (2.8%)', 'e (2.5%)', 'avere (2.0%)', 'ma (1.7%)', 'non (1.7%)', 'che (1.4%)', 'fare (1.4%)', 'per (1.4%)', 'a (1.4%)', 'guardare (1.4%)', 'quattro (1.4%)', 'più (1.1%)', 'Dieci (1.1%)', 'con (1.1%)', 'suo (1.1%)', 'ne (1.1%)', 'si (1.1%)']","['ma la (0.8%)', 'promosso più (0.6%)', 'più due (0.6%)', 'povero dieci (0.6%)', 'che ti (0.6%)', 'ma non (0.6%)', 'un disastro (0.6%)', 'la sottrazione (0.6%)', 'la sua (0.6%)', 'perde un (0.6%)']"
07_711,411,25,228,0.555,0.418,19.16,5.15,14.85,59.75,191 (46.5%),213 (51.8%),73 (17.8%),25 (6.1%),94 (22.9%),"['il (6.6%)', 'uno (5.4%)', 'di (5.1%)', 'e (4.9%)', 'cane (2.9%)', 'essere (2.7%)', 'a (2.7%)', 'abbaiare (2.4%)', 'fare (2.4%)', 'avere (2.2%)', 'che (1.9%)', 'da (1.5%)', 'paese (1.0%)', 'novantanove (1.0%)', 'casetta (1.0%)', 'abitante (1.0%)', 'quello (1.0%)', 'diventare (1.0%)', 'parlare (1.0%)', 'capitare (1.0%)']","['gli abitanti (0.7%)', 'i cani (0.7%)', 'dei cani (0.5%)', 'c era (0.5%)', 'una volta (0.5%)', 'strano piccolo (0.5%)', 'piccolo paese (0.5%)', 'con un (0.5%)', 'e ne (0.5%)', 'ad abbaiare (0.5%)']"
08_711,408,27,192,0.471,0.373,18.3,5.23,14.29,62.28,200 (49.0%),208 (51.0%),62 (15.2%),12 (2.9%),111 (27.2%),"['il (10.5%)', 'di (6.1%)', 'fare (3.7%)', 'e (3.7%)', 'Apollonia (3.2%)', 'marmellata (3.2%)', 'uno (2.9%)', 'a (2.5%)', 'essere (2.0%)', 'avere (2.0%)', 'imperatore (1.7%)', 'si (1.5%)', 'non (1.5%)', 'donnina (1.2%)', 'che (1.2%)', 'da (1.2%)', 'mano (1.2%)', 'in (1.0%)', 'quello (1.0%)', 'ricco (1.0%)']","['l apollonia (1.5%)', 'la marmellata (1.5%)', 'l imperatore (1.5%)', 'le mani (1.0%)', 'me la (0.7%)', 'quella donnina (0.7%)', 'mani d (0.7%)', 'd oro (0.7%)', 'e l (0.7%)', 'della marmellata (0.5%)']"
09_711,424,20,246,0.58,0.474,24.2,5.19,11.48,56.59,205 (48.3%),219 (51.7%),64 (15.1%),18 (4.2%),107 (25.2%),"['il (7.8%)', 'di (6.1%)', 'e (4.0%)', 'a (4.0%)', 'essere (3.3%)', 'uno (2.8%)', 'in (2.1%)', 'mario (2.1%)', 'che (1.9%)', 'casa (1.9%)', 'non (1.4%)', 'per (1.4%)', 'suo (1.4%)', 'si (1.2%)', 'da (0.9%)', 'morire (0.9%)', 'sentire (0.9%)', 'loro (0.9%)', 'proprio (0.7%)', 'come (0.7%)']","['la casa (0.9%)', 'della casa (0.7%)', 'della valtellina (0.5%)', 'un giorno (0.5%)', 'di un (0.5%)', 'di mobili (0.5%)', 'mario le (0.5%)', 'i loro (0.5%)', 'la vita (0.5%)', 'e i (0.5%)']"
10_710,457,18,219,0.479,0.374,29.0,5.16,10.96,57.07,200 (43.8%),250 (54.7%),88 (19.3%),14 (3.1%),121 (26.5%),"['il (9.0%)', 'e (5.3%)', 'di (5.0%)', 'oro (2.6%)', 'uno (2.4%)', 'a (2.4%)', 'fare (2.2%)', 'toccare (2.2%)', 'diventare (2.2%)', 're (2.0%)', 'Mida (2.0%)', 'per (2.0%)', 'tutto (1.5%)', 'sette (1.5%)', 'andare (1.3%)', 'ora (1.3%)', 'essere (1.1%)', 'si (1.1%)', 'gli (1.1%)', 'che (1.1%)']","['d oro (2.4%)', 'il re (2.0%)', 're mida (2.0%)', 'sette minuti (0.9%)', 'la macchina (0.7%)', 'sette ore (0.7%)', 'ore e (0.7%)', 'e sette (0.7%)', 'si trovò (0.4%)', 'dal mago (0.4%)']"
