token_id,target_word,prefix_length,phoneme,filtered_cohort_size,phoneme_surprisal
1,il,1,i,2874,6.380485124521276
1,il,2,l,8,3.210796014930368
2,contadino,1,k,6708,4.213488060018669
2,contadino,2,o,3442,1.2211013501378611
2,contadino,3,n,1395,1.224058264268864
2,contadino,4,t,490,1.150113622347167
2,contadino,5,a,61,3.571318102103618
2,contadino,6,d,5,3.4622282352607123
2,contadino,7,i,4,0.1930839493789428
2,contadino,8,n,4,-0.0
2,contadino,9,o,1,0.4183406544445941
3,astrologo,1,a,6360,3.929097758219208
3,astrologo,2,s,190,7.567794011638866
3,astrologo,3,t,63,2.9765999337859683
3,astrologo,4,r,31,1.568593608556175
3,astrologo,5,O,4,2.249704141311064
3,astrologo,6,l,2,6.489383149903521
3,astrologo,7,o,2,-0.0
3,astrologo,8,g,2,-0.0
3,astrologo,9,o,1,0.995955150775803
4,un,1,u,514,7.971852479615538
4,un,2,n,83,1.805818810636228
5,re,1,r,3529,5.162912766375512
5,re,2,E,105,5.678675052054605
6,aveva,1,a,5583,5.107726795965292
6,aveva,2,v,125,5.989143037924102
6,aveva,3,e,27,1.5657767133749658
6,aveva,4,v,6,0.2929972604322918
6,aveva,5,a,4,0.0447573400015838
7,perduto,1,p,3728,3.2693995848678017
7,perduto,2,e,553,2.9464385779150253
7,perduto,3,r,310,0.2819750638947031
7,perduto,4,d,37,3.330736537928141
7,perduto,5,u,6,0.2864413131563506
7,perduto,6,t,5,0.0001643687657763
7,perduto,7,o,1,0.14495389383788
8,un,1,u,322,3.708193442183469
8,un,2,n,71,0.0178516694937155
9,anello,1,a,3742,3.654129483922544
9,anello,2,n,330,2.9471932262812794
9,anello,3,E,5,0.7516989225331343
9,anello,4,ll,2,0.0110421859210959
9,anello,5,o,1,0.0014240991619867
10,prezioso,1,p,3188,4.796098924763853
10,prezioso,2,r,919,1.96280650155083
10,prezioso,3,e,352,0.7666766556062049
10,prezioso,4,tts,5,0.1648879178463476
10,prezioso,5,j,4,1.6977888743711763e-05
10,prezioso,6,o,4,-0.0
10,prezioso,7,z,3,0.1117252225957117
10,prezioso,8,o,1,0.0502989400040641
