word,phoneme,phoneme_surprisal
la,l,7.308765534585449
la,a,2.840819499168547
camicia,k,4.07181325832408
camicia,a,3.0745286259443745
camicia,m,3.2732606228280368
camicia,i,4.617645372036624
camicia,tS,0.5051419717886765
camicia,a,0.5301345889818168
dell,d,2.347548493816875
dell,e,2.268629706853909
dell,ll,3.3806353267567117
uomo,w,10.676441243058353
uomo,O,0.0005142466908532395
uomo,m,0.01522915869714358
uomo,o,0.0040465531444810595
contento,k,2.5060203652601643
contento,o,2.328036581159866
contento,n,0.5184049563443306
contento,t,4.1693220573523035
contento,E,4.787934005098423
contento,n,0.34303913729780866
contento,t,-0.0
contento,o,0.405372386765659
un,u,9.263265638636717
un,n,1.3540681779054977
re,r,5.493429808192052
re,e,5.822709418780755
aveva,a,5.209094595567836
aveva,v,4.762417321588645
aveva,e,0.5275216490710484
aveva,v,0.21416760321911374
aveva,a,0.30425509984212024
un,u,4.758843691328423
un,n,1.5191339475399572
figlio,f,4.242083469554702
figlio,i,1.396690734729055
figlio,LL,0.4859752737770469
figlio,o,0.06869524825548828
unico,u,6.9514459092377825
unico,n,0.9414085832165965
unico,i,2.623363831356228
unico,k,0.21383938440390032
unico,o,0.03943535092146573
è,E,10.532800903990127
gli,L,6.5859648500666275
gli,i,0.05268654902399332
voleva,v,5.064054569401936
voleva,o,2.22527245536519
voleva,l,0.01564579938694162
voleva,e,0.02984141033894328
voleva,v,0.058010321743030314
voleva,a,0.19823099094143418
bene,b,5.82712738508647
bene,E,0.9493487594892381
bene,n,0.0657054793868438
bene,e,0.18532117286767175
come,k,2.635809176907826
come,o,2.980734448973837
come,m,1.0579292665081355
come,e,0.3135812119161175
alla,a,4.4153337381915225
alla,ll,5.693281193394706
alla,a,2.650219336275541
luce,l,5.270781353575176
luce,u,0.9712627449327135
luce,tS,0.9249672825976372
luce,e,0.02392171332540064
day,d,1.0886759412013514
day,e,0.6552678168433058
day,i,19.931568569324174
suoi,s,1.8993073131464073
suoi,w,0.5924140915146177
suoi,O,8.935923426606752e-05
suoi,i,0.003319038267164237
occhi,O,0.7845361357066811
occhi,kk,0.0029997968915965166
occhi,i,2.9036012006037763e-05
ma,m,5.943598600038104
ma,a,1.653092474642844
questo,k,3.2167405743920403
questo,w,1.294464667293176
questo,e,1.12521984851446
questo,s,1.0789431087539902
questo,t,-0.0
questo,o,1.4843243185988402
principe,p,4.253104539201182
principe,r,2.4682967892826895
principe,i,2.6326473184508052
principe,n,0.7681578789828029
principe,tS,-0.0
principe,i,-0.0
principe,p,-0.0
principe,e,0.38241674055528563
era,E,3.0630060482909633
era,r,0.198766022409864
era,a,0.018104936320175326
sempre,s,2.8646862277886895
sempre,E,3.0159332352004076
sempre,m,0.42553581339664515
sempre,p,-0.0
sempre,r,-0.0
sempre,e,-0.0
scontento,s,2.784100172050891
scontento,k,4.395181914412049
scontento,o,1.4876635805182399
scontento,n,0.9179836645804527
scontento,t,2.082831684544969
scontento,E,5.266085355196128
scontento,n,-0.0
scontento,t,-0.0
scontento,o,2.2343437703521243
passava,p,4.499708362754765
passava,a,6.830487568324092
passava,ss,3.5520975956583722
passava,a,0.6267593653328601
passava,v,5.303837725402042
passava,a,0.3541506855706286
giornate,dZ,6.589227141176935
giornate,o,0.504742079528042
giornate,r,0.011682319272944252
giornate,n,-0.0
giornate,a,3.1281703782420123
giornate,t,0.015671058888508012
giornate,e,0.11424210177750976
intere,i,3.0209245048121063
intere,n,0.1552521938418945
intere,t,3.018386932374672
intere,e,0.3235335487842216
intere,r,0.027391117672737497
intere,e,0.059349936584153974
affacciato,a,3.2731990269135403
affacciato,ff,6.957723484432778
affacciato,a,1.6187876333954085
affacciato,ttS,1.3802659912551216
affacciato,a,0.37725335946929
affacciato,t,2.325715454840093
affacciato,o,2.5008655135523594
al,a,2.7102826024975246
al,l,1.9164854778534086
balcone,b,3.6982832711111575
balcone,a,1.0049171999309519
balcone,l,0.5290731847713857
balcone,k,0.046119867205860685
balcone,o,0.001996660825574223
balcone,n,1.8985587270983087e-05
balcone,e,0.0028978650732803743
a,a,6.373781606427412
guardare,g,2.1181338046331843
guardare,w,0.0746954246423482
guardare,a,0.001599729889888572
guardare,r,0.0020377569803288085
guardare,d,4.537181942048755e-05
guardare,a,0.0034021800493243635
guardare,r,0.0018423940322432372
guardare,e,0.1412138975219596
lontano,l,1.8030589592002273
lontano,o,4.450635045711607
lontano,n,0.8264566946979723
lontano,t,6.273807930424894e-05
lontano,a,-0.0
lontano,n,-0.0
