token_id;sentence_ids;tokens_no_punct;lemma_no_punct;PoS;depparse;head;constituency;AoA(m+sd);Zipf_freq;type_of_words
1;0;i;il;DET;det;tacchini;(ROOT (f (sn (DET I) (NOUN tacchini)) (ibar (ADV non) (VERB ringraziano)) (PUNCT .)));;6,584780852;function
2;0;tacchini;tacchino;NOUN;nsubj;ringraziano;(ROOT (f (sn (DET I) (NOUN tacchini)) (ibar (ADV non) (VERB ringraziano)) (PUNCT .)));5.08 ± 1.80;2,92331699;content
3;0;non;non;ADV;advmod;ringraziano;(ROOT (f (sn (DET I) (NOUN tacchini)) (ibar (ADV non) (VERB ringraziano)) (PUNCT .)));;7,259198169;function
4;0;ringraziano;ringraziare;VERB;root;ROOT;(ROOT (f (sn (DET I) (NOUN tacchini)) (ibar (ADV non) (VERB ringraziano)) (PUNCT .)));;2,770706827;content
5;1;negli;in;ADP;case;Stati;(ROOT (cp (sp (ADP In) (sn (DET gli) (PROPN Stati) (PROPN Uniti))) (fp (PUNCT ,) (sn (sq (DET ogni)) (ADJ quarto) (NOUN giovedì) (spd (ADP di) (sn (NOUN novembre)))) (PUNCT ,)) (f (ibar (AUX è)) (compc (sn (NOUN festa) (sa (ADJ grandissima))) (fs (SCONJ perché) (f (ibar (PRON si) (VERB celebra)) (compt (sn (DET il) (PROPN Thanksgiving) (PROPN Day))))))) (PUNCT ,) (f (ibar (VERB vale) (ADP a) (VERB dire)) (compt (sn (DET il) (NOUN giorno) (spd (ADP di) (sn (DET il) (PROPN Ringraziamento) (PUNCT .))))))));;5,051291187;function
6;1;stati;Stati;PROPN;obl;festa;(ROOT (cp (sp (ADP In) (sn (DET gli) (PROPN Stati) (PROPN Uniti))) (fp (PUNCT ,) (sn (sq (DET ogni)) (ADJ quarto) (NOUN giovedì) (spd (ADP di) (sn (NOUN novembre)))) (PUNCT ,)) (f (ibar (AUX è)) (compc (sn (NOUN festa) (sa (ADJ grandissima))) (fs (SCONJ perché) (f (ibar (PRON si) (VERB celebra)) (compt (sn (DET il) (PROPN Thanksgiving) (PROPN Day))))))) (PUNCT ,) (f (ibar (VERB vale) (ADP a) (VERB dire)) (compt (sn (DET il) (NOUN giorno) (spd (ADP di) (sn (DET il) (PROPN Ringraziamento) (PUNCT .))))))));;5,363540754;content
7;1;uniti;Uniti;PROPN;flat:name;Stati;(ROOT (cp (sp (ADP In) (sn (DET gli) (PROPN Stati) (PROPN Uniti))) (fp (PUNCT ,) (sn (sq (DET ogni)) (ADJ quarto) (NOUN giovedì) (spd (ADP di) (sn (NOUN novembre)))) (PUNCT ,)) (f (ibar (AUX è)) (compc (sn (NOUN festa) (sa (ADJ grandissima))) (fs (SCONJ perché) (f (ibar (PRON si) (VERB celebra)) (compt (sn (DET il) (PROPN Thanksgiving) (PROPN Day))))))) (PUNCT ,) (f (ibar (VERB vale) (ADP a) (VERB dire)) (compt (sn (DET il) (NOUN giorno) (spd (ADP di) (sn (DET il) (PROPN Ringraziamento) (PUNCT .))))))));;1,93128592;content
8;1;ogni;ogni;DET;det;giovedì;(ROOT (cp (sp (ADP In) (sn (DET gli) (PROPN Stati) (PROPN Uniti))) (fp (PUNCT ,) (sn (sq (DET ogni)) (ADJ quarto) (NOUN giovedì) (spd (ADP di) (sn (NOUN novembre)))) (PUNCT ,)) (f (ibar (AUX è)) (compc (sn (NOUN festa) (sa (ADJ grandissima))) (fs (SCONJ perché) (f (ibar (PRON si) (VERB celebra)) (compt (sn (DET il) (PROPN Thanksgiving) (PROPN Day))))))) (PUNCT ,) (f (ibar (VERB vale) (ADP a) (VERB dire)) (compt (sn (DET il) (NOUN giorno) (spd (ADP di) (sn (DET il) (PROPN Ringraziamento) (PUNCT .))))))));;5,722242451;function
9;1;quarto;quarto;ADJ;amod;giovedì;(ROOT (cp (sp (ADP In) (sn (DET gli) (PROPN Stati) (PROPN Uniti))) (fp (PUNCT ,) (sn (sq (DET ogni)) (ADJ quarto) (NOUN giovedì) (spd (ADP di) (sn (NOUN novembre)))) (PUNCT ,)) (f (ibar (AUX è)) (compc (sn (NOUN festa) (sa (ADJ grandissima))) (fs (SCONJ perché) (f (ibar (PRON si) (VERB celebra)) (compt (sn (DET il) (PROPN Thanksgiving) (PROPN Day))))))) (PUNCT ,) (f (ibar (VERB vale) (ADP a) (VERB dire)) (compt (sn (DET il) (NOUN giorno) (spd (ADP di) (sn (DET il) (PROPN Ringraziamento) (PUNCT .))))))));5.48 ± 2.83;4,400035934;content
10;1;giovedì;giovedì;NOUN;obl;festa;(ROOT (cp (sp (ADP In) (sn (DET gli) (PROPN Stati) (PROPN Uniti))) (fp (PUNCT ,) (sn (sq (DET ogni)) (ADJ quarto) (NOUN giovedì) (spd (ADP di) (sn (NOUN novembre)))) (PUNCT ,)) (f (ibar (AUX è)) (compc (sn (NOUN festa) (sa (ADJ grandissima))) (fs (SCONJ perché) (f (ibar (PRON si) (VERB celebra)) (compt (sn (DET il) (PROPN Thanksgiving) (PROPN Day))))))) (PUNCT ,) (f (ibar (VERB vale) (ADP a) (VERB dire)) (compt (sn (DET il) (NOUN giorno) (spd (ADP di) (sn (DET il) (PROPN Ringraziamento) (PUNCT .))))))));;4,215614092;content
