ph1,ph2,ph3,probability
a,b,a,0.07635135135135135
a,b,i,0.6094594594594595
a,b,d,0.005405405405405406
a,b,E,0.032432432432432434
a,b,e,0.031081081081081083
a,b,j,0.016891891891891893
a,b,l,0.007432432432432433
a,b,n,0.002027027027027027
a,b,o,0.11216216216216217
a,b,O,0.01418918918918919
a,b,r,0.05675675675675676
a,b,s,0.0033783783783783786
a,b,u,0.03175675675675676
a,b,w,0.0006756756756756757
b,a,d,0.02852926709296606
b,a,n,0.08066896212493851
b,a,ss,0.022134776192818496
b,a,t,0.05804230201672405
b,a,tts,0.009837678307919331
b,a,ɡ,0.01278898180029513
b,a,m,0.013280865715691098
b,a,r,0.20363994097393015
b,a,s,0.04328578455484506
b,a,l,0.14018691588785046
b,a,S,0.003443187407771766
b,a,tt,0.12543039842597148
b,a,ll,0.033939990162321694
b,a,ddZ,0.002459419576979833
b,a,j,0.0073782587309394985
b,a,b,0.014756517461878997
b,a,bb,0.004918839153959666
b,a,k,0.008853910477127398
b,a,kk,0.022134776192818496
b,a,ttS,0.003935071323167732
b,a,tS,0.02557796360059026
b,a,ff,0.003935071323167732
b,a,dZ,0.002951303492375799
b,a,LL,0.01426463354648303
b,a,JJ,0.017707820954254796
b,a,i,0.003443187407771766
b,a,ŋ,0.02459419576979833
b,a,o,0.000983767830791933
b,a,rr,0.02262666010821446
b,a,z,0.01574028529267093
b,a,u,0.001967535661583866
b,a,w,0.0054107230693556324
b,a,v,0.01721593703885883
b,a,ddz,0.0014756517461878996
b,a,ts,0.0004918839153959665
b,a,f,0.0004918839153959665
b,a,mm,0.0004918839153959665
b,a,pp,0.000983767830791933
a,d,j,0.07631055076310551
a,d,e,0.14399469143994692
a,d,o,0.12806901128069012
a,d,a,0.17518248175182483
a,d,E,0.05706702057067021
a,d,i,0.1738553417385534
a,d,r,0.1300597213005972
a,d,u,0.0856005308560053
a,d,O,0.021897810218978103
a,d,m,0.0013271400132714001
a,d,w,0.006635700066357001
d,j,a,0.5875527426160337
d,j,o,0.22573839662447256
d,j,E,0.06540084388185655
d,j,O,0.03270042194092827
d,j,e,0.06751054852320675
d,j,u,0.020042194092827006
d,j,i,0.0010548523206751054
a,n,d,0.23984741317650798
a,n,i,0.08495589287133434
a,n,o,0.2690137487085751
a,n,t,0.20591273941031552
a,n,ts,0.026861638718906462
a,n,a,0.07398871493284591
a,n,e,0.036398315187157276
a,n,u,0.003814670587300326
a,n,j,0.010092982595565446
a,n,s,0.011444011761900977
a,n,b,0.0003178892156083605
a,n,E,0.007867758086306922
a,n,f,0.003894142891202416
a,n,O,0.00651672891997139
a,n,z,0.001986807597552253
a,n,dz,0.0049272828419295875
a,n,v,0.0008741953429229914
a,n,tz,0.007629341174600652
a,n,p,0.0003973615195104506
a,n,ee,0.0009536676468250815
a,n,l,0.0005563061273146309
a,n,m,0.0003973615195104506
a,n,r,0.0007947230390209012
a,n,w,0.0005563061273146309
n,d,O,0.00773754255648406
n,d,o,0.5212008666047663
n,d,a,0.1210151655834107
n,d,i,0.1244196843082637
n,d,j,0.022129371711544412
n,d,e,0.12627669452181986
n,d,E,0.026152893840916125
